Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
"Religión, Política y Políticas Públicas",A,2020-04-02,Clases RPYPP,2:44:43,https://ca.bbcollab.com/recording/9866476ea1164234afc3914c9a1d8613
"Religión, Política y Políticas Públicas",A,2020-04-16,Clases RPYPP 1604,2:15:18,https://ca.bbcollab.com/recording/2cb0af848aed476b8f5ee128a395e571
"Religión, Política y Políticas Públicas",A,2020-04-23,Clase RPYPP 2304,2:37:50,https://ca.bbcollab.com/recording/6b2d6bb5083147bdbb0f2f360c859e42
"Religión, Política y Políticas Públicas",A,2020-04-30,Clase 3004,2:22:07,https://ca.bbcollab.com/recording/15b5dd5377554be1b389f9bd81d1cf77
"Religión, Política y Políticas Públicas",A,2020-05-07,Clase RPYPP 0705,2:26:13,https://ca.bbcollab.com/recording/79a26a14f8e740b69f0c39a8799fa9c2
"Religión, Política y Políticas Públicas",A,2020-05-14,Clases RPYPP 1405,2:01:34,https://ca.bbcollab.com/recording/e943fc5491414fb5954c0a45bfabf0de
"Religión, Política y Políticas Públicas",A,2020-05-28,Clase RPYPP 2805,2:32:13,https://ca.bbcollab.com/recording/986d70ea31004a60837f4396f5feba1b
"Religión, Política y Políticas Públicas",A,2020-06-04,Clases RPYPP 0406,2:42:08,https://ca.bbcollab.com/recording/cd3df3310e82413186c39be7a2835ce5
"Religión, Política y Políticas Públicas",A,2020-06-11,Clases RYPP 1106,2:32:18,https://ca.bbcollab.com/recording/03a23210f1914658a7bb42d94ce9608c
"Religión, Política y Políticas Públicas",A,2020-06-18,Clase RPYPP 1806,2:45:05,https://ca.bbcollab.com/recording/dbc843ef49c748bb85650c04b57cbc15
"Religión, Política y Políticas Públicas",A,2020-06-25,Clase RPYPP 2506,2:36:51,https://ca.bbcollab.com/recording/1b84d91aefa84151906d867b1a1d19e7
"Religión, Política y Políticas Públicas",A,2020-07-02,Clase RPYPP 0207,2:14:08,https://ca.bbcollab.com/recording/3c8d41f74b8c4c8986e25eb7eb0157d3
"Religión, Política y Políticas Públicas",A,2020-07-09,Clase RPYPP 0907,2:33:03,https://ca.bbcollab.com/recording/e36c76ff3dc642a3bc73fc0b2fcff2ab
"Religión, Política y Políticas Públicas",A,2020-07-09,Clase RPYPP 0907,2:33:03,https://ca.bbcollab.com/recording/e36c76ff3dc642a3bc73fc0b2fcff2ab
