Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Renta Variable,A,2020-03-30,Clase 1 300320,2:34:09,https://ca.bbcollab.com/recording/a28d446d36104a9e8a850824fd127ba4
Renta Variable,A,2020-04-01,Dirigida 1,1:56:06,https://ca.bbcollab.com/recording/b461676624a64a31ad4b22001725fdcf
Renta Variable,A,2020-04-06,Clase 2 - 06042020,2:31:32,https://ca.bbcollab.com/recording/7682d9fefab44f299b6e361ce8f0365c
Renta Variable,A,2020-04-08,Dirigida 2,1:55:25,https://ca.bbcollab.com/recording/35fc1027313c4e2daebd19cb7a5cd5ee
Renta Variable,A,2020-04-13,Clase 3 - 13/04/2020,2:33:36,https://ca.bbcollab.com/recording/64670edc61e14740b38f4296ac726a2d
Renta Variable,A,2020-04-20,Clase 4 - 200420,1:10:08,https://ca.bbcollab.com/recording/fb38353549a5481b8d94f0ebe8bd3299
Renta Variable,A,2020-04-22,Dirigida 3,1:42:35,https://ca.bbcollab.com/recording/868c9d13a26d438b8352e1036e374e37
Renta Variable,A,2020-04-27,Clase 5 - 270420,2:43:22,https://ca.bbcollab.com/recording/e3a83f56c10c44b5b6d2cf03d61e31ca
Renta Variable,A,2020-04-29,Dirigida 4,2:08:21,https://ca.bbcollab.com/recording/9920b8149c0c431eb0780c50ca33863a
Renta Variable,A,2020-05-04,Clase 6,2:38:58,https://ca.bbcollab.com/recording/e5d0d61168d24cd1a9bcd187a6599ae2
Renta Variable,A,2020-05-06,Dirigida 5,1:35:06,https://ca.bbcollab.com/recording/618e044079394177af3f8c0a026c338f
Renta Variable,A,2020-05-11,Clase 7,2:24:55,https://ca.bbcollab.com/recording/353d659aeaec48839a38ca3f6e04b7b3
Renta Variable,A,2020-05-25,Clase 8,2:30:42,https://ca.bbcollab.com/recording/41d7c259a98f4ea6b1368f36f248af9d
Renta Variable,A,2020-05-27,PD 6,1:23:21,https://ca.bbcollab.com/recording/73cf8ddadcce405d924c63f018be2c2c
Renta Variable,A,2020-06-01,Clase 9,2:42:51,https://ca.bbcollab.com/recording/e8217cde819b4e3daaa23c5ef470a48f
Renta Variable,A,2020-06-03,PD 7,1:49:30,https://ca.bbcollab.com/recording/d0b63e32691b4fd198d2b9cafd100eca
Renta Variable,A,2020-06-08,Clase 10,2:34:56,https://ca.bbcollab.com/recording/13b109e27f2e4fa18e5b7a3e4726e44d
Renta Variable,A,2020-06-15,Clase 11,3:00:31,https://ca.bbcollab.com/recording/a377c1b6a08b4c34bbdeea4e92bfc87c
Renta Variable,A,2020-06-17,dirigida 8,1:59:56,https://ca.bbcollab.com/recording/88705e76527e40fb879e020a66a5b3b9
Renta Variable,A,2020-06-22,Clase 12,2:39:00,https://ca.bbcollab.com/recording/4d81397f856b46d999e8050792d4dfa9
Renta Variable,A,2020-06-24,Dirigida 24 de junio,1:27:16,https://ca.bbcollab.com/recording/95da62dea00a44b7921cd6e298591187
Renta Variable,A,2020-06-29,Clase 13,2:38:27,https://ca.bbcollab.com/recording/0f02c336580d4e0da7b41ac605efec71
Renta Variable,A,2020-07-01,PD 10,1:29:36,https://ca.bbcollab.com/recording/368e1abc322943ab945caf4c37201d6b
Renta Variable,A,2020-07-01,PD 10,1:29:36,https://ca.bbcollab.com/recording/368e1abc322943ab945caf4c37201d6b
Renta Variable,A,2020-07-06,Clase 14,2:19:20,https://ca.bbcollab.com/recording/36c7c78b2c2c4a2baca55b5652f287c2
