Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sem. Crisis Financiera Internacional,A,2020-04-02,Clase 2 de abril,2:05:45,https://ca.bbcollab.com/recording/c93c0e39a9ae4a06b8c6f7304e5c3b50
Sem. Crisis Financiera Internacional,A,2020-04-16,Clase 16 de abril,2:03:54,https://ca.bbcollab.com/recording/0e6f621b23e945d7ae912e063c1b8d5b
Sem. Crisis Financiera Internacional,A,2020-04-23,Clase 23 abril,1:51:59,https://ca.bbcollab.com/recording/ef0edc88e58b416da42aa9ba9c83c29d
Sem. Crisis Financiera Internacional,A,2020-04-30,Sesión 30 abril,2:19:00,https://ca.bbcollab.com/recording/f04997d791a143b9bcc00950069d2b57
Sem. Crisis Financiera Internacional,A,2020-05-07,Clase 7 de mayo,3:34:49,https://ca.bbcollab.com/recording/3808d93ee8d74108a0f02cdfb40345f8
Sem. Crisis Financiera Internacional,A,2020-05-14,Sesión 14 de mayo,1:41:48,https://ca.bbcollab.com/recording/fec6a3853cfa4b09a3694c39e22cb96f
Sem. Crisis Financiera Internacional,A,2020-05-28,Sesión 28 junio,2:07:39,https://ca.bbcollab.com/recording/7cd56b7280314116a4e1ed3cbe7f8079
Sem. Crisis Financiera Internacional,A,2020-06-04,sesion 4 de junio,2:00:27,https://ca.bbcollab.com/recording/7fde562c2c9f4010a9a62b2b30ab99df
Sem. Crisis Financiera Internacional,A,2020-06-11,Sesión 11 de junio,2:03:50,https://ca.bbcollab.com/recording/1aaad3c1bb6c4dff9ef97cc0b3ec4a27
Sem. Crisis Financiera Internacional,A,2020-06-18,clase 18 de junio,3:04:17,https://ca.bbcollab.com/recording/07d250a05bb54c3cb9edcfda9071ecbf
Sem. Crisis Financiera Internacional,A,2020-06-25,Clase 25 junio,1:51:04,https://ca.bbcollab.com/recording/8434b8a8e37b453391b03e1171a1dce5
Sem. Crisis Financiera Internacional,A,2020-07-02,sesión 2 de julio,2:06:19,https://ca.bbcollab.com/recording/8c9fb3508858410486619175adbe3a88
Sem. Crisis Financiera Internacional,A,2020-07-02,sesión 2 de julio,2:06:19,https://ca.bbcollab.com/recording/8c9fb3508858410486619175adbe3a88
