Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sem. Desigualdad y Alivio de la Pobreza,A,2020-03-31,Sesión 1 Sem Desigualdad UD 1,1:38:16,https://ca.bbcollab.com/recording/9e8d0ad203734c429c3e4554b825d002
Sem. Desigualdad y Alivio de la Pobreza,A,2020-04-07,sesión 2 de Sem Desigualdad,1:47:56,https://ca.bbcollab.com/recording/de91c75c612d4e6bad9e311b04b8d67b
Sem. Desigualdad y Alivio de la Pobreza,A,2020-04-14,Tercera sesión de Sem Desigualdad,1:46:34,https://ca.bbcollab.com/recording/8eee989f04c34a928bb3404e2283e718
Sem. Desigualdad y Alivio de la Pobreza,A,2020-04-21,sesión 7 de Sem Desigualdad,1:42:06,https://ca.bbcollab.com/recording/7a07e7364a5141b4b69f22cfbfd1031c
Sem. Desigualdad y Alivio de la Pobreza,A,2020-04-28,sesión 5 de Sem Desigualdad,1:45:14,https://ca.bbcollab.com/recording/99680f8f11b6427ea7c85fccfe33fa3f
Sem. Desigualdad y Alivio de la Pobreza,A,2020-05-05,sesión 6 Sem Desigualdad,1:43:11,https://ca.bbcollab.com/recording/51ac177518e0498fb301a9ef384d0bd3
Sem. Desigualdad y Alivio de la Pobreza,A,2020-05-12,sesión 7 de Sem Desigualdad,1:40:32,https://ca.bbcollab.com/recording/3b60c9ad5e094755a2219a6ab40286ea
Sem. Desigualdad y Alivio de la Pobreza,A,2020-05-26,sesión 8 de Sem Desigualdad,1:49:26,https://ca.bbcollab.com/recording/39f6df93055a4709a947bc44af556cc5
Sem. Desigualdad y Alivio de la Pobreza,A,2020-06-02,Sesión 9 de Sem Desigualdad,1:40:32,https://ca.bbcollab.com/recording/1103bc8f8a3d43b9b8d7a98510a4a755
Sem. Desigualdad y Alivio de la Pobreza,A,2020-06-09,Sesión 10 de Sem Desigualdad,1:40:38,https://ca.bbcollab.com/recording/bf47bfeb59ae44ac84d473469b00967b
Sem. Desigualdad y Alivio de la Pobreza,A,2020-06-16,Sesión 11 de Sem Desigualdad,1:37:54,https://ca.bbcollab.com/recording/284f5ee9c55241aead21241a6d064a52
Sem. Desigualdad y Alivio de la Pobreza,A,2020-06-23,Sesión 12 de Sem Desigualdad,1:37:41,https://ca.bbcollab.com/recording/8c80b4b5f4e44094a2136e43f6d33c2c
Sem. Desigualdad y Alivio de la Pobreza,A,2020-06-30,Sesión 13 Sem Desigualdad,1:41:54,https://ca.bbcollab.com/recording/604355ae4bf342669a64257f846dbcf0
Sem. Desigualdad y Alivio de la Pobreza,A,2020-07-07,Última sesión de Sem Desigualdad,1:48:01,https://ca.bbcollab.com/recording/c49adb6d327a42dfac790a5e810da9a9
