Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sem. Felicidad y Valores en un Mundo con,A,2020-03-31,sesión 1 de Sem Felicidad y Valores,1:41:39,https://ca.bbcollab.com/recording/f37ed260471b44438b06b7b60856729b
Sem. Felicidad y Valores en un Mundo con,A,2020-04-07,Sesión Feliz 2,1:53:22,https://ca.bbcollab.com/recording/750e58552cba4a8792a7b9e530ed50cb
Sem. Felicidad y Valores en un Mundo con,A,2020-04-14,Tercera sesión Sem Felicidad,1:44:17,https://ca.bbcollab.com/recording/2630c47a8dc44597a91a4b870c435f1b
Sem. Felicidad y Valores en un Mundo con,A,2020-04-21,sesión 4 de Sem Felicidad,1:40:50,https://ca.bbcollab.com/recording/f50d8340de104e10bd21ac366539c52b
Sem. Felicidad y Valores en un Mundo con,A,2020-04-28,sesión 5 de Sem Felicidad,1:43:32,https://ca.bbcollab.com/recording/b63abb57dc974bd1b2737d6b0e55137e
Sem. Felicidad y Valores en un Mundo con,A,2020-05-05,sesión 6 de Seminario Feliz,1:52:46,https://ca.bbcollab.com/recording/6192b1b0e61440aeae6407d10faa6c8a
Sem. Felicidad y Valores en un Mundo con,A,2020-05-12,sesión 7 de Sem Felicidad,1:56:11,https://ca.bbcollab.com/recording/4f3efec1816c49c9a78b13f334de57af
Sem. Felicidad y Valores en un Mundo con,A,2020-05-26,sesión 8 de Sem Feliz,1:44:58,https://ca.bbcollab.com/recording/43f805d578114c7b9e3c3472ae901537
Sem. Felicidad y Valores en un Mundo con,A,2020-06-02,Sesión 9 de Sem Felicidad,1:59:06,https://ca.bbcollab.com/recording/e5509d8e0c604bc8be9b5d3d5ae2c57a
Sem. Felicidad y Valores en un Mundo con,A,2020-06-09,Sesión 10 de Sem Felicidad,0:00:26,https://ca.bbcollab.com/recording/daca716a38bf44faa60b992eeb00b5ee
Sem. Felicidad y Valores en un Mundo con,A,2020-06-16,Sesión 11 de Sem Felicidad,1:39:03,https://ca.bbcollab.com/recording/c747f2fc832341d3837ed5451434a504
Sem. Felicidad y Valores en un Mundo con,A,2020-06-23,Sesión 12 de Sem Felicidad,1:49:08,https://ca.bbcollab.com/recording/2878553f313642d38d47f50ebbc632c9
Sem. Felicidad y Valores en un Mundo con,A,2020-06-30,sesión 13 de Sem Felicidad,1:57:40,https://ca.bbcollab.com/recording/0f66371afd634587b8ebe8f3d05ba817
