Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-04-01,Primera Unidad del Curso,1:19:33,https://ca.bbcollab.com/recording/b0581e3264064398bfcf710fa95c5bee
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-04-08,Sesion II,1:54:01,https://ca.bbcollab.com/recording/a347857ba7ec4547937520fe6a85fc4e
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-04-15,Tercera Sesión,1:33:44,https://ca.bbcollab.com/recording/33c7201e49024768bde9795415214872
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-04-22,Tercera Unidad: Los Ciclos Económicos de la Amazonia,1:49:55,https://ca.bbcollab.com/recording/8c8f1635c7c447148726d58960a3f447
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-04-29,Cuarta Unidad: Políticas Públicas,1:34:00,https://ca.bbcollab.com/recording/e4aa7b045c89424484262e225311752c
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-05-06,CUARTA UNIDAD: Politicas Públicas Amazonía,1:41:21,https://ca.bbcollab.com/recording/bb976c07a3ef4673a90e4ac4cf0c343d
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-05-13,QUINTA UNIDAD: ECONOMIAS ILICITAS,0:33:21,https://ca.bbcollab.com/recording/bbbe582e9d204fa98f850f34fd0b3fd1
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-05-27,"COVID 19, AMAZONIA Y PUEBLOS INDIGENAS",1:31:04,https://ca.bbcollab.com/recording/1ac162ddee9f4ad5b0b13d900cf415f6
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-06-03,SEPTIMA UNIDAD CULTURA Y AMAZONIA,1:31:26,https://ca.bbcollab.com/recording/b913f16b36264fa78259cbcbce4dbf81
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-06-10,Control de Lectura,0:23:12,https://ca.bbcollab.com/recording/0d3dfe051cb0473c9149ba739e1d7768
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-06-17,OCTAVA SESION AMAZONIA Y RELACIONES INTERNACIONALES,1:36:28,https://ca.bbcollab.com/recording/5229a9d765cb4153a72d44c2d77d2832
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-06-24,NOVENA UNIDAD AMAZONIA Y POLITICA INTERNACIONAL,1:25:03,https://ca.bbcollab.com/recording/4c6ee3da5cba4b8c96bbd371ea75a01b
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-07-01,Tercer Control,0:16:56,https://ca.bbcollab.com/recording/15ee029048ca479187c73a75432c8992
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-07-08,"DECIMA UNIDAD. Amazonia, Soberanias y PP.II",1:39:13,https://ca.bbcollab.com/recording/a475e2ab0a374f67b879f82608d16fd8
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-07-08,"DECIMA UNIDAD. Amazonia, Soberanias y PP.II",1:39:13,https://ca.bbcollab.com/recording/a475e2ab0a374f67b879f82608d16fd8
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-07-18,Examen Final,1:10:13,https://ca.bbcollab.com/recording/704d9df17d5b48f78f116e726d949de4
"Sem. La Amazonía en el Siglo XXI, Retos",A,2020-07-18,Examen Final,0:00:05,https://ca.bbcollab.com/recording/93a7481af5134da5a5d9e44ba5435bc8
