Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sem. M&A Case Studies,A,2020-03-31,Clase 1,1:44:14,https://ca.bbcollab.com/recording/5d4f1271523e4fec9fe09b6e0afa715d
Sem. M&A Case Studies,A,2020-04-07,Clase 2,1:53:37,https://ca.bbcollab.com/recording/93ba79d4636e4aa0bc4bf20f01206e33
Sem. M&A Case Studies,A,2020-04-14,Clase 3,1:51:07,https://ca.bbcollab.com/recording/1947a3f19e8042aa97b5755bab5cfe28
Sem. M&A Case Studies,A,2020-04-21,Clase 4,1:44:29,https://ca.bbcollab.com/recording/bd9cc01425a14e759300971891f29e68
Sem. M&A Case Studies,A,2020-04-28,Clase 5,1:45:56,https://ca.bbcollab.com/recording/34b3a04641a844e691fa3c5b83f30ee3
Sem. M&A Case Studies,A,2020-05-05,Clase 6,1:51:25,https://ca.bbcollab.com/recording/605da0b292b841b5bbf13492a12e4226
Sem. M&A Case Studies,A,2020-05-12,Clase 7,1:45:20,https://ca.bbcollab.com/recording/5039a4cb7b084f98932210963a783ab9
Sem. M&A Case Studies,A,2020-05-26,Clase 8,1:49:30,https://ca.bbcollab.com/recording/bba9429025c341f2ab35acc5bb21cba2
Sem. M&A Case Studies,A,2020-06-02,Clase 9,1:50:38,https://ca.bbcollab.com/recording/72e06fd9103043ac9a7951a8485b6806
Sem. M&A Case Studies,A,2020-06-09,Clase 10,1:51:29,https://ca.bbcollab.com/recording/1ea6327023864b86b0c1eec19413ae7c
Sem. M&A Case Studies,A,2020-06-16,Clase 11,1:44:31,https://ca.bbcollab.com/recording/6e96dad1753843419c6a360ad02afc52
Sem. M&A Case Studies,A,2020-06-23,Clase 12,1:28:45,https://ca.bbcollab.com/recording/13fd877a0fa44768b4d2e45a0d139a6d
Sem. M&A Case Studies,A,2020-06-30,Clase 13,1:51:33,https://ca.bbcollab.com/recording/005dbc5999e549e692aacfcc6a3700af
Sem. M&A Case Studies,A,2020-06-30,Clase 13,1:51:33,https://ca.bbcollab.com/recording/005dbc5999e549e692aacfcc6a3700af
