Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sem. Valorización de Empresas,A,2020-04-02,Sesión 1: Introducción,1:47:05,https://ca.bbcollab.com/recording/5e210476365b4a79846d4847178914ce
Sem. Valorización de Empresas,A,2020-04-09,Sesión 2: Tasas de Descuento,1:47:16,https://ca.bbcollab.com/recording/d0e1d6acef624337be31411b9043e7cf
Sem. Valorización de Empresas,A,2020-04-16,Sesión 3,1:53:55,https://ca.bbcollab.com/recording/b752f483bd6743e7acb10c443527a08b
Sem. Valorización de Empresas,A,2020-04-23,Sesión 4,1:49:33,https://ca.bbcollab.com/recording/5e640874b7e440af825c28460bb25677
Sem. Valorización de Empresas,A,2020-04-30,Sesión 5,1:46:56,https://ca.bbcollab.com/recording/3d1a1e701cd54a4bb02f6a8293c5c795
Sem. Valorización de Empresas,A,2020-05-07,Sesión 6,1:51:41,https://ca.bbcollab.com/recording/7c86b3464b9d40a08e442ddbb308fced
Sem. Valorización de Empresas,A,2020-05-28,Sesión 7,1:24:41,https://ca.bbcollab.com/recording/5ef13a6968f34cd0a41e407434aea98b
Sem. Valorización de Empresas,A,2020-06-06,Sesión 8,1:42:40,https://ca.bbcollab.com/recording/a0f401070fab423a964c639203d44ebc
Sem. Valorización de Empresas,A,2020-06-13,Sesión 9,1:43:04,https://ca.bbcollab.com/recording/586c1f0a094945a783db0942153cd665
Sem. Valorización de Empresas,A,2020-06-18,Sesión 10,1:48:49,https://ca.bbcollab.com/recording/eef61b19629f41b88dbdbbc82069a88d
Sem. Valorización de Empresas,A,2020-06-25,Sesión 11,1:29:07,https://ca.bbcollab.com/recording/65428da6d53b40d18b626747be1184f7
Sem. Valorización de Empresas,A,2020-07-02,Sesión 12,1:51:12,https://ca.bbcollab.com/recording/96c5f999cad44fe2a056b4186d82acd6
Sem. Valorización de Empresas,A,2020-07-02,Sesión 12,1:51:12,https://ca.bbcollab.com/recording/96c5f999cad44fe2a056b4186d82acd6
Sem. Valorización de Empresas,A,2020-07-04,Sesión 13,0:31:20,https://ca.bbcollab.com/recording/2e3ecce51c1441489a63671907e8b08c
Sem. Valorización de Empresas,A,2020-07-09,Sesión 14,1:03:54,https://ca.bbcollab.com/recording/9696d61b7feb47bc9c198bc8a63dfd1c
Sem. Valorización de Empresas,A,2020-07-09,Sesión 14,1:03:54,https://ca.bbcollab.com/recording/9696d61b7feb47bc9c198bc8a63dfd1c
