Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sem. de Administración de Riesgo en Banc,A,2020-03-30,Clase 1,1:53:50,https://ca.bbcollab.com/recording/de1af227b9c1454682a1df06801d9e7f
Sem. de Administración de Riesgo en Banc,A,2020-04-06,Clase 2,1:58:01,https://ca.bbcollab.com/recording/d0393e7ac0c446399f383a99649175e0
Sem. de Administración de Riesgo en Banc,A,2020-04-13,Clase 3,1:56:24,https://ca.bbcollab.com/recording/03f78f6def2242fca934e8c8da9f488d
Sem. de Administración de Riesgo en Banc,A,2020-04-20,Clase 4,2:23:13,https://ca.bbcollab.com/recording/dac076fdccd749b78b6f95608fc4189e
Sem. de Administración de Riesgo en Banc,A,2020-04-27,Clase 5,1:58:45,https://ca.bbcollab.com/recording/19c6b97133b64e048f21569b07e6aaa3
Sem. de Administración de Riesgo en Banc,A,2020-04-27,Clase 5,0:00:29,https://ca.bbcollab.com/recording/98c3fcb9947c4089888848c98533561b
Sem. de Administración de Riesgo en Banc,A,2020-05-04,Clase 6,0:00:02,https://ca.bbcollab.com/recording/0221fde797ff41629301401d5090fe00
Sem. de Administración de Riesgo en Banc,A,2020-05-04,Clase 6,2:06:27,https://ca.bbcollab.com/recording/6fc15edbf69f446a92af2a8febf1dd99
Sem. de Administración de Riesgo en Banc,A,2020-05-11,Clase 7,1:50:50,https://ca.bbcollab.com/recording/16254f42208c4fdf9e38efae607517ca
Sem. de Administración de Riesgo en Banc,A,2020-05-11,Clase 7,0:07:43,https://ca.bbcollab.com/recording/edce1b8fdb0a482ebeab063fbb77f0db
Sem. de Administración de Riesgo en Banc,A,2020-05-25,Clase 8,1:58:59,https://ca.bbcollab.com/recording/0c2706796d1f4f54aac23e1482e741f6
Sem. de Administración de Riesgo en Banc,A,2020-05-25,Clase 8,0:00:06,https://ca.bbcollab.com/recording/3e1069194303483094c0f6c8ff219613
Sem. de Administración de Riesgo en Banc,A,2020-05-25,Clase 8,0:00:12,https://ca.bbcollab.com/recording/96d452ccf43243649ef099df49ab5648
Sem. de Administración de Riesgo en Banc,A,2020-05-25,Clase 8,0:00:10,https://ca.bbcollab.com/recording/d7607f45958142178cc2fed746f8c655
Sem. de Administración de Riesgo en Banc,A,2020-06-01,Clase 9,0:00:03,https://ca.bbcollab.com/recording/5f264cfa23dc47298bf3ff592f266927
Sem. de Administración de Riesgo en Banc,A,2020-06-01,Clase 9,1:55:07,https://ca.bbcollab.com/recording/d1e3e79231804aceb2fb987d5c23cbce
Sem. de Administración de Riesgo en Banc,A,2020-06-08,Clase 10,1:57:52,https://ca.bbcollab.com/recording/c68291954a5941588f6ac2bda5b88580
Sem. de Administración de Riesgo en Banc,A,2020-06-15,Clase 11,2:02:51,https://ca.bbcollab.com/recording/85854725eb3e44e3a53f28af3c80fe24
Sem. de Administración de Riesgo en Banc,A,2020-06-22,Clase 12,1:50:23,https://ca.bbcollab.com/recording/6fb40e5d362740e1b8a61008cd11b5cc
Sem. de Administración de Riesgo en Banc,A,2020-06-29,Clase 13,1:08:43,https://ca.bbcollab.com/recording/1036f710306a4042a37c6a4cafe96e0b
Sem. de Administración de Riesgo en Banc,A,2020-06-29,Clase 13,0:55:51,https://ca.bbcollab.com/recording/6c896b3bb7c7485da73de0a632af69f0
Sem. de Administración de Riesgo en Banc,A,2020-07-06,Clase 14,0:00:08,https://ca.bbcollab.com/recording/25987045c4f74fb0bf12fff44739cb33
Sem. de Administración de Riesgo en Banc,A,2020-07-06,Clase 14,2:03:12,https://ca.bbcollab.com/recording/41cb1553e4034601981425d7ffe97ed8
