Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sem. de Alternative Investment,A,2020-04-07,Session 2,1:48:47,https://ca.bbcollab.com/recording/78ce7fb8526f4c08a8e924d0d2fd33dd
Sem. de Alternative Investment,A,2020-04-14,Session 3,1:52:40,https://ca.bbcollab.com/recording/257d443181a04db1ae5f0dd57c12f7ed
Sem. de Alternative Investment,A,2020-04-21,Session 4,1:51:56,https://ca.bbcollab.com/recording/4b6d9b52aeb8488bb7e4eb115f519dcb
Sem. de Alternative Investment,A,2020-04-28,Session 5,1:36:16,https://ca.bbcollab.com/recording/b988b1fe8d2344feb897f358eafc291b
Sem. de Alternative Investment,A,2020-05-05,Session 6,1:45:28,https://ca.bbcollab.com/recording/1c688040f77e4d30b82ab310d38d744a
Sem. de Alternative Investment,A,2020-05-12,Session 7,1:43:27,https://ca.bbcollab.com/recording/1796a8c74fa14d3cbe186e0b18f527e7
Sem. de Alternative Investment,A,2020-05-26,Session 8,1:45:58,https://ca.bbcollab.com/recording/fe596db1886b48439dfde8a1671004a1
Sem. de Alternative Investment,A,2020-06-02,Session 9,1:42:11,https://ca.bbcollab.com/recording/390f58cf678c4f158e867505793aa434
Sem. de Alternative Investment,A,2020-06-09,Session 10,1:45:32,https://ca.bbcollab.com/recording/882e63cca8254a169830de3c539b84da
Sem. de Alternative Investment,A,2020-06-16,Session 11,1:48:01,https://ca.bbcollab.com/recording/922c101a65624d10b09915ea2994c6c2
Sem. de Alternative Investment,A,2020-06-23,Session 12,1:39:26,https://ca.bbcollab.com/recording/50383043dcdb4dad942158cf83ee2e75
Sem. de Alternative Investment,A,2020-06-30,Session 13,1:46:09,https://ca.bbcollab.com/recording/7cdb71faa2944f209fca6a3aa07c82b2
Sem. de Alternative Investment,A,2020-07-07,Session 14,1:45:00,https://ca.bbcollab.com/recording/a4e0782baa69468a9293b6c887b5de20
