Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sem. de Economía y Desarrollo Humano,A,2020-03-31,Clase 1,1:49:47,https://ca.bbcollab.com/recording/fbd79a0539594d1796382f0b7e3f480d
Sem. de Economía y Desarrollo Humano,A,2020-04-07,Clase 2,1:36:32,https://ca.bbcollab.com/recording/6de61f5d4c3d4248a06ec4ead071de2b
Sem. de Economía y Desarrollo Humano,A,2020-04-14,Clase 3,1:52:01,https://ca.bbcollab.com/recording/63bfb06c6eba46f2974d27b1537932fe
Sem. de Economía y Desarrollo Humano,A,2020-04-21,Clase 4,1:23:02,https://ca.bbcollab.com/recording/48b02cd4d6014db8a5b368d7b4193ccd
Sem. de Economía y Desarrollo Humano,A,2020-04-28,Clase 5,1:46:32,https://ca.bbcollab.com/recording/4d934324bd744bf6a1aaa20603a65d54
Sem. de Economía y Desarrollo Humano,A,2020-05-05,Clase 6,1:52:24,https://ca.bbcollab.com/recording/8f65172cb01949f0afd5ac9c74c23ee2
Sem. de Economía y Desarrollo Humano,A,2020-05-12,Clase 7,1:41:52,https://ca.bbcollab.com/recording/e2c19000fa684c3a9715d5ef1c381a10
Sem. de Economía y Desarrollo Humano,A,2020-05-26,Clase 8,1:19:24,https://ca.bbcollab.com/recording/0fbf084ac1d04e479b648d8881bac932
Sem. de Economía y Desarrollo Humano,A,2020-06-02,Clase 9,1:31:41,https://ca.bbcollab.com/recording/3f1a8b3d41d74239be711b8fbb35055c
Sem. de Economía y Desarrollo Humano,A,2020-06-09,Clase 10,1:11:03,https://ca.bbcollab.com/recording/13f5aed015a34ed0b3fec8601db15ba3
Sem. de Economía y Desarrollo Humano,A,2020-06-09,Clase 10,0:10:07,https://ca.bbcollab.com/recording/f2600c68896a497ca2240530ccc7162b
Sem. de Economía y Desarrollo Humano,A,2020-06-16,Clase 11,1:33:43,https://ca.bbcollab.com/recording/a0c2e6e5dea24fb084663debb80fe01b
Sem. de Economía y Desarrollo Humano,A,2020-06-23,Clase 12,1:46:41,https://ca.bbcollab.com/recording/931b356ff0824616981d45796726dde3
Sem. de Economía y Desarrollo Humano,A,2020-06-30,Clase 13,0:52:56,https://ca.bbcollab.com/recording/3ecbbaad190d46359649d42129764f29
Sem. de Economía y Desarrollo Humano,A,2020-06-30,Clase 13,0:39:35,https://ca.bbcollab.com/recording/c8f393e9e28148c2b6c03e8ffb78ed5e
Sem. de Economía y Desarrollo Humano,A,2020-06-30,Clase 13,0:39:35,https://ca.bbcollab.com/recording/c8f393e9e28148c2b6c03e8ffb78ed5e
Sem. de Economía y Desarrollo Humano,A,2020-07-07,Clase 14,2:02:57,https://ca.bbcollab.com/recording/92fbbc8716c246c69930e3b14ebece30
