Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Simulación de Decisiones de Marketing,A,2020-04-01,SESION 1,2:30:20,https://ca.bbcollab.com/recording/bef09e2880124fada82be32e05b1fa73
Simulación de Decisiones de Marketing,A,2020-04-08,SESION 2,2:41:06,https://ca.bbcollab.com/recording/6770f426b773456f924f45909a6bf953
Simulación de Decisiones de Marketing,A,2020-04-15,SESIÓN 3,2:42:19,https://ca.bbcollab.com/recording/7c422963eb024b59938a9b196bfc5755
Simulación de Decisiones de Marketing,A,2020-04-22,SESIÓN 4,2:35:32,https://ca.bbcollab.com/recording/b309b6b17b08477a949108b541af6977
Simulación de Decisiones de Marketing,A,2020-04-29,SESIÓN 5,0:38:27,https://ca.bbcollab.com/recording/ce08a1b35eda4923a69eab51cef89fd3
Simulación de Decisiones de Marketing,A,2020-05-06,SESIÓN 6,2:44:42,https://ca.bbcollab.com/recording/9ccfcdd0cf304349bb14a8d35307a4a6
Simulación de Decisiones de Marketing,A,2020-05-13,SESIÓN 7,2:43:06,https://ca.bbcollab.com/recording/4bc8f033513e44a1852a2b550ee214f5
Simulación de Decisiones de Marketing,A,2020-05-27,SESIÓN 9,2:40:43,https://ca.bbcollab.com/recording/a079b3d6847f4b629dba4ef3c107a624
Simulación de Decisiones de Marketing,A,2020-06-03,SESIÓN 10,2:27:44,https://ca.bbcollab.com/recording/6d30679cd8c54fb1859a20ac0003f44a
Simulación de Decisiones de Marketing,A,2020-06-10,SESIÓN 11,2:48:01,https://ca.bbcollab.com/recording/b7cca31800b941b1a26b99aa46bf1d12
Simulación de Decisiones de Marketing,A,2020-06-17,SESIÓN 12,0:27:37,https://ca.bbcollab.com/recording/49b77e810d404e10a1010e31b67acfed
Simulación de Decisiones de Marketing,A,2020-06-24,SESIÓN 13,0:11:04,https://ca.bbcollab.com/recording/7f45f08b11474e5d9986b4680cdb7388
Simulación de Decisiones de Marketing,A,2020-06-24,SESIÓN 13,0:16:41,https://ca.bbcollab.com/recording/81b6c491da3b4d4fabb14cf0f5aa219d
Simulación de Decisiones de Marketing,A,2020-06-24,SESIÓN 13,0:07:46,https://ca.bbcollab.com/recording/d078d6273e264cf9bc1dfd34e7f89b28
Simulación de Decisiones de Marketing,A,2020-07-01,SESIÓN 14,2:58:59,https://ca.bbcollab.com/recording/e6242a212fc94ad79aa40088efb32335
Simulación de Decisiones de Marketing,A,2020-07-08,SESION 15 - FINAL,2:43:39,https://ca.bbcollab.com/recording/114ae239f8a64cb9a3ee06ceb4855795
