Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sistemas Financieros,B,2020-04-01,"Class 2: Sistemas Financieros, April 1st",1:55:32,https://ca.bbcollab.com/recording/690d9a7f232d42d2803ed61a8059404c
Sistemas Financieros,B,2020-04-06,"Class 3:  Sistemas Financieros-B, April 6th",1:49:10,https://ca.bbcollab.com/recording/20bcee932af04e74b1a474ddc1f98a02
Sistemas Financieros,B,2020-04-08,"Class 4: Sistemas Financieros, April 8th",1:34:08,https://ca.bbcollab.com/recording/72cc937ea64248ddb17560e7a38c9f33
Sistemas Financieros,B,2020-04-13,"Class 5: Monday, April 13th",1:57:55,https://ca.bbcollab.com/recording/8965c236033d420c8379e4eaabd3676b
Sistemas Financieros,B,2020-04-15,Class 6: Sistemas Financieros,2:05:23,https://ca.bbcollab.com/recording/cfe3e6906d5649868d15ba6296e29d6e
Sistemas Financieros,B,2020-04-20,Class 7: Sistemas Financieros-B,1:53:36,https://ca.bbcollab.com/recording/4be9a3b5f5724adfac23c4c716e721f6
Sistemas Financieros,B,2020-04-27,Class 7: Sistemas Financieros,1:54:14,https://ca.bbcollab.com/recording/2c5b8eea6cfd44938a8718ee865b2fd8
Sistemas Financieros,B,2020-04-29,Sistemas Financieros -B,1:54:36,https://ca.bbcollab.com/recording/96467b9bd8be482dbfc1f4d03b54c286
Sistemas Financieros,B,2020-05-04,Sistemas Financieros -B,1:53:21,https://ca.bbcollab.com/recording/89bb1c26f71147629880d6f328308995
Sistemas Financieros,B,2020-05-06,Sistemas Financieros -B,1:43:10,https://ca.bbcollab.com/recording/4d3328172883407180c15a902b51a78b
Sistemas Financieros,B,2020-05-11,Sistemas Financieros -B,1:52:33,https://ca.bbcollab.com/recording/e1f32f6f573840499b136e30d85e3914
Sistemas Financieros,B,2020-05-13,Sistemas Financieros -B,1:58:13,https://ca.bbcollab.com/recording/5ff15530af2f4d1b91642df0191a233f
Sistemas Financieros,B,2020-05-19,Midterm Exam,1:06:22,https://ca.bbcollab.com/recording/c08286f8c15245ad9a670aa93927fd97
Sistemas Financieros,B,2020-05-25,Sistemas Financieros -B,1:53:43,https://ca.bbcollab.com/recording/d30b2e725f2d4862b54a4c9e6f6f0a10
Sistemas Financieros,B,2020-05-27,Sistemas Financieros -B,1:51:23,https://ca.bbcollab.com/recording/83939bfe9587442898e284330c2b65e3
Sistemas Financieros,B,2020-06-01,Sistemas Financieros -B,1:52:28,https://ca.bbcollab.com/recording/c74c3be8802c4797b6da720572f34868
Sistemas Financieros,B,2020-06-03,Sistemas Financieros -B,1:52:30,https://ca.bbcollab.com/recording/7e39576679d84221b11ec02b325ec4e1
Sistemas Financieros,B,2020-06-08,Sistemas Financieros -B,1:47:31,https://ca.bbcollab.com/recording/e1f46752583e41ff9f7f80677c16a8b1
Sistemas Financieros,B,2020-06-10,Sistemas Financieros -B,2:01:28,https://ca.bbcollab.com/recording/b9536c5481c94bbb8884fbe2377d6f4e
Sistemas Financieros,B,2020-06-15,Sistemas Financieros -B,1:51:56,https://ca.bbcollab.com/recording/7013061926224b98aa9093c2dc23cd9b
Sistemas Financieros,B,2020-06-17,Sistemas Financieros -B,1:53:26,https://ca.bbcollab.com/recording/8188fe734b6647f48b0492fec93db4c9
Sistemas Financieros,B,2020-06-22,Sistemas Financieros -B,1:52:03,https://ca.bbcollab.com/recording/415f406f3d2140eb8bdb88df995160df
Sistemas Financieros,B,2020-06-24,Sistemas Financieros -B,1:45:11,https://ca.bbcollab.com/recording/1b06c3ee44264317994ad2c016b77acc
Sistemas Financieros,B,2020-07-01,Sistemas Financieros -B,1:55:20,https://ca.bbcollab.com/recording/439f7856a00a4ca9868e133819627984
Sistemas Financieros,B,2020-07-06,Sistemas Financieros -B,1:54:47,https://ca.bbcollab.com/recording/877d1fdc687648bf8f1ee1a9b2572156
Sistemas Financieros,B,2020-07-08,Sistemas Financieros -B,2:02:14,https://ca.bbcollab.com/recording/7b1b49cd15b84198a51d642aabb9cc2a
Sistemas Financieros,B,2020-07-08,Sistemas Financieros -B,2:02:14,https://ca.bbcollab.com/recording/7b1b49cd15b84198a51d642aabb9cc2a
