Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sistemas Financieros,C,2020-04-01,Clase 1 1ro de Abril,1:38:19,https://ca.bbcollab.com/recording/4f40e167bd7046f784961ed6a6dee2aa
Sistemas Financieros,C,2020-04-03,Clase viernes 3 de abril,1:37:19,https://ca.bbcollab.com/recording/8cffeb6e739a47b3ab46bd3a13f097a2
Sistemas Financieros,C,2020-04-08,Clase 8 de Abril,0:07:08,https://ca.bbcollab.com/recording/deaf7201842c46b5828a941ab326f0a7
Sistemas Financieros,C,2020-04-08,Clase 8 de Abril,1:47:51,https://ca.bbcollab.com/recording/f8070edf914247bfa3ac55a59df8806b
Sistemas Financieros,C,2020-04-10,Clase viernes 10 de abril,1:33:50,https://ca.bbcollab.com/recording/c9c131fa75e44260981db78d3e518014
Sistemas Financieros,C,2020-04-15,Clase 15 de Abril,1:49:08,https://ca.bbcollab.com/recording/08eef2baea204228bf7fc940a042bd41
Sistemas Financieros,C,2020-04-17,Clase Viernes 17 de Abril,1:55:33,https://ca.bbcollab.com/recording/008d349568384e019449bd7510c052f7
Sistemas Financieros,C,2020-04-22,Clase MIércoles 22 de abril,1:57:28,https://ca.bbcollab.com/recording/14eab8ad6f424532b4464562554e6b65
Sistemas Financieros,C,2020-04-24,Clase Viernes 24 de abril,1:53:45,https://ca.bbcollab.com/recording/78d831ff9cbf4f168c8b8e9155ee67b9
Sistemas Financieros,C,2020-04-29,Clase 29 de Abril,0:47:00,https://ca.bbcollab.com/recording/4f2fffcc67a842dea00df517fddba063
Sistemas Financieros,C,2020-05-01,Clase 1ro de Mayo,0:44:06,https://ca.bbcollab.com/recording/e9362d47f40d41d0b7590d885ed31874
Sistemas Financieros,C,2020-05-06,Clase 6 de Mayo,1:33:43,https://ca.bbcollab.com/recording/c061dcf5a3c44a35877e51e00018d4f2
Sistemas Financieros,C,2020-05-08,Clase 8 de Mayo,1:23:23,https://ca.bbcollab.com/recording/fd69fe56e1f7425eb59f03755c6b6509
Sistemas Financieros,C,2020-05-13,Clase 13 de Mayo,1:32:21,https://ca.bbcollab.com/recording/ffd15748c6d9403e9f26f6e10a8ce4cf
Sistemas Financieros,C,2020-05-15,Clase 15 de Mayo,1:22:17,https://ca.bbcollab.com/recording/f4cdb4a6e1ea4e618aa97b0d91a18ac6
Sistemas Financieros,C,2020-05-27,Clase 27 de Mayo,1:38:31,https://ca.bbcollab.com/recording/c069601a9bfb4df4b76c2737fd79920e
Sistemas Financieros,C,2020-05-29,Clase 29 de Mayo,1:28:21,https://ca.bbcollab.com/recording/b3f72a6d1d4640a1a28f8f0814d19fc4
Sistemas Financieros,C,2020-06-03,Clase 3 de Junio,1:32:47,https://ca.bbcollab.com/recording/a8b6f1d724a64aeba0d1d0d6d040ab62
Sistemas Financieros,C,2020-06-05,Clase 5 de Junio,1:39:37,https://ca.bbcollab.com/recording/36e8f21f01064eb5aa0069cd2a75cb44
Sistemas Financieros,C,2020-06-10,Clase 10 de Junio,1:27:03,https://ca.bbcollab.com/recording/b95215a9c2ce4666a498e5acc847f874
Sistemas Financieros,C,2020-06-12,Clase 12 de Junio,1:52:38,https://ca.bbcollab.com/recording/5bdd9fdb7c104ea69753c896f8cdf2d2
Sistemas Financieros,C,2020-06-19,Clase 19 de Junio,1:37:36,https://ca.bbcollab.com/recording/08627023a28e4ea99fc025d3aff90eea
Sistemas Financieros,C,2020-06-24,Clase 24 de Junio,1:34:42,https://ca.bbcollab.com/recording/f525f4ef2aa44cf7a5bd343f3a55778c
Sistemas Financieros,C,2020-06-26,Clase 26 de junio,2:13:20,https://ca.bbcollab.com/recording/691b76620eb448ee8c5edfab742f8325
Sistemas Financieros,C,2020-07-01,Clase 1ro de Julio,1:34:53,https://ca.bbcollab.com/recording/94111f9e91464758abd662442b5df15e
Sistemas Financieros,C,2020-07-03,Clase 3 de Jullio,1:35:44,https://ca.bbcollab.com/recording/3f8e166560084a0a89f89b7a72c4506b
Sistemas Financieros,C,2020-07-08,Clase 7 de Julio,1:35:14,https://ca.bbcollab.com/recording/a5d765503b2746729ea17c8c99b44787
Sistemas Financieros,C,2020-07-08,Clase 7 de Julio,1:35:14,https://ca.bbcollab.com/recording/a5d765503b2746729ea17c8c99b44787
Sistemas Financieros,C,2020-07-09,Clase 9 de Julio,1:14:53,https://ca.bbcollab.com/recording/d894336b135e420ca90a323cbcaf6ffa
Sistemas Financieros,C,2020-07-09,Clase 9 de Julio,1:14:53,https://ca.bbcollab.com/recording/d894336b135e420ca90a323cbcaf6ffa
