Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sistemas de Información para la Gerencia,B,2020-03-31,Sesión 0,1:24:45,https://ca.bbcollab.com/recording/4c046d3dc33c4ee3973ffce04d6bbdf4
Sistemas de Información para la Gerencia,B,2020-04-02,Sesión 01 - Redes de Datos,1:37:11,https://ca.bbcollab.com/recording/79e0a52dd141477692b9af658f8d543f
Sistemas de Información para la Gerencia,B,2020-04-07,Sesión 03,1:46:20,https://ca.bbcollab.com/recording/7eeba0e6be304209a43de5708db1d12a
Sistemas de Información para la Gerencia,B,2020-04-14,Laboratorio1 - Infraestruc de Comunic,2:05:32,https://ca.bbcollab.com/recording/426e1e8e82644f908a47fbcb3b19d255
Sistemas de Información para la Gerencia,B,2020-04-16,Sesión 04,1:22:21,https://ca.bbcollab.com/recording/a052856c51594049892f9eee21b911f9
Sistemas de Información para la Gerencia,B,2020-04-21,Sesión 05 - II Parte,1:28:12,https://ca.bbcollab.com/recording/9ebd14093efd48f3a984b6cbaaf97b33
Sistemas de Información para la Gerencia,B,2020-04-23,Sesión 06,1:34:20,https://ca.bbcollab.com/recording/79d24ede10bc49e1872b2ea7f6d4bf00
Sistemas de Información para la Gerencia,B,2020-04-28,Laboratorio2 - Infraestruc de Comunic 2,1:55:07,https://ca.bbcollab.com/recording/24959c65c87a4f7ea22198bda543432e
Sistemas de Información para la Gerencia,B,2020-04-28,Sesión 07,1:17:19,https://ca.bbcollab.com/recording/21b6da090e8b4da78d3ea7d55658fc4f
Sistemas de Información para la Gerencia,B,2020-04-30,Sesión 09,1:49:52,https://ca.bbcollab.com/recording/6bdd9723383840bd8d5c67cd3c0fc3de
Sistemas de Información para la Gerencia,B,2020-05-07,Sesión 11,1:27:45,https://ca.bbcollab.com/recording/80e679bb52bc449abb2c7441c5fad49b
Sistemas de Información para la Gerencia,B,2020-05-12,Laboratorio 3 - RFID / IoT,1:55:07,https://ca.bbcollab.com/recording/ea6ded667339492fb3eb502124190822
Sistemas de Información para la Gerencia,B,2020-05-12,Sesión 12,1:25:12,https://ca.bbcollab.com/recording/126feee52d5e442e9d33eba2a33c1ded
Sistemas de Información para la Gerencia,B,2020-05-14,Sesión 13,1:34:21,https://ca.bbcollab.com/recording/aabbf8c73de24ec19f0c2fa621911713
Sistemas de Información para la Gerencia,B,2020-05-26,Sesión 14,1:19:59,https://ca.bbcollab.com/recording/f15de271262e4ad5b38201f79ec4bc4b
Sistemas de Información para la Gerencia,B,2020-05-28,Sesión 15,1:23:19,https://ca.bbcollab.com/recording/f99d9af6f3e8409d800beb79465a8be5
Sistemas de Información para la Gerencia,B,2020-06-02,Laboratorio 4 - Cloud Computing,2:00:12,https://ca.bbcollab.com/recording/489aabddc2a0412f8e9b521b936a7c05
Sistemas de Información para la Gerencia,B,2020-06-02,Sesión 16,1:33:08,https://ca.bbcollab.com/recording/6ce4c006ad7e44f389d0e52eeec0ff66
Sistemas de Información para la Gerencia,B,2020-06-04,Sesión 17,0:40:33,https://ca.bbcollab.com/recording/4d076a756ea8420a8c8859023b1d2412
Sistemas de Información para la Gerencia,B,2020-06-09,Sesión 18,1:32:36,https://ca.bbcollab.com/recording/746dac4222e54eeea0500a89a627a0cc
Sistemas de Información para la Gerencia,B,2020-06-11,Sesión 19,1:31:50,https://ca.bbcollab.com/recording/7237781c3d8d4954824b5c4203da0f68
Sistemas de Información para la Gerencia,B,2020-06-16,Laboratorio 5 - Power BI,1:56:47,https://ca.bbcollab.com/recording/0041b46a74c547c99d2af520be7d8c0f
Sistemas de Información para la Gerencia,B,2020-06-16,Sesión 20,1:37:48,https://ca.bbcollab.com/recording/ba8a6f6f713e481c8815529498fda71f
Sistemas de Información para la Gerencia,B,2020-06-18,Sesión 21,1:32:23,https://ca.bbcollab.com/recording/953363e7d63c4b2f9c030b0688974b35
Sistemas de Información para la Gerencia,B,2020-06-23,Sesión 22,1:35:29,https://ca.bbcollab.com/recording/860ced5b71a3416982594a232c385a0d
Sistemas de Información para la Gerencia,B,2020-06-30,Laboratorio 6 - ChatBot,1:57:39,https://ca.bbcollab.com/recording/ac672324979a43429fb876315557d26c
Sistemas de Información para la Gerencia,B,2020-06-30,Sesión 24,1:43:33,https://ca.bbcollab.com/recording/0968c4829cf24f44bb9bb4d7e032b1b3
Sistemas de Información para la Gerencia,B,2020-07-02,Sesión 25 - Asesoría,1:27:29,https://ca.bbcollab.com/recording/98ee64352be14cfbb9928a2baa4f9e22
Sistemas de Información para la Gerencia,B,2020-07-09,Última Sesión - 09/07,1:31:39,https://ca.bbcollab.com/recording/c6dfacc6f23e4aac93e6fe34b94e49a9
Sistemas de Información para la Gerencia,B,2020-07-09,Última Sesión - 09/07,1:31:39,https://ca.bbcollab.com/recording/c6dfacc6f23e4aac93e6fe34b94e49a9
Sistemas de Información para la Gerencia,B,2020-07-10,Penúltima Sesión - Reprogramada del 07/07,1:40:46,https://ca.bbcollab.com/recording/18b44c302a104c2f81e53c451e90a3c0
Sistemas de Información para la Gerencia,B,2020-07-10,Penúltima Sesión - Reprogramada del 07/07,1:40:46,https://ca.bbcollab.com/recording/18b44c302a104c2f81e53c451e90a3c0
Sistemas de Información para la Gerencia,B,2020-07-17,Examen Final SIG - B,1:57:50,https://ca.bbcollab.com/recording/f6cf6cb60ab8473cac77ebf4f9a169b3
