Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sistemas de Información para la Gerencia,C,2020-03-31,March 31st-FIRST CLASS,0:27:30,https://ca.bbcollab.com/recording/a14b3a51cb2847ff9b51e27942341bcd
Sistemas de Información para la Gerencia,C,2020-03-31,March 31st-FIRST CLASS,1:09:46,https://ca.bbcollab.com/recording/aa44ca6e3fdb4e53b96e63182741389b
Sistemas de Información para la Gerencia,C,2020-03-31,March 31st-FIRST CLASS,0:00:18,https://ca.bbcollab.com/recording/c1045a3b75ea4c6fbd66194e2c85b56c
Sistemas de Información para la Gerencia,C,2020-04-03,Friday April 3rd-2nd session,0:39:39,https://ca.bbcollab.com/recording/0676a45014ac449aa319d0fd3d556c83
Sistemas de Información para la Gerencia,C,2020-04-03,Friday April 3rd-2nd session,1:00:45,https://ca.bbcollab.com/recording/76a2a562e7ff41f385d1482b7a5959af
Sistemas de Información para la Gerencia,C,2020-04-07,Class-Tuesday April 7th-3rd Sesion,0:37:19,https://ca.bbcollab.com/recording/19f1c58a4bf6407e9ffb862c0aa00333
Sistemas de Información para la Gerencia,C,2020-04-07,Class-Tuesday April 7th-3rd Sesion,0:55:24,https://ca.bbcollab.com/recording/b8fe78c625664ac2a7504f540c56902b
Sistemas de Información para la Gerencia,C,2020-04-10,Class-Friday 10th- 4th Session,1:09:52,https://ca.bbcollab.com/recording/3511fd3a9cde4de09b7d8cd2153bc2cf
Sistemas de Información para la Gerencia,C,2020-04-10,Class-Friday 10th- 4th Session,0:12:43,https://ca.bbcollab.com/recording/5759b0bc40c548e28abfbe1dd1094f1e
Sistemas de Información para la Gerencia,C,2020-04-10,Class-Friday 10th- 4th Session,0:08:51,https://ca.bbcollab.com/recording/e36e73cc9a594ee7b62f2307930f819e
Sistemas de Información para la Gerencia,C,2020-04-13,Laboratorio #1,0:56:55,https://ca.bbcollab.com/recording/5ea4574976834af6983e668d629b247a
Sistemas de Información para la Gerencia,C,2020-04-14,Class-Tuesday-April 14th-4-5th Session,0:09:50,https://ca.bbcollab.com/recording/0558ff8edb414027ba76507e3d43d5a3
Sistemas de Información para la Gerencia,C,2020-04-14,Class-Tuesday-April 14th-4-5th Session,0:05:57,https://ca.bbcollab.com/recording/4de10a7de70b426d91eca159e60b31ed
Sistemas de Información para la Gerencia,C,2020-04-14,Class-Tuesday-April 14th-4-5th Session,0:23:43,https://ca.bbcollab.com/recording/5e5e570373f447d98ae4cc9bdf140c26
Sistemas de Información para la Gerencia,C,2020-04-14,Class-Tuesday-April 14th-4-5th Session,0:49:20,https://ca.bbcollab.com/recording/9b2cda129bcf4ff0ae59c86f422a7249
Sistemas de Información para la Gerencia,C,2020-04-17,Class-Friday 17th-5th Sesion,1:33:06,https://ca.bbcollab.com/recording/07eca508dade44a3ad50c786a981459a
Sistemas de Información para la Gerencia,C,2020-04-21,Class Tuesday 21st-6th Session,1:32:35,https://ca.bbcollab.com/recording/8d37f3f4feb84ea5a500967bf81be2da
Sistemas de Información para la Gerencia,C,2020-04-24,Class Friday 24th 7th Session,1:32:39,https://ca.bbcollab.com/recording/ce7ebfadf1f84fb5b6498b63f23d2064
Sistemas de Información para la Gerencia,C,2020-04-27,Laboratorio 2,2:02:06,https://ca.bbcollab.com/recording/3ef35f24e9ba4c6d9d9b624584fead4d
Sistemas de Información para la Gerencia,C,2020-04-28,Class Tuesday 28th-7 Session,1:38:30,https://ca.bbcollab.com/recording/d93bc10e076d4b2f9312d7e0d19566e0
Sistemas de Información para la Gerencia,C,2020-05-01,Class-Friday May 1st-8th Session,1:14:14,https://ca.bbcollab.com/recording/981ae369e9554d62ab8e8c985752c0d1
Sistemas de Información para la Gerencia,C,2020-05-05,Class-Tuesday May 5th-8-9 REVIEW Session,0:12:20,https://ca.bbcollab.com/recording/c2f7e94dd62c413cbc53acd562629a8c
Sistemas de Información para la Gerencia,C,2020-05-05,Class-Tuesday May 5th-8-9 REVIEW Session,0:59:29,https://ca.bbcollab.com/recording/cf3c38fc841d4bcbb566744b3a36d49d
Sistemas de Información para la Gerencia,C,2020-05-05,Class-Tuesday May 5th-8-9 REVIEW Session,0:02:25,https://ca.bbcollab.com/recording/f12fc3b78ac4475cae53ba7cf1afa737
Sistemas de Información para la Gerencia,C,2020-05-08,Class Friday May 8th- Review,1:47:23,https://ca.bbcollab.com/recording/188ad0cb256a4c4c888f7be9dcd514de
Sistemas de Información para la Gerencia,C,2020-05-11,Laboratorio 3,1:50:41,https://ca.bbcollab.com/recording/9110c5a12af24861893e18bb57872079
Sistemas de Información para la Gerencia,C,2020-05-12,Class Tuesday May 12th,1:36:13,https://ca.bbcollab.com/recording/42b4d40f676d4eb593debf20176c2626
Sistemas de Información para la Gerencia,C,2020-05-15,Class-Friday May  15th,1:50:28,https://ca.bbcollab.com/recording/93864bef63b44e38be94d64585b53470
Sistemas de Información para la Gerencia,C,2020-05-22,May 22nd- Mid Term,2:08:23,https://ca.bbcollab.com/recording/a2feae39a7a942cebcd0de71468c5de5
Sistemas de Información para la Gerencia,C,2020-05-26,Class Tuesday May 26th,0:41:28,https://ca.bbcollab.com/recording/aa897ab4aae44dd59b4accadcff5c87e
Sistemas de Información para la Gerencia,C,2020-05-26,Class Tuesday May 26th,0:39:56,https://ca.bbcollab.com/recording/c2924951d5c14927b7bae402864518c1
Sistemas de Información para la Gerencia,C,2020-05-29,Class Friday May 29th,0:01:54,https://ca.bbcollab.com/recording/45a67825eabc446bb4e5c6587db8dab7
Sistemas de Información para la Gerencia,C,2020-05-29,Class Friday May 29th,1:50:40,https://ca.bbcollab.com/recording/759a41d6ae42495bba1b64a4bd4abdb6
Sistemas de Información para la Gerencia,C,2020-06-01,Laboratorio 4,1:56:46,https://ca.bbcollab.com/recording/0d2b54b1361a4502b0d64c9b540ec78c
Sistemas de Información para la Gerencia,C,2020-06-05,Class-Friday June 5th,0:32:07,https://ca.bbcollab.com/recording/08804ab3939543d48380d1b2be805e23
Sistemas de Información para la Gerencia,C,2020-06-05,Class-Friday June 5th,0:45:34,https://ca.bbcollab.com/recording/54844ae416f14adca7bb511fe1654e88
Sistemas de Información para la Gerencia,C,2020-06-09,Class Tuesday June 09,1:45:59,https://ca.bbcollab.com/recording/247ad74a74ee4f7dbd161110a02a6411
Sistemas de Información para la Gerencia,C,2020-06-12,Class-Friday June 12th,1:27:18,https://ca.bbcollab.com/recording/c12588357e9149e6b6f979af22f73498
Sistemas de Información para la Gerencia,C,2020-06-15,Laboratorio 5,1:53:50,https://ca.bbcollab.com/recording/91adaed54f95474698c1c15164b90d3e
Sistemas de Información para la Gerencia,C,2020-06-19,Class-Friday June 19th,0:10:33,https://ca.bbcollab.com/recording/61611014b51a46079c3c161fe2bec859
Sistemas de Información para la Gerencia,C,2020-06-19,Class-Friday June 19th,0:28:15,https://ca.bbcollab.com/recording/672cc2fb7a5242d892c9128dcbafc0dc
Sistemas de Información para la Gerencia,C,2020-06-19,Class-Friday June 19th,0:48:45,https://ca.bbcollab.com/recording/e8d16deda0ae47579c903372fc7666ed
Sistemas de Información para la Gerencia,C,2020-06-22,Make up Class Monday 22nd June,1:27:50,https://ca.bbcollab.com/recording/f19d49adba7948a2b8f456ff1fca53b1
Sistemas de Información para la Gerencia,C,2020-06-23,Class Tuesday June 23rd,1:33:52,https://ca.bbcollab.com/recording/f59c1800580b4d0297b59f549ff6fa5f
Sistemas de Información para la Gerencia,C,2020-06-26,Class Friday June 26th,0:40:35,https://ca.bbcollab.com/recording/af5a9ff40b5542f39603fb4f18b9463b
Sistemas de Información para la Gerencia,C,2020-06-26,Class Friday June 26th,0:09:17,https://ca.bbcollab.com/recording/d88b604cfb444b989892f11fb74d583b
Sistemas de Información para la Gerencia,C,2020-06-30,Class Tuesday 30th,1:32:45,https://ca.bbcollab.com/recording/3db8460dc3114b76a7811ac0a66c3a4c
Sistemas de Información para la Gerencia,C,2020-07-03,Class Friday July 3rd,0:43:41,https://ca.bbcollab.com/recording/24234727bb84462f9df92facdaa73e5a
Sistemas de Información para la Gerencia,C,2020-07-06,Laboratorio 6,1:40:15,https://ca.bbcollab.com/recording/5b05c8cd6d064c8a9ab17ce43b329587
Sistemas de Información para la Gerencia,C,2020-07-07,Clas Tuesday July 7th,1:32:05,https://ca.bbcollab.com/recording/5462849d80de4988b16e99d9ec2c0108
Sistemas de Información para la Gerencia,C,2020-07-10,Class Friday July 10th,0:59:09,https://ca.bbcollab.com/recording/51b960cca0f8426f9fdeb412714c1f64
Sistemas de Información para la Gerencia,C,2020-07-10,Class Friday July 10th,0:59:09,https://ca.bbcollab.com/recording/51b960cca0f8426f9fdeb412714c1f64
Sistemas de Información para la Gerencia,C,2020-07-17,FINAL EXAM,0:25:26,https://ca.bbcollab.com/recording/79a60f36f2f24ba7bd3c42c042f7ebd1
