Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sociología,A,2020-04-01,Sesión 1: Bienvenida,1:19:54,https://ca.bbcollab.com/recording/ddf01c90c552499ebfd37b0afa4701cd
Sociología,A,2020-04-03,Sesión 2: El análisis social,1:51:29,https://ca.bbcollab.com/recording/d88ad32573644631989cc10da30e7fa6
Sociología,A,2020-04-08,Sesión 3: La investigación social,1:50:14,https://ca.bbcollab.com/recording/5fdc17cfe78a4431afb400d17f65fc6f
Sociología,A,2020-04-15,Sesión 4,1:40:19,https://ca.bbcollab.com/recording/2e5f473c2f7c4822823b19f5562a9e25
Sociología,A,2020-04-17,Sesión 5,1:19:50,https://ca.bbcollab.com/recording/0ec854ba34b84a3aa6be5e5b3849006e
Sociología,A,2020-04-22,Sesión 6,1:39:49,https://ca.bbcollab.com/recording/e39c24f03d71480a93d0b8071d4cee54
Sociología,A,2020-04-29,Sesión 8,1:37:47,https://ca.bbcollab.com/recording/9236e7b957bc461799c6cd87614e5e61
Sociología,A,2020-05-06,Sesión 9,0:40:59,https://ca.bbcollab.com/recording/ab232ef406e0432f9f093deb23ae3ff3
Sociología,A,2020-05-08,Sesión 10,1:55:54,https://ca.bbcollab.com/recording/cc34613878c1408581745253d5ffa70e
Sociología,A,2020-05-13,Sesión 11,1:54:04,https://ca.bbcollab.com/recording/f05901fc7e014eb0bff0c25b9823df4c
Sociología,A,2020-05-27,Sesión 13,1:46:12,https://ca.bbcollab.com/recording/9263092af6734bed86aae22e28d53b19
Sociología,A,2020-05-29,Sesión 14,1:40:33,https://ca.bbcollab.com/recording/e01e6188a9d141db9eac97f4ffee7a38
Sociología,A,2020-06-03,Sesión 15,1:44:41,https://ca.bbcollab.com/recording/7ac68daa78774155b23eb3eb308940ae
Sociología,A,2020-06-05,Sesión 16,1:52:59,https://ca.bbcollab.com/recording/928e1724e30d4129b56bd27aaa12878d
Sociología,A,2020-06-10,Sesión 17,0:19:11,https://ca.bbcollab.com/recording/6f540b81ed3041eaa184a837153ea4cc
Sociología,A,2020-06-10,Sesión 17,0:55:32,https://ca.bbcollab.com/recording/7c788543b37b4ae0b2a6ef43c475deeb
Sociología,A,2020-06-17,Sesión 19,0:31:28,https://ca.bbcollab.com/recording/0faec079a01d44168fdfb49fa175f2e3
Sociología,A,2020-06-17,Sesión 19,0:10:30,https://ca.bbcollab.com/recording/d8af03b291154e9597ebf4789c52aec6
Sociología,A,2020-06-19,Sesión 20,1:47:32,https://ca.bbcollab.com/recording/a2cb57c4fd8b41dfb39261d29f56ac33
Sociología,A,2020-06-24,Sesión 21,1:48:59,https://ca.bbcollab.com/recording/23f99e1c342b4b2ba56f1c2bed7635aa
Sociología,A,2020-06-26,Sesión 22,1:56:08,https://ca.bbcollab.com/recording/30e1d4ed43ac4d4a9f8d29b30bde6c9c
Sociología,A,2020-07-01,Sesión 23,1:15:26,https://ca.bbcollab.com/recording/4c851e628c854f23a7743038a68ebc8b
Sociología,A,2020-07-03,Sesión 24,1:40:32,https://ca.bbcollab.com/recording/98d98833dda34faa8eeb3808b7f61ee6
Sociología,A,2020-07-08,Sesión 25,1:25:15,https://ca.bbcollab.com/recording/5dfa4da91716466db2b321c99d76f03d
Sociología,A,2020-07-08,Sesión 25,1:25:15,https://ca.bbcollab.com/recording/5dfa4da91716466db2b321c99d76f03d
Sociología,A,2020-07-10,Sesión 26,1:05:45,https://ca.bbcollab.com/recording/3ee46d5fb34942b88d479475877fc129
Sociología,A,2020-07-10,Sesión 26,1:05:45,https://ca.bbcollab.com/recording/3ee46d5fb34942b88d479475877fc129
Sociología,A,2020-07-10,Sesión 26,0:04:42,https://ca.bbcollab.com/recording/6ff8a81e292041c7b16207e179750ae2
Sociología,A,2020-07-10,Sesión 26,0:04:42,https://ca.bbcollab.com/recording/6ff8a81e292041c7b16207e179750ae2
