Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sociología,E,2020-04-01,Unidad 1_Clase 2,2:07:07,https://ca.bbcollab.com/recording/794b1ff13b0542638fdf497d995f2973
Sociología,E,2020-04-06,Unidad 1_Clase 3,2:00:28,https://ca.bbcollab.com/recording/f960f780d19049819a29e4e0f9f3e6fc
Sociología,E,2020-04-08,Unidad 1_Clase 4,2:02:12,https://ca.bbcollab.com/recording/9c81040b57e34d4686348771adb51c01
Sociología,E,2020-04-13,Unidad 2_Clase 5,2:25:33,https://ca.bbcollab.com/recording/b40c12af9f3847c18c427a3153bb2d62
Sociología,E,2020-04-15,Unidad 1_Clase 6,1:14:24,https://ca.bbcollab.com/recording/d7fd503985de41ba966cf0eb01aef731
Sociología,E,2020-04-22,Unidad 2_Clase 1: Feminismo y economía del cuidado,3:18:18,https://ca.bbcollab.com/recording/b10a7139466a48418a4dae9f19287265
Sociología,E,2020-04-27,Unidad 2_Semana 5_Seminario presencial,1:45:34,https://ca.bbcollab.com/recording/3837e37a7f6349459712b31843d8b315
Sociología,E,2020-04-29,Unidad 2_Semana 5_Clase 2_Seminario presencial,1:16:13,https://ca.bbcollab.com/recording/9d5d18ad84bf468cba527f9c1f58e134
Sociología,E,2020-05-04,Unidad 2_Semana 6_Clase 1_Seminario,1:28:21,https://ca.bbcollab.com/recording/14b6b927edc54f4bbb3eb5517579768c
Sociología,E,2020-05-06,Unidad 2_Semana 6_Clase 2_Seminario,1:14:52,https://ca.bbcollab.com/recording/f689a43d172c45968349e2cc68efaa4b
Sociología,E,2020-05-06,Unidad 2_Semana 7_Clase 1_Presentación,0:23:19,https://ca.bbcollab.com/recording/a8195bbc3fd14ce89049d6eb46f5c8ca
Sociología,E,2020-05-11,Unidad 2_Semana  7_Clase 1_Seminario,1:11:48,https://ca.bbcollab.com/recording/10a94b864158490e90dd489a9f69d088
Sociología,E,2020-05-13,Unidad 2_Semana 7_Clase 2_Seminario,2:20:51,https://ca.bbcollab.com/recording/3fcf39d8ad7d4bf6a0a38399a219dd97
Sociología,E,2020-05-25,Unidad 3_Semana 09_Clase 1_Seminario_Asesorias grupales,2:03:38,https://ca.bbcollab.com/recording/9c8d44a41d5c4a1798f5da2a68a349e5
Sociología,E,2020-05-27,Unidad 3_Semana 09_Clase 2_Seminario_Busqueda textos academicos y trabajo 3,1:01:10,https://ca.bbcollab.com/recording/c8fc0f3771e04fb2b93c0e0ea70ff669
Sociología,E,2020-06-01,Unidad 3_Semana 10_Clase 1_Seminario_Ciudadania Intercultural,1:12:03,https://ca.bbcollab.com/recording/a8f227aef3e54a02bbbe2f74a8ce35e4
Sociología,E,2020-06-03,Unidad 3_Semana 10_Clase 2_Seminario_Racismo,1:33:17,https://ca.bbcollab.com/recording/4d6768c7e2554d39b285cd072713062b
Sociología,E,2020-06-08,Unidad 3_Semana 11_Clase 1_Seminario_Violencia política y terrorismo,1:02:24,https://ca.bbcollab.com/recording/a22a30c9b3df4343a228696573028219
Sociología,E,2020-06-10,Unidad 3_Semana 11_Clase 2_Seminario_Caso del Baguazo,1:05:06,https://ca.bbcollab.com/recording/003986a8c96b44a492ce5d5c8af6e5f9
Sociología,E,2020-06-15,Unidad 3_Semana 12_Clase 1_Seminario_Industrias culturales y educacion sentimental,1:14:27,https://ca.bbcollab.com/recording/4bb7e2678293431fbf71db55e8a84c87
Sociología,E,2020-06-17,Unidad 3_Semana 12_Clase 2_Seminario_Publicidad y estereotipos,1:24:52,https://ca.bbcollab.com/recording/98d24ea5a9c64c7c89ae4bfe3f2cbe5a
Sociología,E,2020-06-22,Semana 13_Clase 1_Seminario_Globalización,1:05:42,https://ca.bbcollab.com/recording/8ba62d5b1fc44d3492514f47bb22e861
Sociología,E,2020-06-24,Unidad 4_Semana 13_Clase 2_Seminario_Desigualdad,1:02:44,https://ca.bbcollab.com/recording/458704abf4f845dd9826f4db16e207d1
Sociología,E,2020-07-01,Unidad 4_Semana 14_Clases 1 y 2_Seminario_Sociedad de consumo,2:00:52,https://ca.bbcollab.com/recording/ec04aa88606847e0ba31bf05ce9e9df5
Sociología,E,2020-07-06,Unidad 4_Semana 15_Clase 1_Seminario_Cambio climatico y modelo economico,1:00:26,https://ca.bbcollab.com/recording/05b2bb3e181944e5bc28b527a15e5800
Sociología,E,2020-07-08,Unidad 4_Semana 15_Clase 2_Seminario_Cierre de curso y examen final,1:54:57,https://ca.bbcollab.com/recording/471e6523e9f6492d85ac87a75380f8f2
Sociología,E,2020-07-08,Unidad 4_Semana 15_Clase 2_Seminario_Cierre de curso y examen final,1:54:57,https://ca.bbcollab.com/recording/471e6523e9f6492d85ac87a75380f8f2
