Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sociología,H,2020-03-30,Introducción al curso de sociología,1:33:51,https://ca.bbcollab.com/recording/a8ae5f0153684f70a2cc879693994290
Sociología,H,2020-04-03,Sesión 2 ¿Qué es la sociología?,1:50:33,https://ca.bbcollab.com/recording/88dd9d9daa2345caa2df5894ae27986a
Sociología,H,2020-04-06,Sesion 3: Proceso de socializacion,1:58:32,https://ca.bbcollab.com/recording/e7beb23981574ed4b159304e7b57d359
Sociología,H,2020-04-13,Sesión 5: Relación Individuo Sociedad,0:08:45,https://ca.bbcollab.com/recording/418393cbac384e5294e5db75085ff05b
Sociología,H,2020-04-13,Sesión 5: Relación Individuo Sociedad,2:11:04,https://ca.bbcollab.com/recording/81d1961b46114c5bb91172d30d080578
Sociología,H,2020-04-17,Sesión 6: Primera dinámica grupal calificada,1:38:17,https://ca.bbcollab.com/recording/b96332ad9cf349dca8f7df6621521814
Sociología,H,2020-04-20,Sesión 7: presentación de trabajos grupales.,1:56:26,https://ca.bbcollab.com/recording/59072f4dbc2a4eef94ad1f709a5222c6
Sociología,H,2020-04-24,"Sesión 8: Unidad II: Instituciones, género y familia",1:45:27,https://ca.bbcollab.com/recording/7c7a131bd76a4386a331a1a5657c6e14
Sociología,H,2020-04-27,Sesión 9: Familia y genero,1:56:58,https://ca.bbcollab.com/recording/a7ff33afc8d5481cb7010e054c72636d
Sociología,H,2020-05-01,Sesión 10: Sexualidad y género,1:43:46,https://ca.bbcollab.com/recording/f1c9a89d59994e1fad04210fa166019f
Sociología,H,2020-05-04,Sesión 11: Sexualidad y género: ¿por qué el debate “con mis hijos no te metas”?.,1:56:14,https://ca.bbcollab.com/recording/091a2f29c71e42538f67450773793e40
Sociología,H,2020-05-08,Sesión 12: Debate sobre género. Introducción a los debates feministas.,1:48:48,https://ca.bbcollab.com/recording/4c0b9ba9afc04319af85e55d0aead435
Sociología,H,2020-05-11,Sesión 13: Segunda dinámica grupal calificada,2:01:37,https://ca.bbcollab.com/recording/6015ac246dfc42e296dfb69dafa0d252
Sociología,H,2020-05-15,Sesión 14: Introducción a los debates feministas. Indicaciones para el examen parcial.,1:39:24,https://ca.bbcollab.com/recording/0b7c8367be69492781f1d8c6a486b7f9
Sociología,H,2020-05-25,Sesión 15: Feminismo en el Perú. Introducción al tema de etnicidad y raza,1:41:25,https://ca.bbcollab.com/recording/763747953788427bac7290fdc3566f9c
Sociología,H,2020-05-29,Sesión 16: Comentarios examen parcial. Introducción a Unidad 3: etnicidad y raza,1:49:36,https://ca.bbcollab.com/recording/a0c39cb80cce4f57a1aa135634379196
Sociología,H,2020-06-01,"Sesión 17: Etnicidad, raza y cultura",2:00:29,https://ca.bbcollab.com/recording/0c936a3473684345bfae7858e41fdef9
Sociología,H,2020-06-05,Sesión 18: Interculturalidad,1:36:05,https://ca.bbcollab.com/recording/a3a85d165fbd4459ad2e682e8a12bda6
Sociología,H,2020-06-08,Sesión 20: Discriminación y violencia,1:53:24,https://ca.bbcollab.com/recording/df38c83671e84bb0ac6d2c2e30fa6af4
Sociología,H,2020-06-12,Sesión 20: Discriminación y violencia,0:34:38,https://ca.bbcollab.com/recording/0df8a86044414bb9baa7c2ef92420a5a
Sociología,H,2020-06-12,Sesión 20: Discriminación y violencia,1:03:01,https://ca.bbcollab.com/recording/8c4b8ec4e749400db1f3e82c3126c1fb
Sociología,H,2020-06-15,Sesión 21: Los fenómenos sociales de la inter y la multiculturalidad: ética y cultura.,2:06:17,https://ca.bbcollab.com/recording/fec6da6066e447bcb3c8692a179d676e
Sociología,H,2020-06-19,Sesión 22: Desigualdad y pobreza,1:41:27,https://ca.bbcollab.com/recording/052189ca8ba54da894c591deabc59c10
Sociología,H,2020-06-22,Sesión 24: Tercera dinámica grupal calificada.,1:51:46,https://ca.bbcollab.com/recording/86e0ab4a2f714b0b98b2a1cf515e0aec
Sociología,H,2020-06-26,Sesión 25: Cambio social y globalización,1:31:15,https://ca.bbcollab.com/recording/426474f027d5496aa496fea86c436801
Sociología,H,2020-07-03,"Sesión 26: Desigualdad, cambio social y globalización",1:38:58,https://ca.bbcollab.com/recording/9f83e0832cd54664b6eb02e1773f15bd
Sociología,H,2020-07-06,"Sesión 27: Desigualdad, cambio social y globalización.",1:36:48,https://ca.bbcollab.com/recording/4f59a2fe13ef4375908cb52d80e39118
Sociología,H,2020-07-10,"Sesión 28: Globalización, Síntesis del curso, notas y examen final",1:56:30,https://ca.bbcollab.com/recording/2d19bd2710f94230956db52183effc77
Sociología,H,2020-07-10,"Sesión 28: Globalización, Síntesis del curso, notas y examen final",1:56:30,https://ca.bbcollab.com/recording/2d19bd2710f94230956db52183effc77
