Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sociología,I,2020-04-01,Presentación del curso y de nosotros,1:33:20,https://ca.bbcollab.com/recording/92a921fc7e9b4a23b30cf0d95fabaf9f
Sociología,I,2020-04-02,Surgimiento de la Sociología,1:14:01,https://ca.bbcollab.com/recording/d45b80ec1b8945ea9c345233f2d6d8c4
Sociología,I,2020-04-08,La imaginación sociológica,1:43:40,https://ca.bbcollab.com/recording/70dda48a12254f6f8d1c6fc2a46ffdbf
Sociología,I,2020-04-15,Sesión 15/04: Metodología,1:27:34,https://ca.bbcollab.com/recording/7d2e9a0dfe234069a4cbfefa236c1c84
Sociología,I,2020-04-16,Sesión 16/04: Investigación social,2:16:58,https://ca.bbcollab.com/recording/39d5b6b7d81c45b8b1d337fce00042f6
Sociología,I,2020-04-22,Clase: Instituciones,1:38:39,https://ca.bbcollab.com/recording/741a96f98cd745668f3077bfd88af60c
Sociología,I,2020-04-23,Familia 23/04,1:33:11,https://ca.bbcollab.com/recording/c01a3c13ea9d49948f3225c7b8404d4a
Sociología,I,2020-04-29,Sesión 29/04: Tertulia parte 1,1:34:04,https://ca.bbcollab.com/recording/f110098ea96a4739bee247f843efca5e
Sociología,I,2020-04-30,Asesoría Guías de entrevista,1:31:19,https://ca.bbcollab.com/recording/f3286c48a48e4b99868adc830511efc1
Sociología,I,2020-05-06,Sesión 6/5/20: Socialización,1:39:41,https://ca.bbcollab.com/recording/30e7df8298024d3aa2015b73c31fb9af
Sociología,I,2020-05-07,Sesión 7/5: Socialización,0:47:55,https://ca.bbcollab.com/recording/70fadd0fc6444b34a7f63ee4e00ed882
Sociología,I,2020-05-13,Sesión 13/05: Sexo y Género,1:40:33,https://ca.bbcollab.com/recording/ae696250fa7f4923be499a18127a1255
Sociología,I,2020-05-14,Sesión 14/05: Género y sexualidad,1:42:13,https://ca.bbcollab.com/recording/5aa3a68cbb82469abb99aa9b6f8cd544
Sociología,I,2020-05-27,Semana 9: Dinámica grupal Familia y Género (parte 1),1:36:18,https://ca.bbcollab.com/recording/dd555190d0544f2da898d5070d63e94e
Sociología,I,2020-05-28,Semana 9: Dinámica grupal Familia y Género,1:50:00,https://ca.bbcollab.com/recording/49fda6d6863b4c26a2f98c88d4ca4583
Sociología,I,2020-06-03,Sesión Semana 10: Cultura (parte 1),1:13:34,https://ca.bbcollab.com/recording/49fd6b95096741a0a321990c3c547292
Sociología,I,2020-06-04,Sesión 04/06: Cultura (parte 2),1:22:08,https://ca.bbcollab.com/recording/8498d8a2d47949a69d0760eeeb04fc85
Sociología,I,2020-06-10,"Sesión 10/06: Raza, etnia y discriminación",1:37:55,https://ca.bbcollab.com/recording/98823c25acbc4911a04fd0c6ac48b295
Sociología,I,2020-06-11,Sesión 11/06: Discriminación etnoracial,1:32:32,https://ca.bbcollab.com/recording/7a81d7f3f59f4efd9c2d2a5e2cf64d65
Sociología,I,2020-06-17,Sesión 17/06: Estratificación social,1:36:09,https://ca.bbcollab.com/recording/4cbe6c3299614b48852cb3d0f6b2ef6c
Sociología,I,2020-06-18,Sesión 18/06: Estratificación social,1:45:00,https://ca.bbcollab.com/recording/016559fdc64d4a5c98367ad1416e4b28
Sociología,I,2020-06-24,Sesión 24/06: Ciudadanía y exclusión,1:31:37,https://ca.bbcollab.com/recording/81f8f901200a4d00bb68698f5e723800
Sociología,I,2020-06-25,Sesión 25/06: Exclusión y Violencia política,0:24:33,https://ca.bbcollab.com/recording/6dc1a13e72164db6a533147571900103
Sociología,I,2020-06-25,Sesión 25/06: Exclusión y Violencia política,1:00:34,https://ca.bbcollab.com/recording/f522343250fb4bd4ab3a1ca71b0e8c97
Sociología,I,2020-07-01,Sesión 01/07: Globalización,1:28:29,https://ca.bbcollab.com/recording/11714508c1e24c6fb8b36f5ac8e73158
Sociología,I,2020-07-02,Sesión 2/7: Sociedad informacional,1:41:18,https://ca.bbcollab.com/recording/10da9cfacf32494e9f1c8f3b5124a838
Sociología,I,2020-07-08,Sesión 8/7: Exposiciones 1,1:51:28,https://ca.bbcollab.com/recording/a75722f1d34a460bb6a5a4ec61913a80
Sociología,I,2020-07-08,Sesión 8/7: Exposiciones 1,1:51:28,https://ca.bbcollab.com/recording/a75722f1d34a460bb6a5a4ec61913a80
Sociología,I,2020-07-09,Sesión 9/7: Exposiciones 2,0:57:44,https://ca.bbcollab.com/recording/53e52405620149a3888e5c30d01b99eb
Sociología,I,2020-07-09,Sesión 9/7: Exposiciones 2,0:57:44,https://ca.bbcollab.com/recording/53e52405620149a3888e5c30d01b99eb
Sociología,I,2020-07-15,Examen Final: 15/07/2020,0:45:44,https://ca.bbcollab.com/recording/142d33a97f854e1a954ff76d2f6f7535
Sociología,I,2020-07-15,Examen Final: 15/07/2020,0:45:44,https://ca.bbcollab.com/recording/142d33a97f854e1a954ff76d2f6f7535
