Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sociología,J,2020-04-01,Sesión 1 (Miércoles 01/04: 11:30am),1:45:29,https://ca.bbcollab.com/recording/2fbeb0601708406db2520b400d263af6
Sociología,J,2020-04-08,Sesión 3 (Miércoles 08/04) 11:30am,1:38:54,https://ca.bbcollab.com/recording/698750d80f524896b4a4c83e30f5e853
Sociología,J,2020-04-10,Sesión (Viernes 10/04) 11:30am,1:28:38,https://ca.bbcollab.com/recording/5c0fae831705466eadaa74cff773ee79
Sociología,J,2020-04-15,Sesión (Miércoles 15/04) 11:30am,1:43:29,https://ca.bbcollab.com/recording/9df75a2e986c44568a29d5538a6ed06d
Sociología,J,2020-04-17,Sesión (Viernes 17/4) 11:30am,1:46:50,https://ca.bbcollab.com/recording/be9d0c2e90c14af7ba04b79eabcc9054
Sociología,J,2020-04-22,Sesión (Miércoles 22/04) 11:30am,1:36:15,https://ca.bbcollab.com/recording/86ab81f8b7dd4b5495ef0e124b0f82c2
Sociología,J,2020-04-24,Sesión (Viernes 24/04) 11:30am,1:24:17,https://ca.bbcollab.com/recording/65a360c1c0f6427e83b80f8685869ef9
Sociología,J,2020-04-29,Sesión (Miércoles 29/04) 11:30am,1:47:04,https://ca.bbcollab.com/recording/a49edcf5bb7f4864a3723f9593f2be05
Sociología,J,2020-05-01,Sesión (Viernes 01/05) 11:30am,1:32:19,https://ca.bbcollab.com/recording/a5cfbd8e655a4db19195dc3b3eef1f42
Sociología,J,2020-05-06,Sesión (Viernes 06/05) 11:30am,1:35:20,https://ca.bbcollab.com/recording/b287f040e780422eb3531ad0ead3490b
Sociología,J,2020-05-13,Sesión (Miércoles 13/05) 11:30am,1:43:04,https://ca.bbcollab.com/recording/cc6aceba9fad4ff7b92818c6dc323a9f
Sociología,J,2020-05-15,Sesión (Viernes 15/05) 11:30am,1:43:06,https://ca.bbcollab.com/recording/a13e08b6e908414f95d88b1e9b58b845
Sociología,J,2020-05-27,Sesión (Miércoles 27/05) 11:30am,1:41:04,https://ca.bbcollab.com/recording/0271cdcbe6004346a2641247bc3f87d2
Sociología,J,2020-05-29,Sesión (Viernes 29/05) 11:30am,1:41:36,https://ca.bbcollab.com/recording/6769e4ff0a0f429aa4ad60ac13b127f6
Sociología,J,2020-06-03,Sesión (Miércoles 03/06) 11:30am,1:39:26,https://ca.bbcollab.com/recording/a46d3732d27947e38cfd7dd114f19e97
Sociología,J,2020-06-05,Sesión (Viernes 05/06) 11:30am,1:42:24,https://ca.bbcollab.com/recording/dde4efa72a8c43a2877500f258874779
Sociología,J,2020-06-10,Sesión (Miércoles 10/06) 11:30am,1:42:23,https://ca.bbcollab.com/recording/b18ed3af15cf4399b2ff8c2cf5dd38ec
Sociología,J,2020-06-12,Sesión (Viernes 12/06) 11:30am,1:39:33,https://ca.bbcollab.com/recording/039dcece63224d98b439da9c812dae66
Sociología,J,2020-06-17,Sesión (Miércoles 17/06) 11:30am,1:39:30,https://ca.bbcollab.com/recording/537e6eae144e447887695e1163cf0fbc
Sociología,J,2020-06-19,Sesión (Viernes 19/06) 11:30am,1:36:50,https://ca.bbcollab.com/recording/aa472447dbd94dbb9dcae1f54e37bc48
Sociología,J,2020-06-24,Sesión (Miércoles 24/06) 11:30am,1:37:46,https://ca.bbcollab.com/recording/04eb26aa4a524134b7ac6d65e24529c5
Sociología,J,2020-06-26,Sesión (Viernes 26/06) 11:30am,1:39:36,https://ca.bbcollab.com/recording/decbd9db35ca4502b8a57f1d0937e007
Sociología,J,2020-07-01,Sesión (Miércoles 01/07) 11:30am,1:38:22,https://ca.bbcollab.com/recording/c866347ac148472eb2d641755ed92c8a
Sociología,J,2020-07-03,Sesión (Viernes 03/07) 11:30am,1:41:43,https://ca.bbcollab.com/recording/f23658e5d9ba4a0897dc1dc6ffc583ca
Sociología,J,2020-07-08,Sesión Exposición oral (Miércoles 08/07) 11:30am,2:21:56,https://ca.bbcollab.com/recording/51f6653c6b104dc6a54a0526dfd68f05
Sociología,J,2020-07-10,Sesión (Viernes 10/07) 11:30am,1:37:52,https://ca.bbcollab.com/recording/0100322abf4b4298b41dfb7867fefe6d
Sociología,J,2020-07-10,Sesión (Viernes 10/07) 11:30am,1:37:52,https://ca.bbcollab.com/recording/0100322abf4b4298b41dfb7867fefe6d
