Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sociología,N,2020-03-31,Sociología - N,1:25:20,https://ca.bbcollab.com/recording/cfae02316b014781b9ace0e25b3fa72b
Sociología,N,2020-04-02,Sociología - N,0:49:51,https://ca.bbcollab.com/recording/7543e441f7244226b47af80b41d00d9a
Sociología,N,2020-04-07,Sociología - N,1:20:40,https://ca.bbcollab.com/recording/cfe82176075044c9a00f85c9e187b199
Sociología,N,2020-04-14,Sociología - N,1:31:43,https://ca.bbcollab.com/recording/7b1645803df44358b9f9039dfc5d84eb
Sociología,N,2020-04-16,Sociología - N,1:12:46,https://ca.bbcollab.com/recording/4b98802462a346538c0915ea09d3b496
Sociología,N,2020-04-21,Sociología - N,1:37:42,https://ca.bbcollab.com/recording/96e7cf0f7a2d4639a72798f7adf3c502
Sociología,N,2020-04-23,Sociología - N,1:49:11,https://ca.bbcollab.com/recording/4b0b5517fddd444ca11fc18e47a8830e
Sociología,N,2020-04-28,Sociología - N,1:29:36,https://ca.bbcollab.com/recording/a4e0e19ede7e44ecb5099cfd485b0188
Sociología,N,2020-04-30,Sociología - N,1:32:21,https://ca.bbcollab.com/recording/3207c63209254a78b772c601f486f646
Sociología,N,2020-05-05,Sociología - N,1:17:28,https://ca.bbcollab.com/recording/2261ef0341884bbcbeb4f7f3f0b9e855
Sociología,N,2020-05-07,Sociología - N,1:32:32,https://ca.bbcollab.com/recording/f1c6e29ff0004885b6cbea60bc436938
Sociología,N,2020-05-12,Sociología - N,1:33:08,https://ca.bbcollab.com/recording/abedaeb260504c338d7f671701d1d3f2
Sociología,N,2020-05-14,Sociología - N,0:40:13,https://ca.bbcollab.com/recording/8a01711996bc4309ab8411c4cde759f2
Sociología,N,2020-05-26,Sociología - N,0:25:36,https://ca.bbcollab.com/recording/09835c16f8124edeb8131e3b16ee1ed2
Sociología,N,2020-05-28,Sociología - N,1:32:41,https://ca.bbcollab.com/recording/c579d4acdc3c46cda37f56ca14d15d74
Sociología,N,2020-06-02,Sociología - N,1:45:55,https://ca.bbcollab.com/recording/b259d2faa41d4018ad2c0f2cd58d8f5c
Sociología,N,2020-06-04,Sociología - N,1:31:47,https://ca.bbcollab.com/recording/397b4a041e7b457c95eeabc8581dbeb7
Sociología,N,2020-06-09,Sociología - N,1:28:27,https://ca.bbcollab.com/recording/1282feec45984d8db2804afb7138b312
Sociología,N,2020-06-11,Sociología - N,1:37:41,https://ca.bbcollab.com/recording/eda8263c511f44f5a10103a469108d6f
Sociología,N,2020-06-16,Sociología - N,1:41:47,https://ca.bbcollab.com/recording/1a3e068bbba149fea6e77000554eca84
Sociología,N,2020-06-23,Sociología - N,1:10:22,https://ca.bbcollab.com/recording/bd4e4fec6c1343f48bca3e3714c1875c
Sociología,N,2020-06-25,Sociología - N,1:34:46,https://ca.bbcollab.com/recording/310d147aba8c43d69ada2f1d65164119
Sociología,N,2020-06-30,Sociología - N,0:56:57,https://ca.bbcollab.com/recording/c270f7bb9a1f476eb592c939de5b7fad
Sociología,N,2020-07-02,Sociología - N,1:11:33,https://ca.bbcollab.com/recording/8e269f81db1b48b7a8e57ea66d18207a
Sociología,N,2020-07-07,Sociología - N,1:55:27,https://ca.bbcollab.com/recording/f7c2cc44f47d40d98eaa6f38961ccb0d
Sociología,N,2020-07-09,Sociología - N,0:31:03,https://ca.bbcollab.com/recording/0618e05da37a4d98b909e35b0026f6d8
Sociología,N,2020-07-09,Sociología - N,0:31:03,https://ca.bbcollab.com/recording/0618e05da37a4d98b909e35b0026f6d8
