Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sostenibilidad Ambiental y Responsabilid,A,2020-03-30,Sesión 0 - SARSE sección A,1:32:08,https://ca.bbcollab.com/recording/8f0a1113c6d946cdada08bded0f8bd0b
Sostenibilidad Ambiental y Responsabilid,A,2020-04-02,Sesión 1 - SARSE sección A,1:27:17,https://ca.bbcollab.com/recording/f204dda655c44d23a0fd1d3cae26be2b
Sostenibilidad Ambiental y Responsabilid,A,2020-04-13,Sesión - lunes 13 de abril,1:11:43,https://ca.bbcollab.com/recording/0232bbf798e3499b88c5809101cb1e36
Sostenibilidad Ambiental y Responsabilid,A,2020-04-16,Sesión - jueves 16 de abril,1:33:57,https://ca.bbcollab.com/recording/653a5d2ca5d94b9f8481c8b4d9bba516
Sostenibilidad Ambiental y Responsabilid,A,2020-04-20,Sesión - lunes 20 de abril,0:33:42,https://ca.bbcollab.com/recording/fb6fc847b76e4763ac0c4fb301f6579c
Sostenibilidad Ambiental y Responsabilid,A,2020-04-23,Sesión - jueves 23 de abril,1:31:11,https://ca.bbcollab.com/recording/b4f08cadc2ba4b6091ab5fb77d064b37
Sostenibilidad Ambiental y Responsabilid,A,2020-04-27,Sesión - lunes 27 de abril,1:26:42,https://ca.bbcollab.com/recording/40922aacc0b342959ba80a40c3c54a0a
Sostenibilidad Ambiental y Responsabilid,A,2020-04-30,Sesión - jueves 30 de abril,1:31:07,https://ca.bbcollab.com/recording/8feb5026a07443c29ef1314bcdb95917
Sostenibilidad Ambiental y Responsabilid,A,2020-05-04,Sesión - lunes 4 de mayo,0:15:33,https://ca.bbcollab.com/recording/71fecc64650d4f02aab7fa41e524f3db
Sostenibilidad Ambiental y Responsabilid,A,2020-05-07,Sesión - jueves 7 de mayo,1:44:26,https://ca.bbcollab.com/recording/fdcdd681d41f4a54ab656fee5219dbf1
Sostenibilidad Ambiental y Responsabilid,A,2020-05-11,Sesión - lunes 11 de amyo,1:36:48,https://ca.bbcollab.com/recording/6b74dcfac49940a2a3ca96fbaf9cdfcc
Sostenibilidad Ambiental y Responsabilid,A,2020-05-20,Examen Parcial SARS,1:54:22,https://ca.bbcollab.com/recording/c89388883af9406c8bfe7e7522c4fe15
Sostenibilidad Ambiental y Responsabilid,A,2020-05-25,Sesión - lunes 25 de mayo,1:22:25,https://ca.bbcollab.com/recording/531496766116408e8065962858b34dc8
Sostenibilidad Ambiental y Responsabilid,A,2020-05-28,Sesión - jueves 28 de may,1:21:53,https://ca.bbcollab.com/recording/2a7e1f63f7204a4b9ee8d64ba2574b26
Sostenibilidad Ambiental y Responsabilid,A,2020-06-01,Sesión - lunes 1 de junio,1:14:34,https://ca.bbcollab.com/recording/f15095c7d65c46fe993ede68c80a50a1
Sostenibilidad Ambiental y Responsabilid,A,2020-06-04,Sesión - jueves 4 de junio,1:46:12,https://ca.bbcollab.com/recording/898a4f551cc04165ac07063893ea968c
Sostenibilidad Ambiental y Responsabilid,A,2020-06-08,Sesión - lunes 8 de junio,1:02:23,https://ca.bbcollab.com/recording/f6ce54cc5c0c4c98a720dfaddc75343e
Sostenibilidad Ambiental y Responsabilid,A,2020-06-11,Sesión - jueves 11 de junio,0:33:23,https://ca.bbcollab.com/recording/18033659f8ec4f1d93e7052d01a6a433
Sostenibilidad Ambiental y Responsabilid,A,2020-06-15,Sesión - lunes 15 de junio,1:32:33,https://ca.bbcollab.com/recording/716589735b9e4c04b3bc2b6f277cedfc
Sostenibilidad Ambiental y Responsabilid,A,2020-06-22,Sesión - lunes 22 de junio,1:24:35,https://ca.bbcollab.com/recording/e75235bd5e1b46c6852a9977e7eae606
Sostenibilidad Ambiental y Responsabilid,A,2020-06-25,Sesión - jueves 25 de junio,1:20:09,https://ca.bbcollab.com/recording/9b70c171cff548e3a61018b26691a639
Sostenibilidad Ambiental y Responsabilid,A,2020-07-02,Sesión jueves 2 de julio,1:36:09,https://ca.bbcollab.com/recording/d6f97cac7e0b485b9068171a410128c4
Sostenibilidad Ambiental y Responsabilid,A,2020-07-02,Sesión jueves 2 de julio,1:36:09,https://ca.bbcollab.com/recording/d6f97cac7e0b485b9068171a410128c4
Sostenibilidad Ambiental y Responsabilid,A,2020-07-06,Sesión lunes 6 de julio,0:59:13,https://ca.bbcollab.com/recording/212335655213464f8f79bfc2c609726a
Sostenibilidad Ambiental y Responsabilid,A,2020-07-06,Sesión lunes 6 de julio,0:59:13,https://ca.bbcollab.com/recording/212335655213464f8f79bfc2c609726a
Sostenibilidad Ambiental y Responsabilid,A,2020-07-09,Sesión jueves 9 de julio,0:38:15,https://ca.bbcollab.com/recording/a10c298783c449b797e729ba73a0dbf3
Sostenibilidad Ambiental y Responsabilid,A,2020-07-09,Sesión jueves 9 de julio,0:38:15,https://ca.bbcollab.com/recording/a10c298783c449b797e729ba73a0dbf3
Sostenibilidad Ambiental y Responsabilid,A,2020-07-15,Examen final,1:41:56,https://ca.bbcollab.com/recording/4ee344a8367346cfb7f971040b77d833
