Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Sostenibilidad Ambiental y Responsabilid,C,2020-04-06,Semana 2 sesión 1 (6-4-20),1:38:26,https://ca.bbcollab.com/recording/5769abde3ef240bca97347aba5ce86e7
Sostenibilidad Ambiental y Responsabilid,C,2020-04-08,Semana 2 Sesión 2 (08/04/20),1:36:28,https://ca.bbcollab.com/recording/ff9b80db5c0e4077ba5cccf7af110514
Sostenibilidad Ambiental y Responsabilid,C,2020-04-15,Semana 3 Sesión 2 (15-4-20),1:27:44,https://ca.bbcollab.com/recording/c72557298bca4978bd604af8940e85d0
Sostenibilidad Ambiental y Responsabilid,C,2020-04-20,Semana 4 Sesión 1 (20/04/20),1:31:38,https://ca.bbcollab.com/recording/4c0b4fc3a92a4f0ca178fc518f9a3a43
Sostenibilidad Ambiental y Responsabilid,C,2020-04-22,Semana 4 Sesión 2 (22/04/20),0:50:16,https://ca.bbcollab.com/recording/62956ff219284e3194de16d101ceaf10
Sostenibilidad Ambiental y Responsabilid,C,2020-04-27,Clases Los Lunes (27/04/20),1:27:40,https://ca.bbcollab.com/recording/27cc1a3b2cae4a1b8219d89de6ef3046
Sostenibilidad Ambiental y Responsabilid,C,2020-04-29,Clases Los Miércoles,1:38:49,https://ca.bbcollab.com/recording/6fc5a438eb67486bb089ff1112f9ffee
Sostenibilidad Ambiental y Responsabilid,C,2020-05-04,Clases Los Lunes (27/04/20),1:28:44,https://ca.bbcollab.com/recording/3d09e16b75a944b5ad0611edba3c9125
Sostenibilidad Ambiental y Responsabilid,C,2020-05-06,Clases Los Miércoles,1:47:16,https://ca.bbcollab.com/recording/6f9b2a06833f4c8f85b9c8bd18ba5557
Sostenibilidad Ambiental y Responsabilid,C,2020-05-11,Clases Los Lunes (27/04/20),1:27:37,https://ca.bbcollab.com/recording/9ad8809f616c41c686a102b9f5de1f95
Sostenibilidad Ambiental y Responsabilid,C,2020-05-13,Clases Los Miércoles,0:46:52,https://ca.bbcollab.com/recording/78cb920559e747f8b25e49c02f2d0ccc
Sostenibilidad Ambiental y Responsabilid,C,2020-05-13,Clases Los Miércoles,0:38:19,https://ca.bbcollab.com/recording/7ef7757b36ba42c3a8068a80e755e96d
Sostenibilidad Ambiental y Responsabilid,C,2020-05-20,Examen Parcial Sección C 2020 1,1:42:09,https://ca.bbcollab.com/recording/47fd4ee85adb43f5b354e3bee1858558
Sostenibilidad Ambiental y Responsabilid,C,2020-05-20,Examen Parcial Sección C 2020 1,0:00:41,https://ca.bbcollab.com/recording/b4f3d918dcaa47659d72ae1c622c3332
Sostenibilidad Ambiental y Responsabilid,C,2020-05-25,Clases Los Lunes (27/04/20),1:18:06,https://ca.bbcollab.com/recording/7de12d598ffc4706ace9471dfb1ceff3
Sostenibilidad Ambiental y Responsabilid,C,2020-05-27,Clases Los Miércoles,1:26:49,https://ca.bbcollab.com/recording/c68e96718e1a4d76bcbeef3c09227a00
Sostenibilidad Ambiental y Responsabilid,C,2020-06-01,Clases Los Lunes (27/04/20),1:14:51,https://ca.bbcollab.com/recording/b83c38f3dcba45529dc6f11377f1db5b
Sostenibilidad Ambiental y Responsabilid,C,2020-06-03,Clases Los Miércoles,1:31:08,https://ca.bbcollab.com/recording/c8fe7038e9434c15aa10cabb8bf4ccb2
Sostenibilidad Ambiental y Responsabilid,C,2020-06-08,Clases Los Lunes (27/04/20),1:19:49,https://ca.bbcollab.com/recording/cad4867892e04241a3ef0a9fd35e8df6
Sostenibilidad Ambiental y Responsabilid,C,2020-06-10,Clases Los Miércoles,1:16:02,https://ca.bbcollab.com/recording/925c717ab14147378c42c3c8d82f8964
Sostenibilidad Ambiental y Responsabilid,C,2020-06-15,Clases Los Lunes (27/04/20),0:58:52,https://ca.bbcollab.com/recording/27a7dbcc2efe4fbeb5fb4cc9fc8ec803
Sostenibilidad Ambiental y Responsabilid,C,2020-06-17,Clases Los Miércoles,1:24:37,https://ca.bbcollab.com/recording/288ae72dafc24a1a991a60dababf8087
Sostenibilidad Ambiental y Responsabilid,C,2020-06-22,Clases Los Lunes (27/04/20),1:31:45,https://ca.bbcollab.com/recording/78fdb4d1caea40efaccb93fdbb79d037
Sostenibilidad Ambiental y Responsabilid,C,2020-06-24,Clases Los Miércoles,1:19:03,https://ca.bbcollab.com/recording/88dee9919d814beb9727056aa08b2f85
Sostenibilidad Ambiental y Responsabilid,C,2020-07-01,Clases Los Miércoles,0:53:16,https://ca.bbcollab.com/recording/ffd587fab6af451dae4a0a8ed9851ddc
Sostenibilidad Ambiental y Responsabilid,C,2020-07-06,Clases Los Lunes (27/04/20),1:21:55,https://ca.bbcollab.com/recording/8e665fd0ee6b44a59c639dc8ddcce3b4
Sostenibilidad Ambiental y Responsabilid,C,2020-07-08,Clases Los Miércoles,1:30:20,https://ca.bbcollab.com/recording/9c87cebbdebd4fd6ae75dd363fdce1bd
Sostenibilidad Ambiental y Responsabilid,C,2020-07-08,Clases Los Miércoles,1:30:20,https://ca.bbcollab.com/recording/9c87cebbdebd4fd6ae75dd363fdce1bd
