Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Teología de las Religiones,A,2020-03-30,Clase 1 - Presentación del curso (30.3.2020),1:43:36,https://ca.bbcollab.com/recording/a944e443e6bb474e880c6be8e4c63597
Teología de las Religiones,A,2020-04-01,"Clase 2: ""Teología"" y filosofía griega",1:39:42,https://ca.bbcollab.com/recording/9e1484852cbb427689dd744174a932d9
Teología de las Religiones,A,2020-04-06,"Clase 3: ""Teología"" en Platón y Aristóteles",1:48:13,https://ca.bbcollab.com/recording/cb05d6c797fb496b83f982ae37558fd1
Teología de las Religiones,A,2020-04-08,"Clase 4: ""Teología"" en Aristóteles - Religión",1:47:39,https://ca.bbcollab.com/recording/ae57645ca89b42c2a6bbc4305bc1d364
Teología de las Religiones,A,2020-04-13,Clase 5: Religión en el mesolítico y neolítico,1:44:59,https://ca.bbcollab.com/recording/164aeda6f5ef45e0ac2eb9ae8d98571e
Teología de las Religiones,A,2020-04-15,Clase 6: Religión en Mesopotamia,1:45:45,https://ca.bbcollab.com/recording/0b3c52ee9cce41658b6947d7d6a28411
Teología de las Religiones,A,2020-04-20,Clase 7: Religión en Mesopotamia (segunda parte),1:48:04,https://ca.bbcollab.com/recording/791fd8a5ec984c30ad9f7746a9251053
Teología de las Religiones,A,2020-04-22,Clase 8: Mesopotamia y Egipto (primera parte),1:41:42,https://ca.bbcollab.com/recording/1f90951b8a904d3bba77c25175b1048a
Teología de las Religiones,A,2020-04-27,Clase 9: Religión egipcia,1:45:27,https://ca.bbcollab.com/recording/fc9b11fd98f149e3bcc5302be9fd1ba2
Teología de las Religiones,A,2020-04-29,Clase 10: Religión egipcia (segunda parte),1:48:04,https://ca.bbcollab.com/recording/d6ab55c194804295abac548e82aa5087
Teología de las Religiones,A,2020-05-04,Clase 11: La cultura del valle del Indus - Mohenjo Daro y Harappa,1:46:08,https://ca.bbcollab.com/recording/4a83327a177a4ad79131c9494eacb07a
Teología de las Religiones,A,2020-05-06,Clase 12: Religión en la India,1:46:15,https://ca.bbcollab.com/recording/1b56424e478b47e58af7d4cede9dea07
Teología de las Religiones,A,2020-05-11,Clase 13: Textos sagrados de la India,1:46:19,https://ca.bbcollab.com/recording/960509a6ce344df7a054a924bfa8b728
Teología de las Religiones,A,2020-05-13,Clase 14: Repaso y preparación para el examen parcial,1:36:49,https://ca.bbcollab.com/recording/ad035fe8c2474a33af45043d38e2b473
Teología de las Religiones,A,2020-05-18,Examen parcial,2:24:07,https://ca.bbcollab.com/recording/ec18a0b29f37493b81222044cc6a5844
Teología de las Religiones,A,2020-05-25,Clase 15: Historia de Israel,1:51:05,https://ca.bbcollab.com/recording/25de452739ec4c02bbf244f3b25a552c
Teología de las Religiones,A,2020-05-27,Clase 16: Historia del judaísmo,1:46:17,https://ca.bbcollab.com/recording/eb82fcee16af472aab784058627c2189
Teología de las Religiones,A,2020-06-01,Clase 17: Historia del judaísmo (continuación),1:44:50,https://ca.bbcollab.com/recording/bde87796d15c48e8ac1de6f8c39ae0e9
Teología de las Religiones,A,2020-06-03,Clase 20: Historia del judaísmo (continuación),1:39:24,https://ca.bbcollab.com/recording/7aee739342c1416db9ffd81e39a9bead
Teología de las Religiones,A,2020-06-08,Clase 21: Historia del judaísmo (continuación),1:49:01,https://ca.bbcollab.com/recording/64e9b3615cfe47f78d6f3e6241260467
Teología de las Religiones,A,2020-06-10,Clase 20: Judaísmo y ungimiento real,1:45:49,https://ca.bbcollab.com/recording/a193ec16df364722ae7784bfa28ef720
Teología de las Religiones,A,2020-06-15,Clase 21: Primera sesión de exposiciones grupales,1:53:19,https://ca.bbcollab.com/recording/80a0e2dc72fb42ed880aa4f78a7eac66
Teología de las Religiones,A,2020-06-17,Clase 22: Segunda sesión de exposiciones grupales,1:51:56,https://ca.bbcollab.com/recording/10ddb2a9829540e79161060e47dab69a
Teología de las Religiones,A,2020-06-22,Clase 23: El surgimiento del Cristianismo,1:47:59,https://ca.bbcollab.com/recording/81e8983281434850a6a5cda4b74553d2
Teología de las Religiones,A,2020-06-24,Clase 24: Cristianismo - primera y segunda generación,1:50:57,https://ca.bbcollab.com/recording/3840e107fbda4a5090294d9671e0ce16
Teología de las Religiones,A,2020-07-01,Clase 25: Introducción al estudio del Islam,1:52:59,https://ca.bbcollab.com/recording/0029420f1a10465eafa342c572002fd2
Teología de las Religiones,A,2020-07-06,Clase 26: Islam y apocalíptica comparada,1:47:40,https://ca.bbcollab.com/recording/393332c109e8423a92f869e445cfeb65
Teología de las Religiones,A,2020-07-08,Clase 27: Repaso del islam y preparación para el examen final,1:55:07,https://ca.bbcollab.com/recording/692063d1b71d431d91c775d13cc7ef50
Teología de las Religiones,A,2020-07-08,Clase 27: Repaso del islam y preparación para el examen final,1:55:07,https://ca.bbcollab.com/recording/692063d1b71d431d91c775d13cc7ef50
Teología de las Religiones,A,2020-07-13,Examen final - preparación y preguntas,2:47:11,https://ca.bbcollab.com/recording/2b167c59136546fb98b261976bf8ecc2
