Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Teología de las Religiones,B,2020-03-30,Clase Lunes 30/03,1:09:07,https://ca.bbcollab.com/recording/58fbe6c2b3744e5cbe4f72f077e80662
Teología de las Religiones,B,2020-04-01,Miércoles,1:36:50,https://ca.bbcollab.com/recording/682c8a22e5a9447ab81c3bfbd7ffc5a8
Teología de las Religiones,B,2020-04-06,Lunes,1:33:43,https://ca.bbcollab.com/recording/4f6d2027e1d446b7b993ea719851e3f9
Teología de las Religiones,B,2020-04-08,Miércoles,1:40:17,https://ca.bbcollab.com/recording/a9be5d1640e24aca9f0f8feab70e0244
Teología de las Religiones,B,2020-04-13,Lunes,1:37:40,https://ca.bbcollab.com/recording/a81eeb37a18341e991189775b2390754
Teología de las Religiones,B,2020-04-15,Miércoles,1:32:04,https://ca.bbcollab.com/recording/7f361745cdc54ce8819be3f4758f1ae8
Teología de las Religiones,B,2020-04-20,Lunes,1:35:40,https://ca.bbcollab.com/recording/46dcc304a7664b28a6e9e2c7ddfd8bbe
Teología de las Religiones,B,2020-04-22,Miércoles,1:38:50,https://ca.bbcollab.com/recording/2e6b0e336d2849ad93eb998020cba55a
Teología de las Religiones,B,2020-04-27,Lunes,1:26:37,https://ca.bbcollab.com/recording/62b9e2afd6f7494cbc4fbb0917c6607d
Teología de las Religiones,B,2020-04-29,Miércoles,1:21:24,https://ca.bbcollab.com/recording/5ff8c701094342e08d3c2747ac0ecec7
Teología de las Religiones,B,2020-05-04,Lunes,1:21:23,https://ca.bbcollab.com/recording/0efee935aaba4500bd50e9c015cc76a1
Teología de las Religiones,B,2020-05-06,Miércoles,1:43:18,https://ca.bbcollab.com/recording/1d2fab69a59842cf805605f3ed66fb67
Teología de las Religiones,B,2020-05-11,Lunes,1:33:27,https://ca.bbcollab.com/recording/8442511900de4f2f978cae9917c8e056
Teología de las Religiones,B,2020-05-18,Examen - Asesoria,2:06:09,https://ca.bbcollab.com/recording/77df9183d0b2483fa881a9cb255b7812
Teología de las Religiones,B,2020-05-27,Miércoles,1:19:03,https://ca.bbcollab.com/recording/751c56efe6524aba81128c8b01930bc5
Teología de las Religiones,B,2020-06-01,Lunes,1:36:21,https://ca.bbcollab.com/recording/f726bfa7490246e5b415471283081377
Teología de las Religiones,B,2020-06-03,Miércoles,1:38:48,https://ca.bbcollab.com/recording/eab748c49e2849cab6aa054099f20786
Teología de las Religiones,B,2020-06-08,Lunes,1:32:34,https://ca.bbcollab.com/recording/9920a0ca1e6b4e299ca8062c9c2de5df
Teología de las Religiones,B,2020-06-10,Miércoles,1:25:00,https://ca.bbcollab.com/recording/01ad40b1793e4fe0b0f05b46338f9084
Teología de las Religiones,B,2020-06-15,Lunes,1:35:10,https://ca.bbcollab.com/recording/a846dba990814cf085dc3192b00adca1
Teología de las Religiones,B,2020-06-17,Miércoles,1:16:21,https://ca.bbcollab.com/recording/70b8d0eb90854536a15c37ae7019650b
Teología de las Religiones,B,2020-06-22,Lunes,1:33:38,https://ca.bbcollab.com/recording/d72aef2a526e4f28be3880ccfa1a91fa
Teología de las Religiones,B,2020-06-24,Miércoles,1:29:38,https://ca.bbcollab.com/recording/77e64b6cf17444cf801cde2fe707d468
Teología de las Religiones,B,2020-07-01,Miércoles,2:03:25,https://ca.bbcollab.com/recording/a677f2c5c4ff4694b2005bf01a792171
Teología de las Religiones,B,2020-07-06,Lunes,1:34:25,https://ca.bbcollab.com/recording/18de092ebbcd4c2794d54f7518ab2b64
Teología de las Religiones,B,2020-07-08,Miércoles,1:00:56,https://ca.bbcollab.com/recording/fe91b446f87c415b80918922e71db74b
Teología de las Religiones,B,2020-07-08,Miércoles,1:00:56,https://ca.bbcollab.com/recording/fe91b446f87c415b80918922e71db74b
