Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Teología de las Religiones,I,2020-03-30,sesión 0 23-03-2020,0:46:18,https://ca.bbcollab.com/recording/20dffeb213af4de29fa1158ec8c7b120
Teología de las Religiones,I,2020-04-01,Introducción 01/04/2020,1:36:04,https://ca.bbcollab.com/recording/78458a4ab79a4b3ebb2e2600834de817
Teología de las Religiones,I,2020-04-06,Introducción 06/04/2020,1:28:33,https://ca.bbcollab.com/recording/d09c58872d6141109b128db14c52c7ab
Teología de las Religiones,I,2020-04-13,El ser humano y sus preguntas 13/04/2020,1:22:42,https://ca.bbcollab.com/recording/6e98f3fba4794e5e9db4e0803aeb4832
Teología de las Religiones,I,2020-04-15,Respuestas a esas preguntas fundamentales 15/04/2020,1:41:08,https://ca.bbcollab.com/recording/b08a9b4fd74249a894712bb9fee1a9e0
Teología de las Religiones,I,2020-04-20,El problema de Dios  20/04/2020,1:37:30,https://ca.bbcollab.com/recording/aad5ccb311b74749b42809fbd495b131
Teología de las Religiones,I,2020-04-22,CONTROL DE LECTURA Nº 1,0:51:20,https://ca.bbcollab.com/recording/3e42ff3595c74f139ce9aeaf4928a7a3
Teología de las Religiones,I,2020-04-27,Religiones mesopotámicas 27/04/2020,1:30:10,https://ca.bbcollab.com/recording/4c71c0cc0242426ab7c9b0a1c06b4db6
Teología de las Religiones,I,2020-04-29,Religión egipcia 29/04/2020,1:34:53,https://ca.bbcollab.com/recording/209af041998f4f93ad78961ad4342231
Teología de las Religiones,I,2020-05-04,Religión griega 04/05/2020,1:40:24,https://ca.bbcollab.com/recording/620a07579c404a07b7ef74c1900059cb
Teología de las Religiones,I,2020-05-06,Religión romana 06/05/2020,1:21:13,https://ca.bbcollab.com/recording/e3b7c7bd4b6747768e42f39e37ec1a48
Teología de las Religiones,I,2020-05-11,Religiones Precolombinas 11/05/2020,1:29:07,https://ca.bbcollab.com/recording/c13e061636854273b9caf001369e214b
Teología de las Religiones,I,2020-05-13,Actividad Grupal Nª 1,1:28:10,https://ca.bbcollab.com/recording/8d7e44bba3824f1f821423df3aa09ef4
Teología de las Religiones,I,2020-05-18,SESIÓN DE CONSULTAS: EXAMEN PARCIAL I,2:20:29,https://ca.bbcollab.com/recording/2144ef41d3cd40438c19bff49cc5f2a0
Teología de las Religiones,I,2020-05-25,Clase del 25/05/2020,1:45:15,https://ca.bbcollab.com/recording/f200f1f3d4204af7be54299be3d4d207
Teología de las Religiones,I,2020-05-27,Sesión del 27/05/2020,1:27:34,https://ca.bbcollab.com/recording/b4356b229bc84f1f9aaacb9135760629
Teología de las Religiones,I,2020-06-01,Sesión del 01/06/2020,1:29:31,https://ca.bbcollab.com/recording/8e5877e4b35e4d5c800e5fad68caf71a
Teología de las Religiones,I,2020-06-03,Sesión del 03/06/2020,1:31:46,https://ca.bbcollab.com/recording/04f25a1d8c434d678d8268a736b99cbf
Teología de las Religiones,I,2020-06-08,Sesión 08/06/2020,1:34:16,https://ca.bbcollab.com/recording/d1a3b82931a7455a89bf252bfe080f6e
Teología de las Religiones,I,2020-06-10,Sesión miércoles 10/06/2020,1:42:47,https://ca.bbcollab.com/recording/cdf13e2799ed44b897fb79cfefb29b51
Teología de las Religiones,I,2020-06-15,Sesión 15/06/2020,1:46:11,https://ca.bbcollab.com/recording/a7fd38a7cbb04ba782360001364fe4f5
Teología de las Religiones,I,2020-06-17,Sesión del 17/06/2020,1:39:10,https://ca.bbcollab.com/recording/eb4f5479b0e945789681251031c03fc2
Teología de las Religiones,I,2020-06-22,Sesión del 22/06/2020,1:43:10,https://ca.bbcollab.com/recording/39b4d36ce04a46459d9478124f7294f0
Teología de las Religiones,I,2020-06-24,Sesión del 24/06/2020,1:35:34,https://ca.bbcollab.com/recording/a6aa982ef114430eb1d018c0a534c736
Teología de las Religiones,I,2020-07-01,Sesión del 1/07/2020,1:55:35,https://ca.bbcollab.com/recording/b5a017c3faa94fd0a0c0ff8db9be0c89
Teología de las Religiones,I,2020-07-06,Sesión del 6/07/2020,1:39:11,https://ca.bbcollab.com/recording/b8532aae8e4d4618881c943cd1e3147e
Teología de las Religiones,I,2020-07-08,Sesión del 8/07/2020,1:48:27,https://ca.bbcollab.com/recording/cae9d6edd5754cbfb62d5f7c14637820
Teología de las Religiones,I,2020-07-08,Sesión del 8/07/2020,1:48:27,https://ca.bbcollab.com/recording/cae9d6edd5754cbfb62d5f7c14637820
Teología de las Religiones,I,2020-07-13,EXAMEN FINAL,2:24:35,https://ca.bbcollab.com/recording/9f070a7749944403a613179a74c8d1d3
