Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Teología de las Religiones,L,2020-03-30,Clase 1: Presentación del curso (30.03.2020),1:43:33,https://ca.bbcollab.com/recording/bbe10907d1a844deb4957d39479ed580
Teología de las Religiones,L,2020-04-01,"Clase 2: ""Teología"" y filosofía griega",1:37:33,https://ca.bbcollab.com/recording/e1cfae47fe3c4ca997817fb6cbf5630e
Teología de las Religiones,L,2020-04-06,"Clase 3: ""Teología"" en Platón y Aristóteles",1:48:12,https://ca.bbcollab.com/recording/143491569bed45b7ae9aedf327f8ad9f
Teología de las Religiones,L,2020-04-08,"Clase 4: ""Teología"" en Aristóteles - Religión",1:48:44,https://ca.bbcollab.com/recording/970bd5f4ff8441e69254349d68a99f2b
Teología de las Religiones,L,2020-04-13,Clase 5: Religión en el mesolítico y el neolítico,1:46:20,https://ca.bbcollab.com/recording/0eed31a570e44517a576b1a84a502c09
Teología de las Religiones,L,2020-04-15,Clase 6: Religión en Mesopotamia,1:49:32,https://ca.bbcollab.com/recording/ee9a1b0116274ca4af4216f602e73abe
Teología de las Religiones,L,2020-04-20,Clase 7: Religión en Mesopotamia (segunda parte),1:48:29,https://ca.bbcollab.com/recording/26c48e57cd034ee888ae736b59da5ae9
Teología de las Religiones,L,2020-04-22,Clase 8: Mesopotamia y Egipto (primera parte),1:47:57,https://ca.bbcollab.com/recording/0b4a7a65b33a4c338062b2ed8aa7c06f
Teología de las Religiones,L,2020-04-27,Clase 9: Religión egipcia,1:42:59,https://ca.bbcollab.com/recording/365eb97557754c9a942152f44851c69b
Teología de las Religiones,L,2020-04-29,Clase 10: Religión egipcia (segunda parte),1:45:35,https://ca.bbcollab.com/recording/8787acd8225f4fbb9aff9cf0bf9a4081
Teología de las Religiones,L,2020-05-04,Clase 11: La cultura del valle del Indus - Mohenjo Daro y Harappa,1:49:23,https://ca.bbcollab.com/recording/0c3b4d79384142bf8063c093add0109d
Teología de las Religiones,L,2020-05-06,Clase 12: Religión en la India,1:49:15,https://ca.bbcollab.com/recording/84af23c0446445b2a2d56d3caa5ed58a
Teología de las Religiones,L,2020-05-11,Clase 13: Textos sagrados de la India,1:49:29,https://ca.bbcollab.com/recording/f3c7fe4b556948f4a057267f3470698a
Teología de las Religiones,L,2020-05-13,Clase 14: Repaso y preparación para el examen parcial,1:39:21,https://ca.bbcollab.com/recording/6bc4a4ba99204bae88128fcd847a99f3
Teología de las Religiones,L,2020-05-18,Examen parcial,2:24:57,https://ca.bbcollab.com/recording/645a309727af46e48d2c3e1ed2bd428e
Teología de las Religiones,L,2020-05-25,Clase 15: Historia de Israel,1:44:41,https://ca.bbcollab.com/recording/b32bfeaaede24f53ad6130b3d9ce5788
Teología de las Religiones,L,2020-05-27,Clase 16: Historia del judaísmo,1:49:29,https://ca.bbcollab.com/recording/3031b80f4fdb423a9d4f76af944f5214
Teología de las Religiones,L,2020-06-01,Clase 17: Historia del judaísmo (continuación),1:39:24,https://ca.bbcollab.com/recording/99938115d523451a9ba74f21c37e7787
Teología de las Religiones,L,2020-06-03,Clase 20: Historia del judaísmo (continuación),1:48:54,https://ca.bbcollab.com/recording/f196f0586c25465b8ba11d2415cdee33
Teología de las Religiones,L,2020-06-08,Clase 21: Historia del judaísmo (continuación),1:46:07,https://ca.bbcollab.com/recording/8f2358dc8d2f42e7a3e0a8fa831f0109
Teología de las Religiones,L,2020-06-10,Clase 20: Judaísmo y ungimiento real,1:45:40,https://ca.bbcollab.com/recording/0cb1920b742349bc84271cd02299cf99
Teología de las Religiones,L,2020-06-15,Clase 21: Primera sesión de exposiciones grupales,1:50:21,https://ca.bbcollab.com/recording/681ec95b3f0b406bad9b9e07b8ff3e3f
Teología de las Religiones,L,2020-06-17,Clase 22: Segunda sesión de exposiciones grupales,1:56:01,https://ca.bbcollab.com/recording/db45781316524da6b5547e3ab68ac629
Teología de las Religiones,L,2020-06-22,Clase 23: El surgimiento del Cristianismo,1:49:43,https://ca.bbcollab.com/recording/8a77b64f10124c6cb5d39725b0cbdd31
Teología de las Religiones,L,2020-06-24,Clase 24: Cristianismo - primera y segunda generación,1:56:34,https://ca.bbcollab.com/recording/72acab32b76a4cfa9cefbf1462dbf227
Teología de las Religiones,L,2020-07-01,Clase 25: Introducción al estudio del islam,1:53:24,https://ca.bbcollab.com/recording/303308e63496409ea8bf158ee63a2175
Teología de las Religiones,L,2020-07-06,Clase 26: Islam y apocalíptica comparada,1:49:25,https://ca.bbcollab.com/recording/a4f4baa49ae040878985b657f0107a76
Teología de las Religiones,L,2020-07-08,Clase 27: Repaso del islam y preparación para el examen final,1:56:28,https://ca.bbcollab.com/recording/4015c250dfc94bd1a4f6eed8e4aa8448
Teología de las Religiones,L,2020-07-08,Clase 27: Repaso del islam y preparación para el examen final,1:56:28,https://ca.bbcollab.com/recording/4015c250dfc94bd1a4f6eed8e4aa8448
Teología de las Religiones,L,2020-07-13,Examen final - preparación y preguntas,2:47:49,https://ca.bbcollab.com/recording/51c320692ee9442498076b967333d7e5
