Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Teoría del Comercio Internacional y Proc,A,2020-03-30,Clase del 30 de Marzo,1:41:25,https://ca.bbcollab.com/recording/50d7ee9b18a848c4a20bed5c93dbae84
Teoría del Comercio Internacional y Proc,A,2020-04-01,Clases,1:10:26,https://ca.bbcollab.com/recording/8b6237913d0d4ba8b7b61a6ae8fa47d2
Teoría del Comercio Internacional y Proc,A,2020-04-06,Clases,1:44:31,https://ca.bbcollab.com/recording/3c92469933bf40248417675e5d646509
Teoría del Comercio Internacional y Proc,A,2020-04-13,Clases,1:56:20,https://ca.bbcollab.com/recording/599571275a084fe98dc8fa00da75aac6
Teoría del Comercio Internacional y Proc,A,2020-04-15,Clases,1:16:55,https://ca.bbcollab.com/recording/a68cf4132925465e8bbde8009231337a
Teoría del Comercio Internacional y Proc,A,2020-04-20,Clases,1:34:01,https://ca.bbcollab.com/recording/2a3f176d57ad4d978fba96ab8cd7a622
Teoría del Comercio Internacional y Proc,A,2020-04-22,Clases,1:38:14,https://ca.bbcollab.com/recording/0f2f811681dd4767aba16aec13b51841
Teoría del Comercio Internacional y Proc,A,2020-04-27,Clases,1:43:56,https://ca.bbcollab.com/recording/3023f489bdca46fd8087452ac41d53e9
Teoría del Comercio Internacional y Proc,A,2020-04-29,Clases,1:44:51,https://ca.bbcollab.com/recording/e16b5367e9964658b52143b1f068c0cd
Teoría del Comercio Internacional y Proc,A,2020-05-04,Clases,1:36:13,https://ca.bbcollab.com/recording/5e7f4d1868d24fa1a2e8c7e5ea6ec4b0
Teoría del Comercio Internacional y Proc,A,2020-05-06,Clases,1:44:41,https://ca.bbcollab.com/recording/c638a5bdc03d47cf9a24d56d6cdda930
Teoría del Comercio Internacional y Proc,A,2020-05-11,Clases,1:35:42,https://ca.bbcollab.com/recording/0179147129024d9fb2e720e2ceb0e731
Teoría del Comercio Internacional y Proc,A,2020-05-13,Clases,1:11:10,https://ca.bbcollab.com/recording/02904c32c02948da80a732f89e411beb
Teoría del Comercio Internacional y Proc,A,2020-05-19,Examen Parcial,2:20:30,https://ca.bbcollab.com/recording/f6fa0d7be4284a3b8509d56c8f9b0096
Teoría del Comercio Internacional y Proc,A,2020-05-25,Clases,1:11:15,https://ca.bbcollab.com/recording/c2d519f2fa1e475d97cc360955be318f
Teoría del Comercio Internacional y Proc,A,2020-05-27,Clases,0:44:14,https://ca.bbcollab.com/recording/1ae77756505f4c47b726d0784509ef09
Teoría del Comercio Internacional y Proc,A,2020-06-01,Clases,1:36:29,https://ca.bbcollab.com/recording/15f9df869c144be8a8b7f6b1fe6ea597
Teoría del Comercio Internacional y Proc,A,2020-06-03,USO DE BLACKBOARD PARA CLASE VIRTUAL,1:44:49,https://ca.bbcollab.com/recording/eb97e1b7c6dc414daa7307a4f5e92927
Teoría del Comercio Internacional y Proc,A,2020-06-08,Clases,1:39:07,https://ca.bbcollab.com/recording/07bb0ff14cb54f9bbffd1e6559c3ea10
Teoría del Comercio Internacional y Proc,A,2020-06-10,Clases,1:36:43,https://ca.bbcollab.com/recording/d8f29645144f4da9b352db2273e36355
Teoría del Comercio Internacional y Proc,A,2020-06-15,Clases,1:58:43,https://ca.bbcollab.com/recording/786d81fb676c48e4b608c5263fccf146
Teoría del Comercio Internacional y Proc,A,2020-06-17,Clases,1:48:51,https://ca.bbcollab.com/recording/4ea4447f6bd74343af77aa1670646995
Teoría del Comercio Internacional y Proc,A,2020-06-22,Clases,1:38:10,https://ca.bbcollab.com/recording/f46f8859cd454b62a750f701d816a950
Teoría del Comercio Internacional y Proc,A,2020-06-24,Clases,1:46:40,https://ca.bbcollab.com/recording/71ca81302e3e4ae58a756826e0869680
Teoría del Comercio Internacional y Proc,A,2020-07-01,Clases,1:54:05,https://ca.bbcollab.com/recording/601c9e1e0ac2448ca6434a35714ee888
Teoría del Comercio Internacional y Proc,A,2020-07-06,Clases,1:40:34,https://ca.bbcollab.com/recording/900e271045b34c31b7f52d730a2072b6
Teoría del Comercio Internacional y Proc,A,2020-07-08,Clases,1:44:23,https://ca.bbcollab.com/recording/3ac2fc0a69d84058b9a2633c7b91f134
Teoría del Comercio Internacional y Proc,A,2020-07-08,Clases,1:44:23,https://ca.bbcollab.com/recording/3ac2fc0a69d84058b9a2633c7b91f134
