Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Teoría del Comercio Internacional,B,2020-04-02,PD1,1:28:58,https://ca.bbcollab.com/recording/b50b39cec66d400bb3541e6cb8706cce
Teoría del Comercio Internacional,B,2020-04-07,Introducción 2,3:01:36,https://ca.bbcollab.com/recording/f038f0eaf48f46cb9f42b5b0150078e3
Teoría del Comercio Internacional,B,2020-04-09,Introducción 3,1:53:07,https://ca.bbcollab.com/recording/b5d72f30138d4d8185ce6c6fab39da84
Teoría del Comercio Internacional,B,2020-04-14,TCI Clásica 1,3:04:07,https://ca.bbcollab.com/recording/171ab7d5f26c4fa491ab8f25623666a8
Teoría del Comercio Internacional,B,2020-04-16,TCI Clásica 2,1:47:15,https://ca.bbcollab.com/recording/ec44bc3830704c8fb67dc5127299d082
Teoría del Comercio Internacional,B,2020-04-21,PD2,1:07:47,https://ca.bbcollab.com/recording/ff3b4f4022f24bf7bc65a3a27e75bd3e
Teoría del Comercio Internacional,B,2020-04-23,TCI Clásica 3,1:56:32,https://ca.bbcollab.com/recording/2604c35820454e6889bd2c4e89dd25a6
Teoría del Comercio Internacional,B,2020-04-28,TCI Neo-Clásica 1,1:19:10,https://ca.bbcollab.com/recording/5f375734e6744d6a946b094c079fcd98
Teoría del Comercio Internacional,B,2020-04-28,TCI Neo-Clásica 1,1:14:44,https://ca.bbcollab.com/recording/5fe13439ed454f1e9686e245c971a2fd
Teoría del Comercio Internacional,B,2020-04-30,PD3,1:03:53,https://ca.bbcollab.com/recording/62957204459d403a9e47c3f53c3975c6
Teoría del Comercio Internacional,B,2020-05-05,TCI Neo-Clásica 2,1:21:08,https://ca.bbcollab.com/recording/3be772dd1e354f0db08f452ba7c42613
Teoría del Comercio Internacional,B,2020-05-05,TCI Neo-Clásica 2,1:11:39,https://ca.bbcollab.com/recording/eaee6f4126af443cb33887eb4b2eed99
Teoría del Comercio Internacional,B,2020-05-07,PD4,1:07:31,https://ca.bbcollab.com/recording/4fe65e48e593420d8b56dfa9097eb076
Teoría del Comercio Internacional,B,2020-05-12,TCI Neo-Clásica 3,1:03:45,https://ca.bbcollab.com/recording/c96c57aef0a6460787c6bceabfbfcd63
Teoría del Comercio Internacional,B,2020-05-12,TCI Neo-Clásica 3,1:20:12,https://ca.bbcollab.com/recording/daf4bfb669194472b5e0b1679758fcdf
Teoría del Comercio Internacional,B,2020-05-21,Examen Parcial,1:01:53,https://ca.bbcollab.com/recording/4f922cba69604f37a3b9a899b4d48432
Teoría del Comercio Internacional,B,2020-05-26,NTCI_1,1:17:32,https://ca.bbcollab.com/recording/0e538ad123894644814d7106da075cbe
Teoría del Comercio Internacional,B,2020-05-26,NTCI_1,0:59:09,https://ca.bbcollab.com/recording/34250e8c56314238b0281c9885b05399
Teoría del Comercio Internacional,B,2020-05-28,NTCI_2,1:50:34,https://ca.bbcollab.com/recording/3a86b637030d4fe68548032de807df06
Teoría del Comercio Internacional,B,2020-06-02,NTCI_3,1:45:15,https://ca.bbcollab.com/recording/1880f095d04f4bc8bc79e11977c8dbf1
