Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Teoría del Comercio Internacional,C,2020-03-30,Introducción 30/03,2:37:49,https://ca.bbcollab.com/recording/6694921635f84430ae090eefcc05b67f
Teoría del Comercio Internacional,C,2020-04-02,PD1 - TCI,1:44:08,https://ca.bbcollab.com/recording/f987bd431602440695e24bd1ea6859f8
Teoría del Comercio Internacional,C,2020-04-06,Introducción y Modelo Ricardiano,2:35:34,https://ca.bbcollab.com/recording/f626c002107749c0afb3ae81759cfb1d
Teoría del Comercio Internacional,C,2020-04-13,Modelo Ricardiano (continuación),2:37:25,https://ca.bbcollab.com/recording/2426383fae144c969479e631cc04a22d
Teoría del Comercio Internacional,C,2020-04-16,PD2,2:03:39,https://ca.bbcollab.com/recording/ab327e49e7ae4005abf0d5c46080ddde
Teoría del Comercio Internacional,C,2020-04-20,Modelo Ricardiano - Factores específicos,2:18:51,https://ca.bbcollab.com/recording/957066ea429844989e5d6a8b8ec8f6a5
Teoría del Comercio Internacional,C,2020-04-27,Factores específicos,2:20:35,https://ca.bbcollab.com/recording/0c3e7cf194e544c9baa628ee5d96cbd1
Teoría del Comercio Internacional,C,2020-04-30,PD3,1:53:08,https://ca.bbcollab.com/recording/12c35a6de1774eaba8df8f58b4621eae
Teoría del Comercio Internacional,C,2020-05-04,Modelo Hecksher-Ohlin,2:24:46,https://ca.bbcollab.com/recording/f05e2d5d48694561892e4fcfb3af0ed2
Teoría del Comercio Internacional,C,2020-05-07,PD4 Hecksher Ohlin,1:50:05,https://ca.bbcollab.com/recording/e3970f4afef94f83ba10e0fffbcf5668
Teoría del Comercio Internacional,C,2020-05-11,Hecksher Ohlin - Modelo Estándar,2:01:56,https://ca.bbcollab.com/recording/7fd1e133672a470392bacf8c816a019e
Teoría del Comercio Internacional,C,2020-05-21,Examen Parcial,2:11:46,https://ca.bbcollab.com/recording/897d5172a2fa4c8aaab2f4c3a4457ed9
Teoría del Comercio Internacional,C,2020-05-25,Movimientos Internacionales de Factores,2:41:37,https://ca.bbcollab.com/recording/fc2d174f38564e9081efdabc28306e4f
Teoría del Comercio Internacional,C,2020-06-01,Movimientos Internacionales de Factores / Economías de Escala,2:43:45,https://ca.bbcollab.com/recording/30b044cb7a5c4a24a39001fae1581562
Teoría del Comercio Internacional,C,2020-06-04,PD5,1:20:06,https://ca.bbcollab.com/recording/9715df3c95f649f2997cb606221f0244
Teoría del Comercio Internacional,C,2020-06-08,Economías de escala,2:13:33,https://ca.bbcollab.com/recording/beaf564a04d646d3856b224958aa95bc
Teoría del Comercio Internacional,C,2020-06-15,Economías de aglomeración,2:35:02,https://ca.bbcollab.com/recording/f110b59dcd4048b6887ff54aed9e9fa5
Teoría del Comercio Internacional,C,2020-06-18,PD6,1:32:47,https://ca.bbcollab.com/recording/98a3b2298c0548bbbfd16b56501410ab
Teoría del Comercio Internacional,C,2020-06-22,9 Política comercial,2:37:29,https://ca.bbcollab.com/recording/c837d6d189f4416999f86480ff0eb8a0
Teoría del Comercio Internacional,C,2020-07-02,PD7,0:00:05,https://ca.bbcollab.com/recording/5ff00b1218df4a1ea203f8dd81009cd5
Teoría del Comercio Internacional,C,2020-07-02,PD7,1:27:27,https://ca.bbcollab.com/recording/fff8fc7528334a329f7cd79530bd5182
Teoría del Comercio Internacional,C,2020-07-06,9 Política comercial / 10 Acuerdos comerciales,1:45:36,https://ca.bbcollab.com/recording/f6577b205364451383cac43dcf30b048
Teoría del Comercio Internacional,C,2020-07-11,Prefinal,1:59:56,https://ca.bbcollab.com/recording/d36f46752b944bd38f78ac916da9d9c4
Teoría del Comercio Internacional,C,2020-07-11,Prefinal,1:59:56,https://ca.bbcollab.com/recording/d36f46752b944bd38f78ac916da9d9c4
Teoría del Comercio Internacional,C,2020-07-16,Examen final,2:07:44,https://ca.bbcollab.com/recording/f6a8b1c676b54c34a8956decc3ff8f8e
Teoría del Comercio Internacional,C,2020-07-16,Examen final,2:07:44,https://ca.bbcollab.com/recording/f6a8b1c676b54c34a8956decc3ff8f8e
