Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Teoría del Desarrollo Económico,A,2020-03-31,Primera clase,0:57:14,https://ca.bbcollab.com/recording/670c91d569da42d9b72faa966bfeb464
Teoría del Desarrollo Económico,A,2020-04-03,Clase II,1:11:36,https://ca.bbcollab.com/recording/86d8d833247c4279a7166fb7bab9fd3c
Teoría del Desarrollo Económico,A,2020-04-07,Sesion III,0:37:17,https://ca.bbcollab.com/recording/407691f0388148e684c96a0564bd7f77
Teoría del Desarrollo Económico,A,2020-04-14,Sesion IV,3:38:54,https://ca.bbcollab.com/recording/a20ec1e74e3540d6b3c0adc189023e4f
Teoría del Desarrollo Económico,A,2020-04-17,Sesion V,0:53:08,https://ca.bbcollab.com/recording/7cec364fb1a249bf954c2c3dce0ca568
Teoría del Desarrollo Económico,A,2020-04-21,Sesion VI,1:15:07,https://ca.bbcollab.com/recording/507c37608cc14aed96714f428dae8863
Teoría del Desarrollo Económico,A,2020-04-24,Sesion VIII,0:56:43,https://ca.bbcollab.com/recording/eaec97b05e75439cb9f2d4630eb7d0e9
Teoría del Desarrollo Económico,A,2020-04-28,Población y sus determinantes,1:44:08,https://ca.bbcollab.com/recording/2632eac784154aa1b3912391142e76c4
Teoría del Desarrollo Económico,A,2020-05-05,CAMBIOS ESTRuCTURALES,0:53:32,https://ca.bbcollab.com/recording/3a16a4f92d1f413c9013c952bbf1e832
Teoría del Desarrollo Económico,A,2020-05-08,Examen Parcial,0:40:21,https://ca.bbcollab.com/recording/a8da353c68e0493ea892a859c7625bc3
Teoría del Desarrollo Económico,A,2020-05-12,Los determínales del Nivel de actividad en las sociedades pre industriales,1:13:39,https://ca.bbcollab.com/recording/7c4bc9ac455d4868a0a177ba086d8bf2
Teoría del Desarrollo Económico,A,2020-05-15,Los Indicadores Económicos de las sociedades pre industriales,1:13:16,https://ca.bbcollab.com/recording/3dd63ac9ce71417292b453e470a2422a
Teoría del Desarrollo Económico,A,2020-05-26,La Revolución Industrial,1:02:14,https://ca.bbcollab.com/recording/91aac9d8df2b48d69fdf58d3deaac2f6
Teoría del Desarrollo Económico,A,2020-06-02,Las Consecuencias de la Revolución Industrial,1:23:36,https://ca.bbcollab.com/recording/b81e0fbd028049ffa0d0096de1679036
Teoría del Desarrollo Económico,A,2020-06-05,Concentración de la Producción,0:58:59,https://ca.bbcollab.com/recording/7d7f716d8f39491c8e09d7b406ce242b
Teoría del Desarrollo Económico,A,2020-06-09,URBANIZACION,0:55:16,https://ca.bbcollab.com/recording/952b7ce8eeb54abeaf2b8efde64ef037
Teoría del Desarrollo Económico,A,2020-06-12,Las tendencias de la Desigualdad,0:48:33,https://ca.bbcollab.com/recording/12ead0ba206c442fbf65ced35d974dd7
Teoría del Desarrollo Económico,A,2020-06-19,Tendencias de la desigualdad rregional,0:17:11,https://ca.bbcollab.com/recording/a5da00417ae0495081fa44a1c16d8a61
Teoría del Desarrollo Económico,A,2020-06-23,Examen final,0:21:01,https://ca.bbcollab.com/recording/d92bc1b0318c4853bed1650fba5d59fe
Teoría del Desarrollo Económico,A,2020-06-26,Examen final,0:01:02,https://ca.bbcollab.com/recording/44f5b6480b194be5a7cbbdc1309d0886
Teoría del Desarrollo Económico,A,2020-06-26,Examen final,0:20:09,https://ca.bbcollab.com/recording/9f8decbd3da2430d800c86d5956e2afd
Teoría del Desarrollo Económico,A,2020-06-30,Examen final,0:25:06,https://ca.bbcollab.com/recording/e9c7311bb8bb45b59c740f7688d1eb20
Teoría del Desarrollo Económico,A,2020-07-03,Tendencias recientes de la desigualdad regional,8:00:00,https://ca.bbcollab.com/recording/04c2407247f84655bfbb9656829324d0
Teoría del Desarrollo Económico,A,2020-07-07,APLICACIONES GRID PBI Y POBLACION,0:48:29,https://ca.bbcollab.com/recording/40352a369fda4d17926e4a26ba8afde1
