Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Tributación Aplicada I,A,2020-04-01,Semana 1 - 1,0:52:33,https://ca.bbcollab.com/recording/2c05759ba8a34f00961c0166cb739afe
Tributación Aplicada I,A,2020-04-01,Semana 1 - 1,0:01:30,https://ca.bbcollab.com/recording/b083f0cb820047618817c54b24de71c2
Tributación Aplicada I,A,2020-04-01,Semana 1 - 1,0:11:37,https://ca.bbcollab.com/recording/be1ec50b3cc049adbc7c27ed72ffbb25
Tributación Aplicada I,A,2020-04-01,Semana 1 - 1,0:00:18,https://ca.bbcollab.com/recording/c5a2ed2453ec4525b5d3b6d51945bc4f
Tributación Aplicada I,A,2020-04-03,Semana 1 - 2,0:36:44,https://ca.bbcollab.com/recording/6a76af2f8c1548eb9fed194b423fca3a
Tributación Aplicada I,A,2020-04-03,Semana 1 - 2,0:17:32,https://ca.bbcollab.com/recording/78a9ac3bfcb3412eaea7c64b7db3fe7a
Tributación Aplicada I,A,2020-04-03,Semana 1 - 2,0:27:31,https://ca.bbcollab.com/recording/b1e52b4343914e17b16193d10b3bb151
Tributación Aplicada I,A,2020-04-08,Semana 2 - 1,0:10:17,https://ca.bbcollab.com/recording/388b96b052e2403e8b3571d4e08b197f
Tributación Aplicada I,A,2020-04-08,Semana 2 - 1,0:25:17,https://ca.bbcollab.com/recording/cf584f798ccf4da7a56cc83d3e1bc4a4
Tributación Aplicada I,A,2020-04-08,Semana 2 - 1,1:07:23,https://ca.bbcollab.com/recording/d2b70183a3b74939878ab25fa7f449ac
Tributación Aplicada I,A,2020-04-15,Semana 3 - 1,0:53:21,https://ca.bbcollab.com/recording/3c0f6ebcd89245ffb91606402e41cf7a
Tributación Aplicada I,A,2020-04-15,Semana 3 - 1,1:21:01,https://ca.bbcollab.com/recording/e7672802be0542f8992057b5466a60e4
Tributación Aplicada I,A,2020-04-17,Semana 3 - 2,1:12:11,https://ca.bbcollab.com/recording/29056948752e400aab069fa4b95a2d06
Tributación Aplicada I,A,2020-04-22,Semana 4 - 1,1:27:12,https://ca.bbcollab.com/recording/01b46d2cfe8844a18d64ae9ecdf919ce
Tributación Aplicada I,A,2020-04-22,Semana 4 - 1,0:25:43,https://ca.bbcollab.com/recording/ce014c8422664818a397057da7aebbf0
Tributación Aplicada I,A,2020-04-22,Semana 4 - 1,0:05:48,https://ca.bbcollab.com/recording/f30de748fb05418f99a9906eb124ab97
