Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Ética,B,2020-03-30,Clase de Ética,1:31:48,https://ca.bbcollab.com/recording/7f5c435449ec4f08885e9ba01ff8e695
Ética,B,2020-04-01,Clase de Ética,1:33:01,https://ca.bbcollab.com/recording/eff47b258bc143ee85522980e5eff4bf
Ética,B,2020-04-06,Clase de Ética,1:33:56,https://ca.bbcollab.com/recording/1bbaa30c091949aab6c8f98d84e66b05
Ética,B,2020-04-08,Clase de Ética,1:40:20,https://ca.bbcollab.com/recording/670f454775db42d5b413bb252c791680
Ética,B,2020-04-13,Clase de Ética,1:36:47,https://ca.bbcollab.com/recording/b42c5f188fab484ea0054505bb7a36ef
Ética,B,2020-04-15,Clase de Ética,1:32:00,https://ca.bbcollab.com/recording/945b9b4f110342c298acca3110525a0e
Ética,B,2020-04-20,Clase de Ética,1:35:31,https://ca.bbcollab.com/recording/fd9b8eeb32b346d3ad5a85e2b11b2b61
Ética,B,2020-04-22,Clase de Ética,1:44:08,https://ca.bbcollab.com/recording/e615385a7760429399b6b5f3b7459d6e
Ética,B,2020-04-27,Clase de Ética,2:17:54,https://ca.bbcollab.com/recording/1c2d627a56624cdba997c0f628a6ca19
Ética,B,2020-04-29,Clase de Ética,1:21:41,https://ca.bbcollab.com/recording/ec4ade30a6a5499daf07c000276aa847
Ética,B,2020-05-04,Clase de Ética,1:48:48,https://ca.bbcollab.com/recording/091fb3789d4145efb96605246421e2bf
Ética,B,2020-05-06,Clase de Ética,1:20:17,https://ca.bbcollab.com/recording/cdbc3e16bf1d405c822d503d6ca68e05
Ética,B,2020-05-11,Clase de Ética,1:38:44,https://ca.bbcollab.com/recording/c55371b714c94a32a8bfb611125874a3
Ética,B,2020-05-13,Clase de Ética,1:40:32,https://ca.bbcollab.com/recording/fea899f085ba4d3695e52c17c85dc3ff
Ética,B,2020-05-25,Clase de Ética,1:34:56,https://ca.bbcollab.com/recording/622b884357b744f5a97e5343149cac0c
Ética,B,2020-05-27,Clase de Ética,1:42:16,https://ca.bbcollab.com/recording/d1b85f8e5b094b5ea0f9d9c4e0882b5e
Ética,B,2020-06-01,Clase de Ética,1:42:40,https://ca.bbcollab.com/recording/1ac8a16a272a46848a0298958443309f
Ética,B,2020-06-03,Clase de Ética,1:07:22,https://ca.bbcollab.com/recording/b381490397e6456fa4539c1ca91e992f
Ética,B,2020-06-08,Clase de Ética,1:40:51,https://ca.bbcollab.com/recording/47bfd8d750914d3e8efc673ed591f7e5
Ética,B,2020-06-10,Clase de Ética,0:52:49,https://ca.bbcollab.com/recording/7206fa2745034fe99c483072588ad18c
Ética,B,2020-06-15,Clase de Ética,1:33:56,https://ca.bbcollab.com/recording/ab331e37b09446869f438418a93d56ca
Ética,B,2020-06-17,Clase de Ética,1:28:23,https://ca.bbcollab.com/recording/d97140a644484ea6b20232874c611e43
Ética,B,2020-06-22,Clase de Ética,1:22:04,https://ca.bbcollab.com/recording/90793634b8b44f9c84d0895c9d5586ce
Ética,B,2020-06-24,Clase de Ética,1:27:49,https://ca.bbcollab.com/recording/f66ae8e587ba4c038d42acb1a9c80c69
Ética,B,2020-07-01,Clase de Ética,1:48:42,https://ca.bbcollab.com/recording/24f714a25d07434799589379982b2c09
Ética,B,2020-07-06,Clase de Ética,1:34:10,https://ca.bbcollab.com/recording/40a6a84d682c45049ff251a2c21c561b
Ética,B,2020-07-08,Clase de Ética,1:22:01,https://ca.bbcollab.com/recording/6fbaf253134d4299a7f049579f7cedfa
Ética,B,2020-07-08,Clase de Ética,1:22:01,https://ca.bbcollab.com/recording/6fbaf253134d4299a7f049579f7cedfa
