Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Ética,F,2020-03-31,Sesión 1-1 Etica de la virtud,1:21:38,https://ca.bbcollab.com/recording/fe6f25c7afad4ce6977bce2c0b35a1de
Ética,F,2020-04-02,Sesión 1-2 Etica de la virtud,1:41:02,https://ca.bbcollab.com/recording/3c979c6b7d0b4727bfda089d919a0224
Ética,F,2020-04-07,1-3 Etica de la virtud,1:39:33,https://ca.bbcollab.com/recording/828d8586eb93410abf9b227164eae2c5
Ética,F,2020-04-14,Sesión 1-4 Etica de la virtud,1:18:14,https://ca.bbcollab.com/recording/2d709485f38a49b69dfbf46d9c315a15
Ética,F,2020-04-16,Sesión 1.5 Etica de la virtud,1:17:31,https://ca.bbcollab.com/recording/20dcb659cbee4c31a879284f70a993c9
Ética,F,2020-04-23,Unidad 2-1 Aquino,1:13:36,https://ca.bbcollab.com/recording/7d304b296ef74b00949bc16969ccc023
Ética,F,2020-04-28,Sesión 2-2 Aquino,1:27:10,https://ca.bbcollab.com/recording/fa3acf3be2aa4ed69a8094aa7c42cac2
Ética,F,2020-04-30,Unidad 2-3 Aquino,1:21:14,https://ca.bbcollab.com/recording/e11a36ed16924004890d6ca8279f3049
Ética,F,2020-05-05,Sesión 2.4 Aquino,1:23:36,https://ca.bbcollab.com/recording/14583d19d7114f019aab2d24e05c3939
Ética,F,2020-05-12,Sesión 3-1 Kant,1:19:39,https://ca.bbcollab.com/recording/89a73649d53e433d849ef868b3cc61ff
Ética,F,2020-05-14,Sesión 3.2 Aquino,1:06:22,https://ca.bbcollab.com/recording/f74e952a92cd48109ba5426fba21f854
Ética,F,2020-05-26,Sesión  3-3 Kant,1:16:00,https://ca.bbcollab.com/recording/f314ce6ff834477784e4638a8de479b7
Ética,F,2020-05-28,Sesión 3-4 Kant,1:19:23,https://ca.bbcollab.com/recording/2d7286c3776f4dc48f0372bb869aa484
Ética,F,2020-06-04,Sesión 4-1 Mill,1:18:42,https://ca.bbcollab.com/recording/7707b8c5303447d882ff687c71f1aded
Ética,F,2020-06-09,Sesión 4-2 Mill,1:13:30,https://ca.bbcollab.com/recording/27aae5687b70449b8b175f305cb72590
Ética,F,2020-06-11,Sesión 4-3 Mill,1:12:10,https://ca.bbcollab.com/recording/ff2f0d1b4d1447de964fa7351d046192
Ética,F,2020-06-16,Sesión 4-4 Mill,1:13:15,https://ca.bbcollab.com/recording/e09a2bafd5f347c581f8493d74a2fcd6
Ética,F,2020-06-23,Sesión 5-1 Nietzsche,1:17:41,https://ca.bbcollab.com/recording/46c08a3bd64049baaec2a5c84deb1f5e
Ética,F,2020-06-25,Sesión 5-2 Nietzsche,1:15:22,https://ca.bbcollab.com/recording/0dda14c1d97c496383e64e8d0344268f
Ética,F,2020-06-30,Sesión 5-3 Nietzsche,1:23:08,https://ca.bbcollab.com/recording/e6e7a166015f40f98c96d7fdb7dacfe2
Ética,F,2020-06-30,Sesión 5-3 Nietzsche,1:23:08,https://ca.bbcollab.com/recording/e6e7a166015f40f98c96d7fdb7dacfe2
Ética,F,2020-07-02,Sesión 3-4 Nietzsche,1:34:38,https://ca.bbcollab.com/recording/c0616ab898fb4ed5aa10cbfb8b7900f2
Ética,F,2020-07-02,Sesión 3-4 Nietzsche,1:34:38,https://ca.bbcollab.com/recording/c0616ab898fb4ed5aa10cbfb8b7900f2
Ética,F,2020-07-09,Cierre de curso,0:24:32,https://ca.bbcollab.com/recording/846d514374c648cea4b7aa616ad2185b
