Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Ética,G,2020-03-31,Sesión 1-1 Aristóteles,1:27:40,https://ca.bbcollab.com/recording/511f2828193245668ceeac09119bc1aa
Ética,G,2020-04-02,Sesión 1-2 Etica de la virtud,1:24:29,https://ca.bbcollab.com/recording/abf7ddfc93814d70a10f3566636f4e61
Ética,G,2020-04-07,1.3 Etica de la virtud,1:37:47,https://ca.bbcollab.com/recording/af32d8c4789440cebd5ce42fc7571715
Ética,G,2020-04-14,Sesión 1-4 Etica de la virtud,1:26:58,https://ca.bbcollab.com/recording/9dd5f8b620dd4185a245f0891202b2c0
Ética,G,2020-04-16,Sesión 1.5 Etica de la virtud,1:22:47,https://ca.bbcollab.com/recording/b9f1257a3a9f43388cf283e8b6a31c49
Ética,G,2020-04-23,Unidad 2-1 Aquino,1:11:17,https://ca.bbcollab.com/recording/3b2a12c6d5e441c58e0affbe2914130b
Ética,G,2020-04-28,Sesión 2-2 Aquino,1:21:34,https://ca.bbcollab.com/recording/98a4b1c00d3e4d30b60f70b56a9f0164
Ética,G,2020-04-30,Unidad 2-3 Aquino,1:19:26,https://ca.bbcollab.com/recording/22b202b38e604114bdc36a0819185457
Ética,G,2020-05-05,Sesión 2.4 Aquino,1:22:48,https://ca.bbcollab.com/recording/301d4a9fc7084275a8e3258c4b21c0de
Ética,G,2020-05-12,Sesión 3-1 Kant,4:37:57,https://ca.bbcollab.com/recording/967257cdcfac4bd490832581f87eeafd
Ética,G,2020-05-14,Sesión 3.2 Kant,1:08:42,https://ca.bbcollab.com/recording/23d0513050e34b01b59ed2017be87d6d
Ética,G,2020-05-26,Sesión 3-3 Kant,1:16:08,https://ca.bbcollab.com/recording/7385e3dee8004905ad6ce3535eb74a52
Ética,G,2020-05-28,Sesión 3-4 Kant,1:19:48,https://ca.bbcollab.com/recording/320ed2d9718648afb43b44ded3a6abd4
Ética,G,2020-06-04,Sesión 4-1 Mill,1:32:14,https://ca.bbcollab.com/recording/b60b587a71ec4db79db97008277c9ef6
Ética,G,2020-06-09,Sesión 4-2 Mill,1:17:35,https://ca.bbcollab.com/recording/8f9c5c3e06374f029f81bb2108008a04
Ética,G,2020-06-11,Sesión 4.3 Mill,1:27:13,https://ca.bbcollab.com/recording/58f3e78afc68472bbf501fae57151c85
Ética,G,2020-06-16,Sesión 4-4 Mill,1:19:52,https://ca.bbcollab.com/recording/c0ac583757df4f1b87db3c393926dfef
Ética,G,2020-06-23,Sesión 5-1 Nietzsche,1:18:26,https://ca.bbcollab.com/recording/d5cef16266c641159e17540162a7e519
Ética,G,2020-06-25,Sesión 5-2 Nietzsche,1:16:21,https://ca.bbcollab.com/recording/0e15b23b055d4bceb71f8d39dec6687b
Ética,G,2020-06-30,Sesión 5-3 Nietzsche,1:30:46,https://ca.bbcollab.com/recording/839c444cf1d148b9a4b842fd6ae26cf8
Ética,G,2020-07-02,Sesión 3-4 Nietzsche,1:38:38,https://ca.bbcollab.com/recording/ee5347958859439cb7651d6218b6ceb8
Ética,G,2020-07-09,Cierre de curso,0:35:22,https://ca.bbcollab.com/recording/4c1698372cc7415a8376be94b44db4a3
Ética,G,2020-07-09,Cierre de curso,0:35:22,https://ca.bbcollab.com/recording/4c1698372cc7415a8376be94b44db4a3
