Curso,Sección,Fecha,Nombre de la sesión,Duración,Link
Ética,I,2020-03-31,Clase 31 de marzo,1:57:47,https://ca.bbcollab.com/recording/186b7c84d9e447f2ae36125a74834576
Ética,I,2020-04-02,Clase 2 de abril,1:53:02,https://ca.bbcollab.com/recording/b838fa22e60e49e9a96fde8d75929b9a
Ética,I,2020-04-07,Clase 7 abril 2020,0:53:59,https://ca.bbcollab.com/recording/bf39015ee6b746b69521352838e96e41
Ética,I,2020-04-14,Clase 14 abril 2020,1:48:30,https://ca.bbcollab.com/recording/077a924dbbd0462aa2d3c8c169fe9b9e
Ética,I,2020-04-16,Clase 16 abril 2020,2:02:15,https://ca.bbcollab.com/recording/c99b907e0c984f9daab269fa73629d4a
Ética,I,2020-04-21,Clase 21 abril,2:08:17,https://ca.bbcollab.com/recording/eabfb8f4830a4608a7bb3295ac5316d6
Ética,I,2020-04-23,Clase 23 abril,1:55:32,https://ca.bbcollab.com/recording/4fc68719019d454fa05dfd5427876bb8
Ética,I,2020-04-28,Clase 28 abril,2:17:59,https://ca.bbcollab.com/recording/452d4028cd4a4992aae8f4ce43eb9524
Ética,I,2020-04-30,Clase 30 Abril,1:57:28,https://ca.bbcollab.com/recording/e3874bd2a6894c8dadc5957d0e2627a7
Ética,I,2020-05-05,Clase 5 mayo,2:56:14,https://ca.bbcollab.com/recording/07696613d6e64d84a539317040c4423d
Ética,I,2020-05-07,Clase 7 mayo 2020,1:50:27,https://ca.bbcollab.com/recording/ecf2474435f44eefb14c5694e02fce86
Ética,I,2020-05-12,Clase 12 de Mayo 2020,1:30:12,https://ca.bbcollab.com/recording/996882ef2bd547cb940ffcb42748be09
Ética,I,2020-05-14,Clase 14 de mayo,0:55:25,https://ca.bbcollab.com/recording/8997f0108252497aaa40a6b7b93e8539
Ética,I,2020-05-26,Clase 26 de mayo,1:53:08,https://ca.bbcollab.com/recording/904d173f4da541418c1cb7848b6e21ad
Ética,I,2020-06-02,Clase 2 de junio,1:58:46,https://ca.bbcollab.com/recording/863b1b8aa0ff419db7de65818e432ff5
Ética,I,2020-06-04,Clase 4 de junio,1:40:40,https://ca.bbcollab.com/recording/1c132d52cd0049b6a81a7368bdb52e16
Ética,I,2020-06-09,Clase 9 de junio,1:21:14,https://ca.bbcollab.com/recording/7d42d23278454091907f5aad1a11824f
Ética,I,2020-06-11,Clase 11 de junio,1:51:38,https://ca.bbcollab.com/recording/e2fdb6373bd546c4b3023a863526a2c6
Ética,I,2020-06-16,Clase 16 de junio,0:43:01,https://ca.bbcollab.com/recording/c1ca2e0599954f4790d5381d1122b799
Ética,I,2020-06-18,Clase 18 junio,1:53:49,https://ca.bbcollab.com/recording/7d218acd1052419baacfceced41c88eb
Ética,I,2020-06-23,Clase 23 junio,1:31:50,https://ca.bbcollab.com/recording/ec668d8189c44e2e854a3252b6803744
Ética,I,2020-06-25,Clase 25 junio,1:57:58,https://ca.bbcollab.com/recording/7192840129d74652b7d88acee9cd0ebe
Ética,I,2020-06-30,clase 30 junio,2:10:12,https://ca.bbcollab.com/recording/e4ff340a70a64e90a9d5a06f49575ca9
Ética,I,2020-07-07,Clase 7 de julio,1:40:20,https://ca.bbcollab.com/recording/362371f2532d40478f614da07609967f
Ética,I,2020-07-09,Clase 9 de julio,1:41:54,https://ca.bbcollab.com/recording/1c21c64d7d1f47ec895488df208cd55b
Ética,I,2020-07-09,Clase 9 de julio,1:41:54,https://ca.bbcollab.com/recording/1c21c64d7d1f47ec895488df208cd55b
