Curso,Sección,Fecha,Nombre de la sesión,Duración,Link,Link2
Arte del Perú Contemporáneo,A,2020-04-01,Clase 1,2:37:13,https://ca.bbcollab.com/recording/cf84a7c26136498198962936ae0ebe44,https://dfz4hf1hz1uri.cloudfront.net/content/54c3b384-be43-457e-8c70-7ae8ab2f54bf/20/04/21/21/54c3b384-be43-457e-8c70-7ae8ab2f54bf_1_200421T213813566Z.mp4?Expires=1595635763&Signature=MtEbOVpMPPeiG-JJjJyzhfklkMStUAuZpMFLz178E-R45I7RJqKi3wQ08e3G9X89n4WLkEQhi1RKGrKliDG8vz-5Q~BL~gCBS8bdXrU4rn0GrrflUCZ0~3qit0CAOk1kDhZH11D3QXNY9Bd9bV-4ZnWoJw-WwwfVrpG791dOQ-60eK0UxtZXVve-U5gmxUFUxIOVnLVnNjPZlDfmUEHfJtz3d0J2Rf5FaKzVLGnoCpSuFEjjTpM32vw96hfSOJVuaFkAyt95PGxkoHh0bAIOGwNCNggtJXn7dOlq6tpgr4QglH9qMg99kYYqyekPnLUvgaoEL5mabkVqngSkAfvSZA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Arte del Perú Contemporáneo,A,2020-04-08,Clase 2,2:46:41,https://ca.bbcollab.com/recording/4c62d1e1d4c248ebb41f2c12399705d0,https://dfz4hf1hz1uri.cloudfront.net/content/0b0122ef-1cd0-49c7-9df5-e2c03995fcea/20/04/09/02/0b0122ef-1cd0-49c7-9df5-e2c03995fcea_1_200409T024134231Z.mp4?Expires=1595635778&Signature=KZ07j5-dK1U-b8~sZlAk72ISoNduP4qtN98Z9hNLkjtEYb7b9eD1Vm1LdjhlIg4F8Cyfasgq-HQ~ifpskluU~AQE-P75jXVD1-pvY8lZVQBmEQR7e-6aIAUYUJ0YRpIx-JV199BG0wRKjebfsqdIybl30mDF9ZfA1lFVQesi4Lu3ch7RX9yUMz1b7rjnqQuaAbLuVFifU1~oQSQepefhoPTpYb-aDOEsgikt0VhC8tpKmGhE21uq3FY3tDyH-dzFlxZvJJHcK1aiw-heYH6ceszzQwuaOwDwE~16UZNBZefJSiCWuwZx4Oj~8mLfPoP3JbY13E1cILtvCkmHy6sPFQ__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Arte del Perú Contemporáneo,A,2020-04-15,Clase 3,2:38:59,https://ca.bbcollab.com/recording/47ab6333af434749a348743dec7a7b73,https://dfz4hf1hz1uri.cloudfront.net/content/2e3ac8f2-dec6-49fe-a7a5-ba0df663e1e1/20/04/22/23/2e3ac8f2-dec6-49fe-a7a5-ba0df663e1e1_1_200422T233233131Z.mp4?Expires=1595635791&Signature=Cys6zkazcic-HhtcdaZs2uZrBPG5Dh8nFnv4NQShYi5uYOD9woCj2S~P3uiX7A6mwJFCo10O3HWBVEmAWMUiVzCjkcdoRQRFeYrgMY-6YfXBF~fOEgI4dQkcK~mhUs8UyptMerZC7Gpgh-kKJf-WvooLg855lkGcaYpnD87ueA1TCwTsR7ce-hl1bUdkfFc-IMvYt6jwkuclAl2kBVn4aqnz6CdRNtZtepXXpMZUiG3Ed0yQ9HuUyt9N2vCT7Vfk8ssGI6uI79d77j31r7tUfLRWBmsZzf5SYREiN1TD0~3sXZxvfXOqfHv5~kVkosZ0MawzYW0w7wsgjQBzdk9qjg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Arte del Perú Contemporáneo,A,2020-04-22,Clase 4,2:44:13,https://ca.bbcollab.com/recording/39e6f930f9b146d580b075fbc7349f63,https://dfz4hf1hz1uri.cloudfront.net/content/ebe12e31-a966-4a1f-aac4-ea9c3bf02431/20/04/23/16/ebe12e31-a966-4a1f-aac4-ea9c3bf02431_1_200423T164328832Z.mp4?Expires=1595635807&Signature=JbDnukd0hekECvqIeCsiRgWjwP2NVBvaTyVo3rWtQktiP7yWiX5BxR8elSO-3mDJ9hVx1Z-LDvE9~6bHIUuG6BkUndcc9VE0V-n8AGDCjPwXOhS0iKrVyJEiqhEcTBFwblhd~MFcwlt45jC7pmGDWYEhcke5ENld9QPLyMqAazX4CQXX3HaKmKAGsgOaKpCRoSd-B~m9Poi6wq7wnQwxJwQWfaMTIgUk0fS7uUuIJ~9P2iNHToiM2o5iwbBgG9ZK7Y9bNibXILDP46K3CLZCW1tgPxScGts-E-Dyr7DS3JyYpJ~v~B78cmWoKVpdHGD2iPHv0JcOz5JsktWGmUtUYw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Arte del Perú Contemporáneo,A,2020-04-29,Clase 5,2:35:35,https://ca.bbcollab.com/recording/e1a032abb7044171919a14af4fab249b,https://dfz4hf1hz1uri.cloudfront.net/content/c8b095eb-d240-438b-9210-6d792b2f58cf/20/05/03/18/c8b095eb-d240-438b-9210-6d792b2f58cf_1_200503T184819732Z.mp4?Expires=1595635818&Signature=bzv41cqz6kby3hcYwA0CpC-me-Mc-YzPJoU~sWFKuiNzN5~8aOdkdxZucHGLcjSeDVEZzh9yS7BO9b7dlSY8IzVfij0g6zvJHFAyYisM9tjUgEfQjQRxFBOXYQXvYEbejDmdkB4ZwSE1mi0gWHbEgNhiY0x0wXyTive-49ZK9gpQxuOCD28u31d4WGk4YWb39gJoAGVCK4~mNOR2oRx4q~5ABhhxMx4FMsZZgpw3jQQHchtchhGN-o5HtX2OYJ20vr2z9-5n~7l6AE7~gQm1WZFbICk3YcFoGQBp0rWTc1kmn3cZblA6tS5N64LQ9J2t5lVB-GGKyFagioZdDSSPyw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Arte del Perú Contemporáneo,A,2020-05-06,Clase 6: Tilsa Tsuchiya: surrealismo onírico,2:40:55,https://ca.bbcollab.com/recording/3552675f0db148d0acfc2a077979af2e,https://dfz4hf1hz1uri.cloudfront.net/content/e9880db9-bb15-4fca-a199-5ff5c7fbd033/20/05/28/22/e9880db9-bb15-4fca-a199-5ff5c7fbd033_1_200528T225200470Z.mp4?Expires=1595635831&Signature=CArzMDYygsx7n9aVrLLNaVEdhKnCCB-BpuCgSFSvgrxVv~fV4RuVyNhqj8Qs5bp4d6ZKppK~~sSKABu74EzgPFzMWGO9QMNkYjrII8wLlpjZPoS~3UXsol8pCbZWhCSFolFGje-LsHdhNZ~pPBccKAEqAY4cmz3blM6~Fw0dEwck5OdsDv2GtZ2CpT3~Sw9waH0fiQyOi-pK5M3p88~68U--qoM14dvNLIpQtKJRgiXLj1Hc4coeuBTMn4Om-D8k0Jac1L45KzL035z~PEYl-lf1MjoOepiCGPClsz4~9Lh8o2lxQB8wFnSFTGkkusCasWAYl5Z-mAo-cc1rD2TqKw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Arte del Perú Contemporáneo,A,2020-05-13,Clase 7: Dos vertientes del surrealismo: Gerardo Chávez y Carlos Revilla,2:41:31,https://ca.bbcollab.com/recording/0002525a8c474e0b940a54d0182bbe27,https://dfz4hf1hz1uri.cloudfront.net/content/dcea4eab-5f55-49ba-9c30-7b1d2070539e/20/05/18/19/dcea4eab-5f55-49ba-9c30-7b1d2070539e_1_200518T195218434Z.mp4?Expires=1595635846&Signature=bZ-1y1hZsFLe-HvW7WjAEol-vC8mUkbmTzeAUEP71u3V1qrCWHu7AUbLrCUjLlsTaAZtBIDDwWYN0rTIDilukQiwwNq9XJRn-7t~RFauUmxA9wFAG8kAYJOo5L04OACmJALgUqmuEZ8JdOBoUYuckwxB61MHpKrm4QrVkZZC~9mA7xYfrbB~5QYkbdXV39sN48Mxpdc22ofyQC~JMJyCSgZVByFPwMGHE21etRqF58UWot~IHZAJCgNtyoSouOkC-bfvNTqGpk1RRg2QTGFGHllrfX5UbwitUIjI1JwL67hcQcHnJoNzc~~rYudTrrM1AoLbO4h7AUkYQ~5dIaievA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Arte del Perú Contemporáneo,A,2020-05-27,Clase 8,2:05:43,https://ca.bbcollab.com/recording/9054ab7d485c49cca03c5f35b670e981,https://dfz4hf1hz1uri.cloudfront.net/content/8aed8c8b-df58-4c0c-ba0a-8f9037f42d83/20/06/13/03/8aed8c8b-df58-4c0c-ba0a-8f9037f42d83_1_200613T030532677Z.mp4?Expires=1595635858&Signature=fpZUS~qhcB7yKU6W462~65S2jARp-ihrs22ompkquXasD2QVwf9-qOf63wDFfmNdQsNKWhUO2KiY3ujoVIb52NXLkEXWljMMe1gGKAVCBP7dNXHR9UOx-zkXSwkdFwiAK7Z3Wt030efnU-PSnmAQBmPdNB~nMB2IkufQigi9q87HruieF7cmljYPH-n7ln4BKZj4F5ahhRmLcTrf1AmsGW-0ORMkmKGyht8jdyR2H5ICBW4wQGAx3gGbcMWUTyHhdgVzMl9~RSqsXXecbr4Q7XAaHK2h6O7bfrLOK6uYx-Mw7vDCi7x9VPpphu9vwlh3ony~fiABLKlqAD71YvX0Jw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Arte del Perú Contemporáneo,A,2020-06-03,Clase 9: José Tola: tres lenguajes para la exploración de los límites de lo humano,2:33:07,https://ca.bbcollab.com/recording/280c559e35a94eeb8a54b5f720017245,https://dfz4hf1hz1uri.cloudfront.net/content/2fddfd2e-6093-4e2a-aeba-d2aab028d111/20/06/11/00/2fddfd2e-6093-4e2a-aeba-d2aab028d111_1_200611T002300428Z.mp4?Expires=1595635874&Signature=a6lMMDmRFHAuFbgd431YB~V6xf-XybK8mD3qBp-s9n9MuNgXV37swi8cMFguIqcjVSz8rZU6JUMF-ThAFLo1C-IZJs0DiptjQ~30Oxa3JxPdcg2M3t0nZBYf6e9lEbaTJXe6y5CtZZgYQbBQ~SQ1FjgNwuCIOvCOhQV5SZt5MIxvWURJEF8yReAr7lqMqsZE2~7ZQbU-aZaAsL2JDkty4ZLNb3nqDyJ16q6VSdsK5n8yInuEOkvvgUAqDQ0uTUFhw4GQydhrMYr~hKpx7XvKUEoN9qJApx~iJgnIN8UTAiiRMHAxIo4yWwiKpuMWG4j6GV3xnXnWo6eE5lrpcuRfrQ__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Arte del Perú Contemporáneo,A,2020-06-10,Clase 10: Ramiro Llona o las tensiones interpersonales en clave de expresionismo abstracto,1:13:30,https://ca.bbcollab.com/recording/77da0d8422b441f48abae74f0f546d39,https://dfz4hf1hz1uri.cloudfront.net/content/a1b6fe40-d082-490e-8627-73180d511dc2/20/06/13/01/a1b6fe40-d082-490e-8627-73180d511dc2_1_200613T014052456Z.mp4?Expires=1595635886&Signature=EgcOwKfRKu2N-muWgwgLMFfSd~Nu-ijnB9KUW1orUPF8EqUcvMGsQP-DYXxk6jffOPn0Kmdg70B0GWeWs7WLlz6T-f8SywV4SN02tNCYYG5vOShJKz3uMYA-6uhTYSbGCp3fnYXryCqfVq6PiiK4jbb55AKq-HIR3wMaLxrHJc6hxcGsqmTeh4kjmPgsRnBoy1foVrac8W44dtgbPo1YLsgmeZNr7MBLr6XM0PL8XPXzfa9ucDPxe1izBbdsWGo5ONCmvGlms0peLSZJ4BWXUlOeeg07hOl4oy232Gq7~aOFhnwf2ggBFsMD25m~m3jqeV-NT0YqQ-PYuVZD6h3paA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
