Curso,Sección,Fecha,Nombre de la sesión,Duración,Link,Link2
Econometría I,D,2020-03-30,Econometria I - Barron,1:41:28,https://ca.bbcollab.com/recording/750df11fc1f4487a961d04132e4f65a4,https://dfz4hf1hz1uri.cloudfront.net/content/8e96ae5d-d239-4e88-9cef-b6c8183abbfc/20/03/30/16/8e96ae5d-d239-4e88-9cef-b6c8183abbfc_1_200330T163942454Z.mp4?Expires=1595702393&Signature=daoZZVgYZpRu4zBOUTba~Jxqg-qZx0PTVbUaWopStJ3JuzuhKyZ-iwNjNyEj6sdaUIlJA9YClg4iZ7-EnzdZ0oKTAH~v30h3DC0yEfIMMl2~8upN8R7KUw~chrzK0JO97jGCUzIAk4mTxkyAUqCARGo4tx42bQXKy-xZbYUzeXKU5FlXUAqse6esQc-v0~TJA5AR4DxmvI5lq05WA7mpRDjso-x~99s9W8QLwIgtOMtiI1E-ZNMtQhebzYxVuAPTV-XykQB8-vdOqVBBHLuCy2uO1x5cLPuS0TZT~wGPWs0zbZ-5yhTsOKS-zXJvSW0Kmyr79FGLIWKLPXXFstn7JA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Econometría I,D,2020-04-01,Econometria I - Barron,1:51:13,https://ca.bbcollab.com/recording/e98724e486e34899a4e494f2a102e0cb,https://dfz4hf1hz1uri.cloudfront.net/content/096754cd-0daa-44bd-8d68-a466987d42b0/20/04/01/22/096754cd-0daa-44bd-8d68-a466987d42b0_1_200401T221152383Z.mp4?Expires=1595702413&Signature=YCDWTyKIQ1n0qXwG~XnBy7GE6LpaNjBgDJyEJ4Ct-F5jpPCuDNz0ypjme5YUz~zdcwqY9mshmTMlduQ2RBwBZ68JGF3LJL8QWYTT9gWX57VGo8IiDx~BAqDKKiiUzcqXHZ9YFi0YQd1tdUldR76-vTpdcGnPF-CKDSguYEIztvnF2-HQiqAkeN1tArc9bTzsF4Yq7Dwdeih2zY9KOPDYGXHaFZzUgks4Rvonz36bBBCw7gLQlwrXymGRfEISB16jttc9h60emiDRN7s1~5DYd69u32z~c-jj4mObYGOL-jCCs-m9yE-Lxp9o4lx9VftB9Y4NQbNzfLRaWtBhMeDGZw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Econometría I,D,2020-04-04,Econometría I - PD 1 (Sección D),1:41:24,https://ca.bbcollab.com/recording/947f2745359b414e8138020e1e84820d,https://dfz4hf1hz1uri.cloudfront.net/content/61171304-69bd-4910-a2f5-c38db0c404e5/20/04/04/20/61171304-69bd-4910-a2f5-c38db0c404e5_1_200404T203255135Z.mp4?Expires=1595702425&Signature=JsO3lpcQqy7NP3mLtjcRZ66-d16KhWUuKOLX5XEl9vld8CEC15diBW41nnEp268DEk1bUxheFIMjyjdrrIabG3bCbpDEkzuRcLyk5K5TqeUhZRhAOsG7IN34GspufLJyJ0yWUoNYddelojf1l~PxSt~0FVEaNggG5k4RLL54zYoOuN~ye9snw4RJxQn2I67QSbxSnTHFhJs3I21tOk5p4uJ9LdYA8kxyXEznfirN7ximvS9uAGn9M1ej01LLoL1XkC~kCiznZ2gbLwQn8v-GB5Si2nvxqXq8Hty9bvnZS69ClBo6Qn1gTN6ourmZxoy2a0mGPRdyhEKzNrAE9~6dJg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Econometría I,D,2020-04-06,Econometria I - Barron,1:33:55,https://ca.bbcollab.com/recording/ef067d7483894ed882d79d870da54ad3,https://dfz4hf1hz1uri.cloudfront.net/content/b0378eb3-1ce1-4ba2-9efe-a0e11de82ea2/20/04/06/17/b0378eb3-1ce1-4ba2-9efe-a0e11de82ea2_1_200406T172937225Z.mp4?Expires=1595702438&Signature=Kg115qlMVI0NQ~WjPe7COA9T-HczaefdG9~j-dMI4HKi9imCeNHiQKchbUiG2bz7Ug6JO273nLLkVzM~GaMLn0xor3V3d-M4GGNon7-kuT6bqXRJ4xyK2RZYRT0wh1x-BZfTXzBzPzw2WLuoCfyGu5G7n3Cosyjx8Qylm1HK8e6ciMBZbP2-0Lr0hULFtLKVHuxU1l192jnxGZn4yuyK5RRRclK8o8X143sL-IzufEBDo44~w2RycUJVDoZ4Owll6spQOhOa-uG4uLvIEDE0tt2k7X0qtvO8vOSNawe~vr4U3IcD5pvU4H08TUvdAIXsp6GlpKGVv0Lr4TpQ-RUHmw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Econometría I,D,2020-04-08,Econometria I - Barron,1:31:40,https://ca.bbcollab.com/recording/96bd0310dbdd4888a0a148a53e1f76e2,https://dfz4hf1hz1uri.cloudfront.net/content/56a8f43d-5ec5-4fd6-974b-d2900312e546/20/04/08/16/56a8f43d-5ec5-4fd6-974b-d2900312e546_1_200408T162448803Z.mp4?Expires=1595702450&Signature=SYfwcsIw7uZTtHYElOPyVElgjoJp7BAslY27iSeKQsdwbM2ij4IeXSPf7ijJFh~uP3ofX~mk~-jnmA7T8lFjdGW7bWMnvW~qJGeRI5qxkegB~gEvf0lebVh9cu7BP76NzxClj~aDcEyRt~xlpIfQ4~nMMOq5f~hmctonpFC~MpGAG2brT~xsfCOb-GQbwUoTuoGY9oAttLjLzP08qWyiTPtWLPG9UqEL93q4-xhYcnZN-gYWN8IRWfQH~xUGYUpqK4mf5UJQ~M03VRXeCNB63V394nLKmBP8slCqhuA4GzJODwdu5DwJxMpsrTi7HjMbKFCextb51D~xEq4l5rgh5Q__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Econometría I,D,2020-04-13,Econometria I - Barron,1:49:40,https://ca.bbcollab.com/recording/69ce7af1b8424b719ec001154b65e7be,https://dfz4hf1hz1uri.cloudfront.net/content/807c482f-891a-4fb2-9151-fa327d9c688e/20/04/13/17/807c482f-891a-4fb2-9151-fa327d9c688e_1_200413T174938308Z.mp4?Expires=1595702466&Signature=KacD-yqqdIHYluQQrxjSnEVx6FcDVN4CPlLndTOoBUa9zrO643kNnpBfpg9sLIgNJeruYU2PRo2mUDpPGN5e-Ja478Kj3ArE5DgvvmWycGK7caEe-63TMS0Z~or7rqdLFLRiWF95h2GehYDXKiji0fI0AC4zmpIzgtBaXUYtp1Qt746dXQPKuTyA0C~lnNblbObPPv3PXHYrB4ypbAODNonIN-IuL~TKDLnj0g62ST7LeJAofb9ErSWFZYDTcsNkZXleRwVB4TgPORie4Vt3QUc~3Xw7wTK44WNovrcQsHaIEPoC8qPwIckaa~gOoXqArcfJn3lCs~hJFIBuM927HA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Econometría I,D,2020-04-15,Econometria I - Barron,1:52:28,https://ca.bbcollab.com/recording/b82fc6f81ede4fec9752e9a61cc4bbeb,https://dfz4hf1hz1uri.cloudfront.net/content/43975fdf-c822-4768-822e-1586b73a346f/20/04/15/16/43975fdf-c822-4768-822e-1586b73a346f_1_200415T164815587Z.mp4?Expires=1595702478&Signature=cISpCuMyEFDdNWQYHxIoXAc2reQd-B~G42GIFI0LLxCUYT8nMmVd4sqi4Pm9sGd2wDlQqFYKDkYyO4NfoatSJHhplRmtho4Ie1wRs8~NMp60Q~3PvvCbn1XRTj2swLy-yRdz3GcIke0MxST-kdcgXAJnS~hoU9CdRf0hVXbz8vAP04K2-edNlXyLkSs~ZP9E7bnC4yAF-5pgD0D2Toc6a~FiB49UxUneA3JPWfUIR9faRn9Ii9EaxRg-2jdOl-ENlHYR3E-lx8IPVRJ2PlqwpDTtnUBje98aa5PdxFnI5PCI4PM-1CngevDygWQnHcTwFuBpB4ufvSVTT~yuAu3W~g__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Econometría I,D,2020-04-18,PD 3,1:52:12,https://ca.bbcollab.com/recording/b321f663083642e7b7e57626fce465b6,https://dfz4hf1hz1uri.cloudfront.net/content/d079d210-8a76-4631-b09c-219cc74c3a82/20/04/18/22/d079d210-8a76-4631-b09c-219cc74c3a82_1_200418T222025820Z.mp4?Expires=1595702495&Signature=Ka2oqi8nkGBeQq94SuDtzLvTy06Bqk0kEcV~hP6iek77sgOkMqXe1144QXQa6e9ZlBxQk7AFllJr344CN8ccfIgLB0~sLOdXn3PJacVI9nY3VPfcNiYtHo2oak4raWtdVh~uPsFtYwxeuQ155Wm~aSFhgnO8ZHE2iaC-MU9OSFs3~VnsYEpJqMWi2Jw6eAhtuIfDVMglzLjgHQ3zA5woDeIn1u4cjAcwgxCPxM~3YCb4lAEanTFtYYaHHHjnUA7Hdy9N4xZ0iNNlkRT-FSq9Yfu7d6wMXsA5m5Pn8BflbD4ywU3kpbtkNWu7LtG6T0KEG2RcMUtD9bYxUCYptY1DvA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Econometría I,D,2020-04-20,Econometria I - Barron,1:35:44,https://ca.bbcollab.com/recording/ed0f0b9442554f97b409571e783e1a9c,https://dfz4hf1hz1uri.cloudfront.net/content/3a8891cc-96a5-4bd9-b91a-a9e7de6ee960/20/04/20/17/3a8891cc-96a5-4bd9-b91a-a9e7de6ee960_1_200420T171051318Z.mp4?Expires=1595702511&Signature=dd3AUVcCDcm-0eYOgjFCgUXPRVcpB2oRe1GVFhGe~vDPXuJuQl9dv0fTtSBpJaSreniuaQ6qiQixElO4Hnoitil2EnbttcmrveUTarRffwnvlZd9uoqdSjE~~9zrZqnnk9LsSUvm8mhxpuY-j4g4xb0v3EcnOdOR9qB08jVsar5HDqRqvPNkY1SgK~XDsqcp6RYCK86WxRUGyzsNEphoIAwkBGmesQvYAhvn0SO~MjU9JGj04RhoFfPqJwU0-kQTPNlO9QVdGOjZrmPV3jpC4VvDRMeTzAb5MEuWyQTvkf8SFYblsht~-qqQsFG4iPX6LcW7oTh7ZwcwwnyUTSQsEQ__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Econometría I,D,2020-04-22,Econometria I - Barron,1:30:18,https://ca.bbcollab.com/recording/c008e81208454a0faf2c0a44b5b38905,https://dfz4hf1hz1uri.cloudfront.net/content/0664957a-fc1f-4ade-bbfa-c14ac5676ed3/20/04/22/20/0664957a-fc1f-4ade-bbfa-c14ac5676ed3_1_200422T205259286Z.mp4?Expires=1595702523&Signature=O3r1gplumlOmtFu0KiXqGzTSAF-klD7OVWB7QNteJRzcKsOXnqAhWNUO4Q-rFLF3ct~Bv8Kl0EI0HIzxMcyEF2ECjLHDN7NqmF-SeDdoWJ-wek-D-UT6Qixj6yc31ttB2lZHvZWPqt1yyGnYk-Ulm5aF-CoXCsKSfiDORJm08yihUlchP7htEZNyr7W7kVQ0KuR-jcgKlPr6slZYmWTWlGvavGBVASNeVMDq3VHEDi0LdvHU~pPp2Q0swflDnDXCQ5GaBK~0VbJ34iNPYkgM6-WJ~pga4HjnO1scUmpzsKkJT-n8GoHz27lSxV8lkRjkSOP03uBkN0kY9CzU3C4ozw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
