Curso,Sección,Fecha,Nombre de la sesión,Duración,Link,Link2
Literatura Peruana Contemporánea,A,2020-03-31,LIT SEM 1 MARTES 31 MARZO,1:30:17,https://ca.bbcollab.com/recording/8c83867b100e4cd4a3148a87bf28c3b1,https://dfz4hf1hz1uri.cloudfront.net/content/94a740bc-3b5b-42af-ab89-48de65faf846/20/04/03/04/94a740bc-3b5b-42af-ab89-48de65faf846_1_200403T040629307Z.mp4?Expires=1595636144&Signature=X2i4cdB~EeMWM5yPvmKa203rShdCVzbGvov5MOO6LhxUv023hrf93ox3YyqoASEOvhBOmlWupOgVtqCg687safaLr0TPhB5FGV7riDSe5SAWNQKShXCZVvKx1~nZCo7KTOLUIL3wKq27HTEsjXMjDAhJymvk8Ki0xyA0o8B0z4JOCckX~1PlvqCFaoknsB63Y7vyNc2KzipXzjISV~SCP75v7LNE0o3GFJx~-TjePjkZ4rF40-G-HLyHXt~OTsY8njmBDFQbr~jq0Ce6Co9AA5ejIY3YI-tTxgYXXQBaCeYnE2TEe0drFKiRj3wfLr2PCau37jsLHr-R~J4j5nYZDA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Literatura Peruana Contemporánea,A,2020-04-02,SEM 1 JUEVES 2 ABRIL,1:26:29,https://ca.bbcollab.com/recording/3a3efd8e9f624121976b3328176336a8,https://dfz4hf1hz1uri.cloudfront.net/content/077079a2-bc34-435b-8ac8-7e46742568e7/20/04/03/04/077079a2-bc34-435b-8ac8-7e46742568e7_1_200403T045936988Z.mp4?Expires=1595636159&Signature=OyytvRdCILC0PL5YnweHY495gCqX36OOSwktRgHSYmCcJqEUdeFMwZWJieduD0s9qkpBIDDJV56CfQHZG7HrwEVB8Zxvbo0skNEVRg8Ij5KH9m5BKFxZdY87T-zoPJDBDCDJpKFKHnqVe5SF9WcnKtFLBHsZHMgVjcN4dHKEJMm2D4UAWIZK22C61fSIz58me-JqBIpBO1sKWxNUgoy3xWv7GwZKR2Emm2MOVPs7LP-~kJzAqIg1LPnGjy6q5VSvFl7Cv0rzmjWs4Gx44CI4HwguDBSSEY2zmELgBev0hoGF8BlRpGXT6RkRCezyfwVo6x-2KUWJ82EOzXcboYBfCg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Literatura Peruana Contemporánea,A,2020-04-07,SEM 2 MARTES 7 ABRIL,1:17:56,https://ca.bbcollab.com/recording/6277da527b1c459e94e0c1b905acab51,https://dfz4hf1hz1uri.cloudfront.net/content/91da6c44-8494-4591-ba77-d627cc9df356/20/04/10/17/91da6c44-8494-4591-ba77-d627cc9df356_1_200410T174334431Z.mp4?Expires=1595636176&Signature=aQUNAWdbb6Cx5psNHcOH3OH~D55YDIt04Gx~lIH8C3uQfChY6QJylVvVSXk~n6c8GkB2QgCCB1jJe8uEZoRkOIUDR3C2NQ2C-f~KLx-XNV9yqGoYZ7NxXNqYDpQBIXHW1yhkiOKamjGhkMt7URx4YAXjwuSRHMuT2uErRvqoCXZZlOzl3PKanxDjBZPMOH7L0VspFZCA51uHGQlqLXne4rB91VMsz1hdX8xqJY2gBvECI4ZvpKECuBrnVo4RtTT1aGDeXEi4AsMRQCkcolPNcWILQPTZPp1qJ6HHdbT3cRt3eJ1lXV-uBIJFrag7yCQIUen7f0OO527yfbQ6xdZ5Zw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Literatura Peruana Contemporánea,A,2020-04-14,sem 3 mar 14 abril,0:11:56,https://ca.bbcollab.com/recording/c87de928122343e29243d8fd20f752f2,https://dfz4hf1hz1uri.cloudfront.net/content/fef16444-7ed6-4de3-b7f8-011d3c1522a2/20/04/15/00/fef16444-7ed6-4de3-b7f8-011d3c1522a2_1_200415T003335639Z.mp4?Expires=1595636190&Signature=ZS~QZm-69D2Kll57mzJfhNj6C5irfn~kxpmZAsloiBfbGy9xS57av9UC~Qa2n2Q1A6EhHeCfwc3UG9Cxn0Jsigve9TuuyvFW6Hc4F4YoozzHpxyJgrB6aapKSk3mciy8sG7uQLJjLbv~~AjSD4ib7-sO9TIH5UKzIEX~R35DbMumCLu86lkaY4VCJDbGuKwH56QkkhR35FMAx4xJlYE6EONIq1e-sCtF9ExqUn7t4wsUxp-JyeKfjDgkpVCWmRim0VqbaYOSsHcA8pc9-DQQSkSVexkQS~XALMyDeCSJNBO~6Kr1V6PEmyeT-PN~MKgUSpMJBRwvBKfoRm-y1syeQg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Literatura Peruana Contemporánea,A,2020-04-16,SEM 4 JUEVES 16 ABRIL,1:27:59,https://ca.bbcollab.com/recording/55c93e05071544058dda269cebe9206d,https://dfz4hf1hz1uri.cloudfront.net/content/c9fcca4f-05ea-435b-8615-b7394fb4e339/20/04/19/06/c9fcca4f-05ea-435b-8615-b7394fb4e339_1_200419T065105912Z.mp4?Expires=1595636205&Signature=N9n34fuvwF3t2B-4BNFmsINfIATWDsMxse5ZP8ix9ihjIobDtgalQumej5yV4XvjqhvmHwmDFNYhXY82icPTcdt8sfINk9HJaCvkMkdBlbzmKKPUveCDV6irer23d25yV-E8BuJRfkIRgrqz4Skl8kBPClO4dkVzeRpuqTnaiFTX2ahwEoUqASHMwmNU9KbD3mXYs-tcKqliCuLIeg3QxLl6mehLbFJO5~v1jkqwk8ewwyBSHeZL3QprB0qFIJO8EcoxHl2Isvn0~BZ3Y3TM-7RY9k65WxCZiXLHDI1cZrHdDCMyI3NkYXsOe0TKlhisi7F1RBoErFrj0gqk9yg6ow__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Literatura Peruana Contemporánea,A,2020-04-21,mar 21 abril,1:31:26,https://ca.bbcollab.com/recording/2f869b77afd7495883d925e507912bf2,https://dfz4hf1hz1uri.cloudfront.net/content/7498f4c7-7589-4587-b2c4-589ab441f06a/20/04/24/22/7498f4c7-7589-4587-b2c4-589ab441f06a_1_200424T225205896Z.mp4?Expires=1595636217&Signature=BQFvR3WfmSJZPhr1ihltC4vxPPFGPEO4rLmDLbJ26lolRU4VssI8LO3v4NVcRebGN2I1A6jFy1BYJ9q1WQbicBEjlOLWfqMR0602KVcOZr0KTxurOIIg0KrGhpM2XVT~IIqHHvrdWUK2e-EGX82M9lrpF4Q4roPQ0~KuWohNoHve01jp-8CkI4~MRk6g4me4uG5~adC0D8VZ-bj6XwMxOhlu-01teeA9MyBK7hPbOvU96fVMHFjKcBWl6oLrnm3qyGoowbEeMCul54J3dJkh4~enABGfwuK0hqYzvIlSICG34e7wFQrkeeWZddo2GIpZ-Qy9FP6EClVV-Hp02s5cHg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Literatura Peruana Contemporánea,A,2020-04-23,jueves 23 abril,1:24:59,https://ca.bbcollab.com/recording/c58ed90516d34c7c93988abf4abbc1e9,https://dfz4hf1hz1uri.cloudfront.net/content/4e141fcc-0099-4edf-9348-f56a9fbbbc5d/20/04/24/22/4e141fcc-0099-4edf-9348-f56a9fbbbc5d_1_200424T220214131Z.mp4?Expires=1595636230&Signature=AOOlhmhq~EMQPYgjc-VPo7Z4nm6iL8RK-CDwRGpJcN3cOK~nDV1pN-HBglDpbJaIHzHvKsssGhYq9VuGnJ1WyQY3khb3IkcTYqKzkZQgtTKdl6lrzPBlvN8vaLrVlcHRzEiFBn9l7QnfFkx4cus7y3xQ2Bo8UwmIKq4cK~9YtGht0lvkPmCHgLCEm-KAeKlIaXQvlCqAM~~Foq3fofIgdovJnF2-H5UDW2zUiO9ar6Ntzy9hw~YwjO~hRA2Hj5ZPEqAIgvwce3LKZHFYPtdm4-sx4EQRSAqwp80XjxM1OB8f2t5Ze4ia1aWWgsY984kYgBkiGIlyV5GUNoNHBaIq1A__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Literatura Peruana Contemporánea,A,2020-04-28,MARTES 28 ABRIL,1:27:19,https://ca.bbcollab.com/recording/037829150bee4d69b6d2a39c595aaa2a,https://dfz4hf1hz1uri.cloudfront.net/content/d27624a7-9e13-4afa-b477-b06c6d4ac6a7/20/04/29/04/d27624a7-9e13-4afa-b477-b06c6d4ac6a7_1_200429T044550062Z.mp4?Expires=1595636242&Signature=XtYYqjjhIAB7hHeh3RZ6Sm8Rm~ZEbTD283xDfmDllBKrBuA1LrPEeGkBbJqC50yIP7UAN2TSjXVWBeQ4MeXd7OB2myFiQanG5BQAYQrkCqbfb4QFDQxIdxoYEeff0EoaMlPD3drB9S73eya7dDB3QQLEIqwt9qRJ65pzjn9bxtGQv0SqUoxhHJgMIiGTmi8dFSxYSBWnKu8W37SmB5ta-dSBljL8DlO6RHIm2r1j1tTZoK15k6gRDksgqnMJIcvyZ6vRTZQuDX-5OENxsO~YP85Xi0ha4ZchQrD5d47Tw2hfBHx~vVRiFAJKZSfePTmGtGkZ~P~g1wo4bXOETxkHrg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Literatura Peruana Contemporánea,A,2020-04-30,JUEVES 30 ABRIL,1:36:27,https://ca.bbcollab.com/recording/70ac9e773bf347f58c38025e95f62941,https://dfz4hf1hz1uri.cloudfront.net/content/3c18e338-b1ad-4713-bf93-ede2e6de48eb/20/05/02/02/3c18e338-b1ad-4713-bf93-ede2e6de48eb_1_200502T023116528Z.mp4?Expires=1595636255&Signature=JLJflYcyqcP-2IFaNq9hA0bwefktXJLiNpr01EUpW-gJDCjRQshTVa31OUHfsSGhLJ156Ttc2qaredpi2ulEBUAvmw2kyxSt0Cm5ft5-znGr5p6QeSzNMGbp6QDiYJoc1ZS83FWpiujOO6VA~UwbPca~~N8qjd8qJX0QmayI07WnuFK6hoS8EnvJ52OZHVyYq3-H-DOvsrR8XhqVUTt7Ywe-G1Bz1nopWCrrmIUsCm5Z07TYBKR3aa~wLIodlQ4IUn9J5oEew95tuqdSvsVWGSLv7Wg6pGaFv7n49Yg~iN-D6Ab56VaBRdlF9fI205K6nNYzdX5xdt5qRr0WljUhog__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Literatura Peruana Contemporánea,A,2020-05-05,martes 5 mayo,1:52:53,https://ca.bbcollab.com/recording/568abe319d524ec899c8cba8ba2a03c8,https://dfz4hf1hz1uri.cloudfront.net/content/c4361c41-6c12-44f1-8b8f-502487e4ee61/20/05/07/20/c4361c41-6c12-44f1-8b8f-502487e4ee61_1_200507T201640625Z.mp4?Expires=1595636268&Signature=FXEWZuKBQjYuy~TrsBaIqBQpe-TETpsB9uOpUN50IjLexFXBILHpDG5~kc1RWlZKWjIq17BiCYz7M~D5k-1MIwk6N7gFDzhfqcdvfVX-mNRT2nJ094cNtpw3Aynflo-pZ1TQLT96YCh2iCJAFBsDo3ikjSGXYEumNTdpl8GkAq-sqSfmaQNzPtzqNEVttz76pd5lwso2VCW8JhS5FUzBrSnxmTxg2TAOZ7xUWi3YPmesRHty5pi5O4D28x10Zn937ui7ksfJpCvGtAQku3Q~v1jW95fG~b6dCK978WRcDkrCpyb7fJDXXw~lJpcRjNv4h1SBKronVYzWtfyXul5Dig__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
