Curso,Sección,Fecha,Nombre de la sesión,Duración,Link,Link2
Macroeconomía I,B,2020-04-01,Abril 1ero,1:28:51,https://ca.bbcollab.com/recording/43dcbea8b5324938a520dd35dcf300cc,https://dfz4hf1hz1uri.cloudfront.net/content/44223bd8-1da9-425b-91e4-fff9a87120b9/20/04/02/00/44223bd8-1da9-425b-91e4-fff9a87120b9_1_200402T002721268Z.mp4?Expires=1595610051&Signature=QYN0KvOYI2UHlMuoQ9SrKTp-miIrJVVx49uNGnGuQzxOsSYGHbOheS~9RorKpdmoRU954~BJYIh~qV9WbEYWGL1gqeah8cOm25ZdgYz5bwZg1FYmS0EgmKN5FydP3DVDJDeXA~yDtPK370z-j-dg7kKAdhMxtvD7HjqB9G8TtDjmZ7pmm4dym64DdzkpG5eOfZY~RLY085zr4f4gKw8oRmq4hJU9qwls9hkaZpBovQ23kheGf4Btq0weCthzAFkb0Clyvv1tsYoGsm83gvZGuAe2QA8DY-qwkmPgP2NHEllB9K6C0kPl-SIbTKB2ix0QLRI6c66Nwqa~WPEOwow~1Q__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía I,B,2020-04-03,abril 3,0:12:43,https://ca.bbcollab.com/recording/a0d03ccf5e05433f9da51c1478b46278,https://dfz4hf1hz1uri.cloudfront.net/content/e968babf-ec84-4098-8145-ff271a4220a3/20/04/06/02/e968babf-ec84-4098-8145-ff271a4220a3_1_200406T023518251Z.mp4?Expires=1595610067&Signature=L81t7aiMmLt-5TtJH5dpOipzUHxXeF9CA1iTSSIlIy5-RN156GaZ~l3pB9-lcc27Oz1DmqsqQvhEh6WOFeg8ww1JUaHY5N4lqNAxWjLhs6uGO4YdppbRSyjpvWKKCYdHFi4iDlpAgcb5oBd1b2uS~QkqI~CdlkH0sxuYOlcnXXnuYRZGGm0KJAYJj6CCi0s16gU1lJ2hqvb3NVnzD28mO018n5IMVunj2LlTgnFBODCrjzGBnUYg0ul7S6fZcUWxU~TOd3diNLa7Hf4PB-baYy4xbW1iCoglfnYEe5cCOsTzeFX5S~9COxANF0koHSfSXp~OGCEp9btlTiCyLmwixA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía I,B,2020-04-03,abril 3,0:12:08,https://ca.bbcollab.com/recording/b07c25bf577e4acf81c07eec606ca000,https://dfz4hf1hz1uri.cloudfront.net/content/6e28ff17-d0b4-4154-b42d-c365a82c7817/20/04/04/01/6e28ff17-d0b4-4154-b42d-c365a82c7817_1_200404T011704545Z.mp4?Expires=1595610082&Signature=feA8lmMKnYPMyfQe8CekxaWXSJJFDpdZYuNBfvfdYVVl~8oFZJDPi91Cq0PJh9-CLY~mC4IQyY6RP7zDSWEHSvfHPNczlahczq8FEGmg4KCUxGMX5Gw0sscF6fV9nFdR840kfdr0J1w~sOUpdDU2n-ILAKdfqszDQ5cQJ9EdcpvCGIIQRLZ~gaa42t4cjHJoh4PxqxMNqLrZlfZQoGogKWGIMXTYdUjRuxGLA0wGIeLIPepaUE~alrT6fG89p0aCAIn5O8n7nG71AAVApibCk0xKpSL0Csf9TaobtVWNE0qPiDgee13Wv~D5vUgQju6ni7Pw5XrTAcml~MzpBtetUw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía I,B,2020-04-06,6 de abril,1:03:29,https://ca.bbcollab.com/recording/4edd72a8c9424bc1b01644ad7a059703,https://dfz4hf1hz1uri.cloudfront.net/content/caf119b3-8f32-4631-8635-4eb346370300/20/04/06/21/caf119b3-8f32-4631-8635-4eb346370300_1_200406T214722532Z.mp4?Expires=1595610094&Signature=VoDrpPwwwXyCryRookFKTKq3pjrmhkk~lciSJIiuXeoG1Ni9La5mQscA2ncpJ-LpNhSfngQ2VsyYW4lwSHI3ro6jS6z9oJa3Trr99xaTMivYyuJoY00mGP0xEXFy6TZTht5OjJoot~Guz745AC4k53-qfa84gxLmNgfHqI-fFtYMshO5OM0iKwFmG1yJWj5s0NdVOjIMzbqF4NXMStYjBvQynfWBDBOa5EEkA6k8KLZEOmYjBywgJgS-C5c0LIN6LA6j1iaUvQZNg6zAAcZfLk74IKPkkaEIBGu0UR~MRGLCIcv3hQMBLdIFdaebg6zvADc~KAZeLqwM3E8GgMhamA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía I,B,2020-04-13,13 de abril,1:17:27,https://ca.bbcollab.com/recording/3d701dceb7a24c96b56297b18faaacaa,https://dfz4hf1hz1uri.cloudfront.net/content/80be0bc0-2e7b-4a60-abca-4eab0d533144/20/04/14/00/80be0bc0-2e7b-4a60-abca-4eab0d533144_1_200414T001750618Z.mp4?Expires=1595610105&Signature=FWaOq3E3i62GPOxC6sknSh2xUYH9U4KSzwzmegvb9D7uIhotHY1qvErk6nbFiB~W~jNSITAnMkCrrMlY7HWo54ELZ0Q9wQPDR3V~qVp4bU48MNAWyfYaNZGHpgWJEV1r4VTQLcPl~m3JoEb5JEZQbk6S6HamfdB4TXQik6giMSXNtWdPna7PrjtLRbG-JhqpdFl7Gxa-gYFG0WzR6S2y1RqAYXLEuXZd35k3wn1JrYGj2OHwD~hl21Bcv0Ox~DeKc8UpXU~GcHwlUCXOeOkgFjYFtdfiSgkFmudxnJx4oxfYXAGmm1Giel64~tERgHih9W59SaBt4rKEa0sM-OgC5w__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía I,B,2020-04-15,Abril 15,1:26:03,https://ca.bbcollab.com/recording/22dcd328a7ba43f9a1571db7e1eb7cf5,https://dfz4hf1hz1uri.cloudfront.net/content/fbf7be04-45f6-49e2-affa-f0e3b21b1fa2/20/04/15/23/fbf7be04-45f6-49e2-affa-f0e3b21b1fa2_1_200415T234616746Z.mp4?Expires=1595610121&Signature=GQ92dcQ7hm~MOQ5x6vkybrArpOth2piRyGgVni4pknb4sM1PdsWZbPpZvtG11XGk93PtPdvOGKuv9EoGDJRDZPCC~BnejppvqShOc8MXI-SYCmkcNwM795QfiL~XMndyudICjWJYTD9rsUB7RneMNuLxhA9P-JlSt6FjShj~qdg6pylwO-4rf9GVanGQmVSjqFAIEkNkB4OXFlGDQKJWrHxyiEu3prrWZtFN5M7p9fdEa-IyUkBOHmR4xepbr41IIargEVXgHoD3kse33T0sitCV1U0piywUAeiSjmhi3m4zPRxziA2vthlWz7AWKTmHbLVmjranPUu60YXBy5cbww__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía I,B,2020-04-17,PD2,1:21:49,https://ca.bbcollab.com/recording/c563fe3d28bc40eea5232172b8f5f55e,https://dfz4hf1hz1uri.cloudfront.net/content/acea3517-2b2e-4535-a311-f85717078d74/20/04/18/06/acea3517-2b2e-4535-a311-f85717078d74_1_200418T061649480Z.mp4?Expires=1595610133&Signature=b5Bor8EPQO7Ez4CecI4Ctpix~hgz5iKYRRrFwORq4-C0FfyW4~cog65ZXThb7hJJeRJjLkEUwbqh4~R6chBv0O8TUNrsRSV4kPgboyTLszU489YznEtB85h2o0JFF7QnrEpAvv20xC-mIlapdVT7BQ-8sUcuytMaHBrq8HEMZeRRkWcXu6FulZB0Xn9ZrZliM86GIAC~8xGMVehEj9RMJ6Ybet~KGrzW3EanWFbHfolt4m3FgIGAydJXmYfbtBnmUtXN1iEC1pPq4ad421fHSRsiZuvpUxlBYhEr6c7T1fDcztoYD2yha8ZabqUBF3zmpw3zMmYosBbPRdDu0chzUA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía I,B,2020-04-20,Abril 20,1:31:14,https://ca.bbcollab.com/recording/9d2a7ced8c5544ada3d0a73705485e71,https://dfz4hf1hz1uri.cloudfront.net/content/af1f1553-536a-47a9-8085-78839f73ff0a/20/04/21/01/af1f1553-536a-47a9-8085-78839f73ff0a_1_200421T011031208Z.mp4?Expires=1595610145&Signature=HWtrpZDOATnLUzdZ4UKmTP4tfz8F3rTVrxNzB-4aVvVAvOd9VlojmbadDNQwGAzmYXBsL7MgfEi3i2YE-KuTiVStG6nkisy1oJ64FKOdHww4RryJg0R914M7cAVl9qEVbGkU1dCNVz7O8UMc8rPKut57CDWzbo4a~1NQc66Knx2lk-Bw5IhOcSkQubs1SGa2XaXwxUoB52M25MXJitGx0-ZGE0SWoOHMiIPJ9-WRV5X5pxbMRrWAo7B-0~mlfWeFdQDyRxZqyLEQACLoKbr9hvLgBX7K4M1uq9~SkGbHt2MKhHyLTOcQzo7Yi0JQi3CHktI0p2IcUANXvZdfO0Iv6A__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía I,B,2020-04-22,Abril 22,1:26:24,https://ca.bbcollab.com/recording/3985420aaba5464f970e31df26239ba2,https://dfz4hf1hz1uri.cloudfront.net/content/f24316d1-5a50-4939-99f8-a95e7d059911/20/04/23/00/f24316d1-5a50-4939-99f8-a95e7d059911_1_200423T000036157Z.mp4?Expires=1595610157&Signature=JvRcryssOHnNrJV1wgczvcX1aOQaCPHA5fELTgMcMKELkArLjsLgwfM1FolJPEJ-lib9CotUn2RgwU1bj3CqPxUfec2ZzCGMezjUAETRXLbYEJmlZLu4zvBj28wEypPxDhE-lH7j5nq1sHd1~gpnj0aA-BDRZkpyKwASn8tqVrT3bITQqF~7nhICvYdSejIu0YeVS8Id-bA8m1mUohiFrOwBqoc4sr9FQVJb1saryiw1k8jnXkc9cVxCD4oi3ug9MPQLGZvXt7LtsovOVeRC-1B277cuqrs4pCh1G2VmIfNohQVDFTptdUAAYj70fe3ouJ1Bz7bILdJXcdhts33nDA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía I,B,2020-04-24,PD 3,1:37:59,https://ca.bbcollab.com/recording/2a14935431eb4d4392094c5c82eca21c,https://dfz4hf1hz1uri.cloudfront.net/content/a61127ba-7468-4a55-9907-beac6b1869e3/20/04/24/23/a61127ba-7468-4a55-9907-beac6b1869e3_1_200424T234605589Z.mp4?Expires=1595610173&Signature=XrKoTxcLxl2cxHZFnVvJAeLYMtTW1D~cngpngyjtGo2Fpgmos9kCOqlr0psWkXEDfWd3PmHKwM42rkd6g~RHp1E2GFJs0OFHqQuFnw9DBIVz0733T8ExaAzgqcTx5Dy1j3IbGowNKr1DiGte~1PGzakipNOirvY5KTZ8sW4IQ537HWrBk6nYWKllrsgwERgEI9mH3EqXkWThyTQ4HTucxABeoC5IYCbGENLoGaQBhLCztwAJHkD1PowFUfydUgcCQYeVSxZXGKRK42f21a5HVK7TMKsmpEokQ~tKqQCGMMhbM98vsGHpFjg1KVxk3KAbnKTMcWuTVhINkcutfW-G~w__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
