Curso,Sección,Fecha,Nombre de la sesión,Duración,Link,Link2
Macroeconomía II,B,2020-03-30,Clase 1 - Introducción/Naturaleza del DInero,2:10:32,https://ca.bbcollab.com/recording/acf00626cbbf4b6dbeae4fcb6ad17b0d,https://dfz4hf1hz1uri.cloudfront.net/content/c49e5a8d-3100-407b-b021-a4f0e9c6d0ad/20/03/30/16/c49e5a8d-3100-407b-b021-a4f0e9c6d0ad_1_200330T163817686Z.mp4?Expires=1595678428&Signature=OZur54lCL9SiNV5tE3gPdCZund5bUQDFfeuLuifJbUYU9L2iisjDZOERWk8A8T5RGModVYAsWgwLL35tK8cDDm6n6dgSBnGS~hZwSFS9xFfG-ua78dnOmH8Rce8u3lbYJJVin91UHicBSvSmvd2Adbu9rELwqzRKwvwdDQmo29sZZq0xII0arnuoivJpMDVrMyEVgbfz6U70jUFP79-iMmrxKhuwi6Sfgau2WeEy-jMdqZaOA5yy6nxIIlhPaLEDQJyLySR~EnOzaYq-QreR~ce9MyXbw0pbO~QYJ97QZdPNQfewjS7LEzUtUCE6v2JIjx8MiudnCUPk5ZWd90nKkw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,B,2020-04-01,Clase 2,1:46:57,https://ca.bbcollab.com/recording/e785adc27481447386e24433bb6e09d3,https://dfz4hf1hz1uri.cloudfront.net/content/4fd291f5-c72a-4e35-88b8-21b0f03cef2a/20/04/01/17/4fd291f5-c72a-4e35-88b8-21b0f03cef2a_1_200401T171447800Z.mp4?Expires=1595678445&Signature=WTtN14KP8LxShfNUe~oeG2mIitQNre4~2lqstYZnCttFUtbcW~4ne5YSudVtZdiT-jBKCPMW0tPinmew3GNobP3P2BGMxo2s~H9en7mwRdEBLL1n00OHJ1y4f~PDdhH9WmVaGO2VjrppMhcbab6lSgrfB0mueXS0A7fzeZehdMS7i4QbIhKit6vphjpVTQFsRsH5UdIkgvXw~xnJSSiK4shXfucWiwBRZdVp40Q1bWsZedCsUjEALgUb6VjneUYIqEuI0xGqNhUTBdyvqp3ixxgE67j17M5QQWRYL7Q3J-j7FPiFNmJUZ-pM4BoknQ79LTwQ72Zk47wo~Cw5Y9qwkw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,B,2020-04-03,Sesión - PD1,1:59:27,https://ca.bbcollab.com/recording/3888ff9d06154ddb9805fce5487e1227,https://dfz4hf1hz1uri.cloudfront.net/content/8d7504d8-7eff-418c-afc9-971fabc9f10c/20/04/04/00/8d7504d8-7eff-418c-afc9-971fabc9f10c_1_200404T000028945Z.mp4?Expires=1595678458&Signature=BZ6Gp5idmph4JADqTYz7kgns5Foeev395-kVDLm7ZDEVtxVfVixTfdndne8bbGFFlkWdzsqh4t97Cycv21rVj8jlWOFuZbBqCM6fgbUCVKCvBXwDzF-PNYyLt~t7i2PFh3dL2Y73XHoNpEkgx4I1Vrp44FbDbm~Abuhl4HFyGShcgkwqPrL-P98qVjtjg5Mn1jolKYjFFXFLY3PDLrbbmyn7F8hsEP5S0Nf0PNY7eK4wY4zThXjPQJHAbB8RNG66ZnXqIhe2ayFrme3IPKRv2b391B43DKWNxG3tiK1umIm1Iv8MO8QUeGiwBQEy7bxyxziH2qfbD2Wm9u27LHE7nw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,B,2020-04-06,Clase 3,1:40:05,https://ca.bbcollab.com/recording/0fafd98facb04059bf9c806bb5d8c6f1,https://dfz4hf1hz1uri.cloudfront.net/content/3ed397b7-e74e-4a07-999d-f2a464fa0c02/20/04/06/16/3ed397b7-e74e-4a07-999d-f2a464fa0c02_1_200406T164014926Z.mp4?Expires=1595678475&Signature=JhtzJUlF-I57jiRL378puJvAz6APmQc5X9nBFliqERq8J8llKJecc1ozzG-y-BjuOJJb-8wY8zt8PU7BLU6PkEh1hYDD4Sl8rl3XAhBZWVNNhc3R3E-5BAo3ZAW1v3n2cNVqiZYooEgwqZsyOK9mcK0uohZS-7fYLbvOOfybsLEPF4wFKc5rXRoFgphmYEuFShMldmtszZzKif3ZhffI3l9XgAeXXcUUJrSyFfEn4~UmBUGusqUS5lcxSTTw8EfpR~OYF9jLNDm8apKTBj58qLLHSKhd5w09KR6ScgyTosN3Os1GxIpiuovHdq5dsrwfq4TBPWYXE9-vJkRC7T3-kA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,B,2020-04-08,Clase 4,1:40:11,https://ca.bbcollab.com/recording/6050691d620f44d68e3cfe8a73c76d91,https://dfz4hf1hz1uri.cloudfront.net/content/2855759f-ea64-43c3-8de0-1383bfd408a4/20/04/08/16/2855759f-ea64-43c3-8de0-1383bfd408a4_1_200408T163812109Z.mp4?Expires=1595678488&Signature=WtwRnknaewazIKRCmtf1vklr1BPpgphTMGvYGoIVrTegzI3BVpuhOrLNGwVAU8aQOdBFGuyReP0dEWPM9Cpoqclm14HlkTVCoAKInovDM7SH6wQxkad5cqouhR574y3C7Rze4oLU4QONWXb8IsWY0mG8B62iVSTTUAr0Jt4g2Me4~Gl9kqcvyH3i3UqnzI0cxLG-jCla5QRSL-onWG4JU3z21tZO4FNi1bsxxrL0wJesPG8IwsppcJklZrgjB9YEglBbO-qs4aGJID5hU3NdQIfqE3GTnHH3~kk1tsWMYv~uYTBJAqnxkT~6GT1EM6q-N-HXiYVtyusv99rtonXcew__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,B,2020-04-13,Clase 5,1:40:36,https://ca.bbcollab.com/recording/6a241c0a882b4ed88af4fb577ef7b701,https://dfz4hf1hz1uri.cloudfront.net/content/39940674-15fb-4fc1-bd27-9c3f8267a465/20/04/13/16/39940674-15fb-4fc1-bd27-9c3f8267a465_1_200413T162944465Z.mp4?Expires=1595678511&Signature=AjhC-is7xH1wPjjF3HelEFnKAqq2MzCSICDzWBceIHOdc7W7WH2kmFoxx-vEhaOYfDZFIwdbG00OPSQxgsqy~O0sHFaS5FWHlm6fW78JjgR39mQBIVLxSv061hw3ggoJ9OVcZAEcnc7v5doLeyGISSsiO9OO1Nf56dqqRD1UUhgGfUXMAPOgvWNFwQYrdnUcjQi39kWkeBeJGiXKq-s0aCgWWiOKkLHUVHJau76Md~050NHApQ5fQb14DZf9APnBjZANOLwWyXdUbyatqZEimdt4wMmpgwy~w9LW1say4R5VHxgfIsSQebAZXZPG8gqS7V7Ir~wTpuBu-sD0P5gHCA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,B,2020-04-15,Clase 6,1:51:44,https://ca.bbcollab.com/recording/fe47d79f54354da2bb6005885bc2a078,https://dfz4hf1hz1uri.cloudfront.net/content/44211e29-531c-4a18-a06c-7313f8ba23f2/20/04/16/01/44211e29-531c-4a18-a06c-7313f8ba23f2_1_200416T010802199Z.mp4?Expires=1595678523&Signature=GHUFyYpvj~xI9hu8jr6rWQmNsqR03g7unTQnn~WNRE5s0wdR-yNXfri7y0hS-Wc2INc0CX3kcd9AfuYF4s50en1pKR5Vk-7dtDuXwhc34on4C291PmVcmeC2IpvQUaNsMu5h7Qj1ySDMvAfEDy8A0cc2mlY-h5n9E2ID2bMZgje63WA~O8yEv60k5ZasTfppxJBZC~5zZ4Gssb7cAViExqZFtNn-GSOjUz9MKQWnQ1MpgIkIecP17vbcSPFH8euZCCa1Ni0V2C6Q9Jbct97RFYd9cnJzK7kxaNAHi07qU4Ql6guusHMX9ofxuyodhyd9UOAbPYtXsfyyw6Yo2nnkaA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,B,2020-04-17,Sesión - PD2,1:55:54,https://ca.bbcollab.com/recording/65c548f57b9a415aa37038ee6c4c2ee6,https://dfz4hf1hz1uri.cloudfront.net/content/d5bc7708-a3cf-4579-bd91-b9c91193d83f/20/04/17/19/d5bc7708-a3cf-4579-bd91-b9c91193d83f_1_200417T191427105Z.mp4?Expires=1595678537&Signature=NE~y-qYDCyAWCpg2paqMYB11qKpYDvnRCXkd5YUc~w1hgI1U5K2yi9atjL1nOOa5KH9TV93ivEFyDQ0jFZOG96zw-GYFWITM-xgoMTXYQbDbxJNHJmuKFUwS4Nn~QBaqVTJb1xIpZTGMkuCEE4o9Vv4YmPNv4YasAy5TXXyKHJhYeO29sJaGmPhG8PBtaCgLfgM-4SHm7k-tNH4aeAZd8m5rWihg~EVtFR951hKvZT~7NYS0v-uDDxq9dE~ALuALS~aUkFloQNTb-uTWvjZcoejDFuXAFEJYRw9jVgZCkRjZ0~DbKe-7JgH5XWFQYJl3Tv082vNQi21pCUiPZ6-QOQ__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,B,2020-04-18,Sesión - PD3,1:44:13,https://ca.bbcollab.com/recording/e12ab1e4765046aa8f50a87652dff01b,https://dfz4hf1hz1uri.cloudfront.net/content/baff3b02-b4e3-4dad-a84f-8be62db8e51f/20/04/18/20/baff3b02-b4e3-4dad-a84f-8be62db8e51f_1_200418T204737547Z.mp4?Expires=1595678552&Signature=RRn64EAMTqVmQrf-4JpoJt-sIXJUdxYKsmvTP90ZKp-RYRy9uVam-I2IBKkBMkHIfhU~SnEHY9hKpVj6XcTjWzLecfc~guKKgIU~9IK3qbrVxtEgl07kFsz29A20FQbj3k-kTxzfTbSqAsbe82k0hCxhBbGkhQrhpNsSBc5LXE6Z535H5bvYuaalPCYBuU0HyAbwH8KwcA3mdTlfFCBxYUPxUXsIZNaNoSYvE4L40SnVn61ZvVff3uwDMr3eBmevdBOTrspiBIkufWU-txeJpHvJQ-arOKOrFbFNsjTOPVjGO2eEnmllU1JlUK6cVzR0E2Y-yXoQ25gr9Gmqug87mA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,B,2020-04-20,Clase 7,1:54:59,https://ca.bbcollab.com/recording/823849a70691416aab3716416ac18499,https://dfz4hf1hz1uri.cloudfront.net/content/3c16a485-ef4f-4671-a871-b3a897e2bceb/20/04/20/16/3c16a485-ef4f-4671-a871-b3a897e2bceb_1_200420T165331486Z.mp4?Expires=1595678564&Signature=al2u1REqWfm0yElXYnNWcXzsVTM4saXxu~dYp2KHL8fKjB-Do1YKQ4hAwneBRkK4BfKnu~ae42-32Mi~eF2PzhftWgL55QyG~chDE94SsXQ3C5FOqXo8nU~yFBOCBggUalQqePfPhpdGb6vMgwh2BYeWWIHyliimBSuXat4qs2-yCZPbg2T~nnnNHxsaBkgD9jbXO2SpSRltF8k7Q9rZ~rfbS0U7xj-c7l9OoC7u7vF73Sud~xzdImnuJQhVStke1P6D-9HQ0WXD50PldWBXfAygOyIBGDyS~UF-8uOsArrlO6LS3ewCCK63RJY7s2Xf1~syxEJLninc0mMpN3EXgA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
