Curso,Sección,Fecha,Nombre de la sesión,Duración,Link,Link2
Macroeconomía II,C,2020-03-31,Clase 31/03/2020,1:47:00,https://ca.bbcollab.com/recording/4b552badd9004210a48eee317ad2507c,https://dfz4hf1hz1uri.cloudfront.net/content/84853cb7-32bd-4623-813c-d4e6e9dca683/20/03/31/16/84853cb7-32bd-4623-813c-d4e6e9dca683_1_200331T165634100Z.mp4?Expires=1595634824&Signature=Tq8FndRgpxoUUt3rBCHGIrA~KwxoQQmstCSG5Wm6c6mVIg-nEqK9pYJtoLIyFK0UZejD5NmuryQF3v2OyeouPFqvESOHk0OUULBzwl1Aqo4A0MB00AVn0L7CGmsE3ws~cC2qOGv1OvTKtBRiXnehLACanlx~bZUPxDCgXJl3VmwGqwBKN1Q3YvchbDxVPK84ejhNY9aBmOXLPfKTovYbnj8Vt1oKa4Tc1prbJlcvkfVscszgBHnw0L186ix7PQ4SKxMS9XvG4Blxet6ENHDrwiV1oWSCOLfF2OpVeR48FuAh63wK9Py98kbeD1ZMkzgRegjRxc4RCRDvix4gxUABAQ__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,C,2020-04-01,clase010420,1:47:31,https://ca.bbcollab.com/recording/117658f0c17e492aa62286cb3208cad5,https://dfz4hf1hz1uri.cloudfront.net/content/e40b40ab-1881-4a53-8080-493fd10b4ba9/20/04/01/15/e40b40ab-1881-4a53-8080-493fd10b4ba9_1_200401T151346481Z.mp4?Expires=1595634839&Signature=ZTFasu3TVAc5FWv8rHe4gu83msey-kzuidgVt7rfgS1Pz8DEQMqMX9g86PreASoNYu9Ery6yUxWADmsis-tvRMVm5Bln8pM2fXQV0fa5FJ9uaB-BXKIH1jdDk7k~g~RpVPIZWAgN9Z8km6enTC0KREJxhgP72OJ~IWrQS8TpaPoquTKQVJ3htq1qJRD1n61NHeLyBeDjkhE-cxZuDU-vgLQvEYG36g-XbTvHpwITFQIfW06YkLenFZU~~l~i5hSBu3IdZTnz8knW0AaiMZKnVq2gyQNMsSgwzWgyDo2p45IaIqewcxsAZs0KRlZxq0Bcxc7hx9WJOiYSYYigj4KUyQ__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,C,2020-04-03,Práctica Dirigida #1 - 03/04,1:51:34,https://ca.bbcollab.com/recording/a5b19e0db3e640be9f910a9b29d16c39,https://dfz4hf1hz1uri.cloudfront.net/content/efac0fbc-1633-4a1c-9559-4f150b19e8b4/20/04/03/18/efac0fbc-1633-4a1c-9559-4f150b19e8b4_1_200403T183500626Z.mp4?Expires=1595634851&Signature=KC321HUnLBo2Qc27g0LO6BwdraVb2Gw2Dzjj5d698VX8DzFBRTBNPsExF9E3KVwJ~TA1lO3kL0XAcmOqy4uYfDl6G~LxAGputnvVbl1WYUo~gvlRQH9Mk-LPtmhpimg8HFzMg3bgY~ySCF6CF4MaWoavYd1iUDMR6KNsUCKhjH0MwNpBZ7j1W2ZZWoIBQXJtKFuQ5k5Sd3TETNMpWgywLJGDlN4b9yj3XbD8wIRdqEtMLx1f-8qcNUncbPVA1T6a2hFakO1~Vlb4Ryzh5-LTuOVgs7p1WB5VmSfKuCq5H9VsXcmIQaYU54QPDcYWFXxfpB1YvLXdIoxMAgXJFEHjrw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,C,2020-04-07,clase070420,1:33:51,https://ca.bbcollab.com/recording/10ae37ba439d4c93aba862b8b4dfea7a,https://dfz4hf1hz1uri.cloudfront.net/content/f074b829-df99-4d3c-9d63-d7bb9b93b5a1/20/04/07/15/f074b829-df99-4d3c-9d63-d7bb9b93b5a1_1_200407T151730809Z.mp4?Expires=1595634862&Signature=B145Oe0d-TdYBh6LaIHOZlzA4Sn1rE977~DI3TCg9s5YsEaXxMBBfLzKpEEYRm3BhyIGKdkYSafmeHMQY~XWtwFSombS2ztJyPM3RhkeuAXJxTlPDfY-42ybC7Y3rXAXTHc2OzvLzzvk5GWRDED82f3hYfGPijm8HYXJsyyYCoRMXr8DMZe5Hwa7hQNmdiWbVOxOHcniOT83wtTaTCWTkioxmoQ0ZceF5E8xdRhg1GIi-~dBp-hH284h7oqdm8ndH3ZlUlCuJ03haXJrFLy3YtteSkpjGPWPLY1k5RKben-irME1fGUsj-mCXKX0Us9qXSDR2BYYC5zzoomUejReXg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,C,2020-04-07,clase070420,0:05:18,https://ca.bbcollab.com/recording/7c8bf01270994f339ac3033e8c9b0b82,https://dfz4hf1hz1uri.cloudfront.net/content/739aac8f-abff-4fc5-842a-0f1f2badfbe1/20/04/07/21/739aac8f-abff-4fc5-842a-0f1f2badfbe1_1_200407T215544093Z.mp4?Expires=1595634875&Signature=Oht1lA29VGpfWesFPAxJp7GUgQNtfZP6ki-JZBrIPvx32iGnFz2aBU2NA42LIVvfj-FpyQ72Gbquj9TpZ5gSbXmXhlBFL6uwsvgHq4KWzrX9mr1QyDUK2B2qhu00RalN1Kn4ho-sy5K3ZKd3RAw8K3nSNPi2lmrgoMvi3y7u9sOMIwRugHx~z4qzfds6LEk9hkZrjD7NzdMEbU2KSdGVClFMD4dbtZzU~9vheD4g1tLLJrNgiXkZ5YmGdSqMvq7FcFnRSTX6-XFZU6cR~XPBspiGUundcMaUTkskzlDu0CBHSCaircgdVkOfB80XZkBbA-DpkQqiiyikEjZrEnoCXw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,C,2020-04-08,080420,1:42:07,https://ca.bbcollab.com/recording/ee606240bec34ed0979c68815ab6a049,https://dfz4hf1hz1uri.cloudfront.net/content/0bef083f-b2c9-45b2-ba2a-d623a2ca0811/20/04/08/15/0bef083f-b2c9-45b2-ba2a-d623a2ca0811_1_200408T155747037Z.mp4?Expires=1595634886&Signature=dsy93BhOxwyXZVqsersCyZCD9tVx6yRpqPnZDdkFQ1jKsNX5TR~T-Y6yGOBXzUqmzZW7JANOZ7yw0ncLRd0zGKJiYlLMur3HigVBGTqPeXnGdaUwVmnGWGaTbWw7FQJr-lOit1is3ZHnbH-xzmKOYb20PcQU6JzM~FR8ocvHDV29p-yFKX3dX~lvZSLyul4JBudgozVWmNIbDvvamgkFqLglHVC0GL97DJBFHeOB5QvR7ehPKtlCo~CR-zkF6lxNgTNZpXdzJS92EdM3L1pLgx2fCLiy4xM1MVivGLJERJPKvf-1ABBTP91rg7vkUnyeu8HUAAXHNupZADnQICYgGw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,C,2020-04-10,100420,1:51:41,https://ca.bbcollab.com/recording/a32fcdbbb61a4aa584ffaca5e99e38d3,https://dfz4hf1hz1uri.cloudfront.net/content/36231608-1b01-414b-8fce-fc09ea4eed36/20/04/10/14/36231608-1b01-414b-8fce-fc09ea4eed36_1_200410T143509891Z.mp4?Expires=1595634899&Signature=Hi6L~QgNJICYbINfyJdYcrXCA~I9FiwYtRAHYRgM3rcC7VEg~VQgQs09CIA9LDhk2vfI8utoIspdUBhgk6xUsVg8wrK80i34DK2eVSSjuT6r2aivR3XyV1MfvTrAay7aW7GC7c9kbMVl9AIJbvz~8VmK~ThPONvvAam~Z6LyqXEwWQXkBtl965WR-ZI4fLpO2g~mmurIZsQZuMZ57HmRzUPeopmbxFIh3u8RjxM44-f-Qm4WxBYKLcQDiXk0S6Biba4nPF5WqikeIjuUI08GV0O1Pf9HDQVNxeCa40VKi5mR3Do5GgS2ono1LZKv8yZIAtQNPmRHtB2AGWCAHL4cqg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,C,2020-04-10,Práctica Dirigida #2 - 10/04,1:55:12,https://ca.bbcollab.com/recording/c06277dc93d148209e0f798d63eb45dc,https://dfz4hf1hz1uri.cloudfront.net/content/a2a308f8-4a79-4544-8313-ee46b0dba999/20/04/10/20/a2a308f8-4a79-4544-8313-ee46b0dba999_1_200410T200327179Z.mp4?Expires=1595634915&Signature=daW5Q6LdoP~zen1kuWeej9ry85taeqFT8zY8Pl-xFa4U2PbTXBbsq6ZRQjOh0HhAP2UMcva4efRWumeTdkDEFANQpF~QCMwWc72ywuchVfgSeQglU8zGKe0pa06tH3NSufKmwwXOxypxtCbjmUauZxkiqlesmNitM4yVOb-tLfu8~OpgIQBPfBG3r5xWvCsuaOEGlwleAk61xnrTQRjU~eOeKMrIW6N3I1bFDwne0CstsVwT-~j8ULSSywuKpn1AeKhT16dULfHuVNSbCttIY0-CG~iy~dWQ2TRfZeWL6~Z~sgmWJhhpKiFuG4DZa~xV2IfZC-w57PlQcgyLTphVqQ__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,C,2020-04-14,140420,1:43:06,https://ca.bbcollab.com/recording/ee8aabc5d09949099f362ce74dbecb29,https://dfz4hf1hz1uri.cloudfront.net/content/d3ab9ba8-f2bd-445e-ac71-d101603d445d/20/04/14/17/d3ab9ba8-f2bd-445e-ac71-d101603d445d_1_200414T170717845Z.mp4?Expires=1595634928&Signature=AG60a2Omsir8wfhWxV21xY4sq1zP8g-OOIBdNK92pltPmXpNVqrwsVaQtBxLofBOswd5elYAj7HmZyZu2tL4n0WXfmX1iL886Nu8g-zYurKAYYeO8nQAWIaSBv62pnc8i3O7V41ncwQPtn8pLQ2WN2o5e1tIXcK4dlFoRncJS4L0XpUPqMfh8gn~6rc~3cGQ8ZSDZmTTD-Yg8KcMGRWSB8yEEgfWi0H3pZqAerO~kap8g6Ja80PxNP8mpmNhaRyQsO-4Al0kDwPef40uoKoXLfId96xKg3g7KM9oyJP2ZOfSFqtRXQto2rKSfhm7TX0sXFT0BLOENqMihihgPUB63A__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía II,C,2020-04-15,150420,1:43:54,https://ca.bbcollab.com/recording/d22dce30d1774a18801d0c8c931888b0,https://dfz4hf1hz1uri.cloudfront.net/content/fd59fef4-ba80-4ff2-b0c1-5d16a58edee7/20/04/15/17/fd59fef4-ba80-4ff2-b0c1-5d16a58edee7_1_200415T172105468Z.mp4?Expires=1595634940&Signature=bf6SEtbxnbTKUu5kuk8d4wYjdI7w1Ne3PfhCzpXqXNEnR3A6bvuTOnyayqLPjxFuoixTqwNyfCPRKi48OhrbJ2BePmz0AiI6U8x02OWp~SP7vjHlI~HTd5ybm2-UihVhY~DLunWM4Bl~j-MuXv9GAJqL7L5qrAzi~mtYDg9fc9d4gCS-v7nkQ8ep5-gpWtUkI9UNJBFEuHz7a-22zOoJRPEdp6sA0T3Htv~-AYu81Ddo1Ci-Ioi85wuvmfr3XSNY~1JKovErj7-kPXUroG~8rug7Z0VRoqbxcx1GZfvfNOA1A43d7i7Gbsez5lk4OzixLh7Qabtsytz-cm6FZcN8fA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
