Curso,Sección,Fecha,Nombre de la sesión,Duración,Link,Link2
Macroeconomía III,A,2020-03-30,Clase 30.02.20 Macro III,1:49:24,https://ca.bbcollab.com/recording/b7e1f7ae3e4d4465b40bf45464bad455,https://dfz4hf1hz1uri.cloudfront.net/content/5665b398-655f-48f0-98a0-220958dcb67b/20/03/31/00/5665b398-655f-48f0-98a0-220958dcb67b_1_200331T004547629Z.mp4?Expires=1595611247&Signature=YFPNKQ9i8kElGzdzuiQN-YMylXzSgohVTKWkI~weWPvHe5xdyzSLUUVfZICsx2lKglQ4oHdx2PxSK5ls17Kx~8VDPZSh0OZJ3o1D6Yzkt-eLL796NIHPkTopQyC0IhBc30Mos1eJXQZEgcllEb2XrwzCe5fUWuium5RWVE8CfsRSo2dihVItwXF6y7peLQEgJ5WbYoXM~LPSGHpRX0xbn1e~ml2CbR0qMkIUJ-tYfeChH45sJuJhyGsf4H7ghiqW5acSYgg3zLlhVcyEZ74p2W1vZFWNoFurKSNQBEe8yfgti9YXA7QPtECVn~sfooqc1AtWI9jBj4btG9OM~rsc2A__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía III,A,2020-04-01,Clase Macro III 01.04.20,1:49:39,https://ca.bbcollab.com/recording/aea8b65035764e1faf4eb8da553efc3f,https://dfz4hf1hz1uri.cloudfront.net/content/1508996a-c644-456d-a120-64fbd83a8dfa/20/04/03/02/1508996a-c644-456d-a120-64fbd83a8dfa_1_200403T022615675Z.mp4?Expires=1595611263&Signature=CRn2Go3rJ8tzmZVkm3FAlsjCRG0qvvQq7scf3QIf8TF6~t9jubkQ1n8jo9HVbdzReDAIIKvuZMXvnSOdUhdy9zLS70B6FN7ffCXmmQ1-xIQVBWnH~lJPIZT21OCDx29qESO5wTGC0IqCgRnwxdBjnSoaVHXSGes~EYH3FhQKKzNdgrhlD4ESVWOODilswWR2sFeS-ldQvhwUW6Cg28cDJ5-IJ~e8UDJceDD-ZY6JEnHPkhIBeWR2iKqpS8Ya5WqTVgGfYkhNRYBvdgcNq2azedUUMC6e7iSCRGIstxeWUX~tPRN2isbyarrMJtrcfQ5OlHLYhfzpj6TG1hc0N4CbQg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía III,A,2020-04-03,PD1 03/04 3:30 - 5:30 pm,1:52:59,https://ca.bbcollab.com/recording/e37f29a73aa5439aa8f70e5659095fbb,https://dfz4hf1hz1uri.cloudfront.net/content/6016c3fd-1f9f-47d5-b51f-1f22f6aa39aa/20/04/04/00/6016c3fd-1f9f-47d5-b51f-1f22f6aa39aa_1_200404T001544495Z.mp4?Expires=1595611275&Signature=GHGcNvSM3lRJIoGhk5q0TqYKAL9WwRexfWIU0XQlt0pDn9wshXKgJFak6Ej7yexUyDNDxeYG0cGyTewAcEyowctDAyInlAQ4Mn~H0CsJgHIPXAyb7NyyTZGx0zikFRTBMkNfjV10jVCnq6PeqK1ojea-Q3lqTfeC8srYk~zTUNHxk3-cvvTbymU0UZZ0Y7YhAuBLBqB5WcE6rG1-3xunXDJBkaaPtCpqyOBB7Z2Nf8yegL5ZH7fC4X3MnjOEJMMfKUVtIJ~b6ie~-xU9z99zksJqAeuZpQxbGHbxrQ-Rvef4Cbzj3EHpZoFq51gteArdhABTbL4qTZKPBEeWk3DQgA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía III,A,2020-04-06,Clase Macro III 06.04.20,1:42:19,https://ca.bbcollab.com/recording/ee17fc343efc49a8aa3b2e4909c7d4f3,https://dfz4hf1hz1uri.cloudfront.net/content/6f1f134e-5e25-4ef1-8e95-45115e3ea495/20/04/06/18/6f1f134e-5e25-4ef1-8e95-45115e3ea495_1_200406T180741918Z.mp4?Expires=1595611287&Signature=O52ruDHIg12Gcb2tZmR~VTTclRMJ8q33SwznK7~Kkv6706S7Rj86j5CuZMjW1XEiltyOgANiy6zi1x9xR5c0jfvEOafTiAQ~29lVG-wvPldp0ugQNZW~W5HOYzFUCMUWCZs1YWKTwHHgjQ1e1dHKbYeG52KTuUtSm0nWl4O-rutE~J9ONwZhKaLwUyn7LkrEf19whxMmqXC8ratEt5JhMucTBCKL-hAviEV5NNoGzZVikVKt0yeRWDqRIgwQun6BZ0SumNKYK4BaQmbPpSQ~RpGUVDAr283eZE2D9e385LNRBX6LFN8wtWiqEngh1T8lFxgi6-DW4UkW1rrEv5A5Zg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía III,A,2020-04-08,Clase Macro III 08.04.20,1:54:45,https://ca.bbcollab.com/recording/74c6c139182f4dcc860304b15f45c9c9,https://dfz4hf1hz1uri.cloudfront.net/content/24cf579b-0d0b-47f6-858b-f9d37b5142eb/20/04/09/00/24cf579b-0d0b-47f6-858b-f9d37b5142eb_1_200409T004255382Z.mp4?Expires=1595611304&Signature=QgwlPOlTUKqPgt-vOy5nLVC3twwwCb~YLC1QoM4C7KXqVVHU9dyFgs6NZAjo0Pcu51bF2Ad5ylyllzm9LvwhC2FbnPdobtj3MH4KHD1pBht9EgNR8LcyC3TVTqW87g-rRulxFgnbI9Mj2LVOIZdP8lqv1jjHmx-ZKPrmJ5g7un4Rv0n1C2QLprAe-n6YnVFB64pQumRae~~sHD12yKuf-q-SMmy1l9UNOfLBf3DBw4uUhyDkELw2QqaUWB343YFal4E17Lh~8aLf6zw5yow4HQ0VtN0IAoA1mDytks8EGvBrlAtGLyZoflLEJEtkVUWUs7p6X6WVvtJfof1r9jE2Nw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía III,A,2020-04-10,PD2 10/04 3:30 - 5:30,2:03:17,https://ca.bbcollab.com/recording/3a85056729a940e5874e74e8b304241c,https://dfz4hf1hz1uri.cloudfront.net/content/cef82efa-4bf1-4b33-a998-23875a3e802e/20/04/11/01/cef82efa-4bf1-4b33-a998-23875a3e802e_1_200411T013302839Z.mp4?Expires=1595611320&Signature=gC7OJ9xBv1sZTpjafTJtdJLjqoiFtphrFgW1O~~B-GlWwDviMPejd3hKzjr6DPSvXxSC3p5sM8Bu8EcLe88L03bJeLs7p00G1VjY3BXPTFlnz5Rb~VfyTXWmx0hIYrEWApmxSVTK04qLcFCCS1uUIbCxieK7sbtO7T4vGhiuHneXYcyWI-LhvYvUqT~wI9UmCS7ekPg4QuCcf~akFzAw-z6On2bdbboJDBpn4TSha3Hu1ObRvFs0bjRUSICk64HtV0C3ZO7bl5TwweyyRWOjHWECPnD0acQ-0TP6ha-7Q~tCD9tsyt3sII2Uoy0Ke~isaFEYJvF72i7FBg5tlNqRfw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía III,A,2020-04-13,Clase Macro III 13.04.20,1:43:21,https://ca.bbcollab.com/recording/5e2d32f14da34b6a9227f60c467f6f20,https://dfz4hf1hz1uri.cloudfront.net/content/51f603f8-377b-456d-9a11-fe1aa8c7d91a/20/04/13/17/51f603f8-377b-456d-9a11-fe1aa8c7d91a_1_200413T172918404Z.mp4?Expires=1595611333&Signature=BwE1G~VPa0Fs0MnIugZiNKgwaB03FAHnOaxHWpycg8JlX48pMCU5L3sozEcP3LyyuOOlYmUGLInXpRGapmma0ZHrdciMLauBGXTqwFI9SCm6kz-pNGpPHOjsvkTOcaZ-HsfrZ~hCKoonYNw2SvO~FaHzZIxE0U6C8zHc-Jli--7yrxiIb0IgaGKFmgy-DJwRE4aRZaT19AFg5RO0tez~usvlT~VdAnAmHwR1EHSQFWlgsgH2owuZuwB0pRW7Sl6XYibJ~xBn4rt069mxWTlbdWFQxsgitDoc5P6hYtcdQENjdzs1FD8TzwzL-amY77JsER3w-mt-KeTU0twgCDKdyA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía III,A,2020-04-15,Clase Macro III 15.04.20,1:55:58,https://ca.bbcollab.com/recording/04ecbc51aad64d348e181cfb6567da89,https://dfz4hf1hz1uri.cloudfront.net/content/05c659bd-2c7b-4fb5-9d9b-1d6e907f6cd0/20/04/15/15/05c659bd-2c7b-4fb5-9d9b-1d6e907f6cd0_1_200415T151841462Z.mp4?Expires=1595611346&Signature=WLCdVbj6D-IHfccORzVnRm7eIGJNYjUdLW1qp9yJeRJ9ahVhdO-Ke9U-hD9rf-9YMct3P7Y72axLo-b4TXhRS5fLzZ83M328xOLFVMKKkZMjCDeHPl1xh3svcKgI6kT5asMVMRC7qeqRBGqTi8LIhJDQhaU-SYM~LvZP67o17CDXhOhiw06NYW6LaidV-37VcsVcvd-ecSI3CrJjWHQ3TMTamjKF~FGwqNWgK~0Y0tL-Spk2atL6EGR8ZNfA-ld9Uon8byt08bWs11Xz3XO6H0dZ2ZJ~OPHDQ8Zxb6kVi01sesvlyRLmRsfUlgwklB2nPevIzLbxM5g0gEMOk2h7ig__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía III,A,2020-04-22,Clase Macro III 22.04.20,2:09:37,https://ca.bbcollab.com/recording/13c3ac78f30c41b29693ccb7f0a7b176,https://dfz4hf1hz1uri.cloudfront.net/content/710ac62c-6c78-4bbb-963d-8d606277a75c/20/04/22/16/710ac62c-6c78-4bbb-963d-8d606277a75c_1_200422T163048559Z.mp4?Expires=1595611358&Signature=EY929ZfRTo1s6PcagaLP6eS3LEJJfGRRTS4v~WbjEEGAnl9AENFB53QdeV1hMsz6kIVQrkR6aBOCeszClvUtWda23CQjX0-MmYfoIVVkHYfCPFGFJ3F4-BxgG0CrpBlidoyIPfrN2F1N2Ak3TyHwNlNMqo5cMjSwyNIdxT5h6bFbr7iDjUhocH8fdh0wSFGvEArvnnbNhniiijWWLdP8NWWK8H4v74ysboDipKS-y00VJCDRujKNuPE9CSztxvJAWtzOSAAMIMOc4glDTVHwZCP5wEkGClJ1indlCHhLjfw7Z4eCR1L43FG9QZwi8w~c7YNeHBA9-x-CPRF6LQcGPQ__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Macroeconomía III,A,2020-04-24,Clase Macro III 24.04,1:19:24,https://ca.bbcollab.com/recording/c8367f2a42bd40df8a585f0a999c03e6,https://dfz4hf1hz1uri.cloudfront.net/content/7162d967-d804-4382-b360-8749b21fa8e2/20/04/25/03/7162d967-d804-4382-b360-8749b21fa8e2_1_200425T031210771Z.mp4?Expires=1595611370&Signature=aNHMwxuW61rloS5HWLaAma0Ig7CfvXQahYtt3~KyXekf2PTMpHYqbMkyWGLT~rGAwuzkQc9gxEbkUIJFiSB2MHewA06s9uGuP~3RsHilz4d0rMAvZYl3dpbt1PwdiqxJohqn8fisDt9iLRf0marZIKOeGK-ORWROi8vU5ryrEzAYGkcbtojDVBG2HCCjJKq6rEE4LCrd6OyiJ4ucDFG6rLkZumIVW73Bk6m~G8WJxWben3JKC1cbPGawtUCdUg7juq2XmucQNpAftU~1d0k~Erplm2iLd70m3JD6PQkqqRKtMks9c7v4I~OGns9WeUUEcGPiaosVLAa~xjPGrL78tQ__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
