Curso,Sección,Fecha,Nombre de la sesión,Duración,Link,Link2
Matemáticas I,A,2020-04-27,Sesión 9,1:42:13,https://ca.bbcollab.com/recording/8749f3cce04e4785b374a8869a8679b4,https://dfz4hf1hz1uri.cloudfront.net/content/4b06449c-d10c-4540-ae08-a597cfc077df/20/05/10/18/4b06449c-d10c-4540-ae08-a597cfc077df_1_200510T180025696Z.mp4?Expires=1595609171&Signature=UOd9pdzOoYznLPROuG3TOJPHH3kO-Ig4tEKvlG4KavDdquabZAnKo9pgRoVaob-3MdwedIefLNlW4oC20nrdZCluugkPHQj9kiElaOzogbasVI4u4FnNTvPhceVKQwSMG8cnson-xp5dD887KLJ3H27nsjSIeqxAX6X7PZFi2IdTB7fhMM3nDCJOrI~hRpLBgDf18y2OiAtmxyrfPGAkxAVaktJcB1Lx3YWz1HY4C20GwQclamKvHpvgN~l6NDUqz6J9pTLFUfey6OSQqly-cf4ZF9SiENuVCTAXZ-oN~d3eEDO7dw2HE-VwIRHvJd0qrHCeN-l0jj8jMIpKoqzAAA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,A,2020-04-29,Sesión 10,1:41:30,https://ca.bbcollab.com/recording/9b41cbc292464ad7a816885356d4a245,https://dfz4hf1hz1uri.cloudfront.net/content/766b154b-4075-4eb5-84f2-4266e32c4451/20/04/30/02/766b154b-4075-4eb5-84f2-4266e32c4451_1_200430T020115215Z.mp4?Expires=1595609187&Signature=OSyIDMN4EiiSaV02yde3Vk5mUFqagML9FsZTBh-f~MtAkq5YW5DsNRrhjlOIy5BfjzgQzXThbgKvjx-gQq2qgj8o-0fguyzcXe2gtW2gmZSwXcS9lpRjApo9DWiOfAM39UKDt6vZXD08-zOYdw9pXwmCL8sCB-zgwP~HGZs5J~tEScBpmOhcnlXJG1rbLsqTT-jj~oPo1ZDNVzhaBLlUrIM3hIbLf5PHgSSXzqQC5JNF81mG2Z3dt9-1ilwG7aX6nmEqw6TOLAP5oaVepMiCPzd~5Iqkxr8NRTWiL111d6Ele4P7jlTw3oZXT0oIK6jduAmxRaiae2SKH3cA9OVOgg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,A,2020-05-01,PD 4,1:19:47,https://ca.bbcollab.com/recording/82690c4ea53545b7bec67820cf3a7cd5,https://dfz4hf1hz1uri.cloudfront.net/content/f9cad258-277b-428a-ac19-afb0faa91d02/20/05/09/00/f9cad258-277b-428a-ac19-afb0faa91d02_1_200509T005603352Z.mp4?Expires=1595609200&Signature=Ryg5QUgXNc9P5GCxYJJaSI1pfE4gfRgdA9cYtCFa6A37RaH~ItGrW9m3BqA8I~chDwQBmXvlma0j4eWkOALBOdpltzh4KTf~hopdEfUhbSBAHr8NubWvnJmJ~XsD8nuwzXq4kr0Sz-4M9Nn0zxv9hWqAnVAxUUmdASa8bRmQfY97GS1mL4pSIDE-ABBwNh6ec76NMGBpn4ngReBRSPJW8lbunPMwljSGnLqywwufDvvq6P1v6ctgIDF8eVVOBzoejkyVd8tQrsuXrNOZ1DqyH4bIlDDvXLH8tnjkp1DQY48NurSJQm2~hsityN09o9nFePu3FF~WaxyFQwSqGLAgMw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,A,2020-05-04,Sesión 11,1:44:52,https://ca.bbcollab.com/recording/322dd7f21bbb4fa28bd8eb6ca10a8efb,https://dfz4hf1hz1uri.cloudfront.net/content/a310d347-c8e9-452b-a52d-df91a278c6eb/20/05/04/18/a310d347-c8e9-452b-a52d-df91a278c6eb_1_200504T181504669Z.mp4?Expires=1595609211&Signature=cPLAJIn4bfxm-dEnENU6fWIuC7RRXGZk0BiO~~bcF1mh2BReVm5ndeCsCsQw9rdVBbdmUljpvLoUhKn91~YDs3IoJ-s9sHb1lPXenJM3CV8SP8UF1g6yDEnJ7i8Bbs3Hm7H6bPpyMOTzhAXcrgDBmWZVAnWtCqoCo5vvKy8RjfosKze4GutTGRKC1o7vsUofmja4LfvoCFJreHFY1OUs55dOzIFMSiB0IQwWrI3LuHxvXWMnvt8rhf6FthdV3U7LQSSF2740umPwpx0-SogRMWA7l5ivgnJIGJLidN0HEzBbRTBGSc5FLHyJzXkPa9-tMVBO~mhIGVxL2VVXAmiAVA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,A,2020-05-20,Examen Parcial,1:50:24,https://ca.bbcollab.com/recording/7f046e078ca94a4d92548f6574a25f0f,https://dfz4hf1hz1uri.cloudfront.net/content/f74d21e1-340d-492f-8196-c3ac2f0d5882/20/05/23/21/f74d21e1-340d-492f-8196-c3ac2f0d5882_1_200523T213420274Z.mp4?Expires=1595609224&Signature=eddH-zrp-nIkP1AJFJjKX7OxRnEqsoJ6-1ihKmMBOOKfu8HqYdkzY~SXMe0WIgODENqdUxhcFxRGK3VlpvHZA8NQsLkuIFaq7MoeuzJMDZ8szC3k7hNxiu3SZ3CipgwLnooGzeeTdPmYTC7rA1yWcMhml1KOfppodhvLkakXGecesRQDsNOk6L~IV30TD9zooyjOE67kKdO9BKg00Gt-TkzfMM8tzc34lo-941i5pFmoiW9AKIpDiJ2xt1NkXIU745~G6q1y2hXtY2q0m93WpuNmYTrkQrNZrk8QicvHJICW7cSA-HZXvrBHTj~2IpP9cMt1Djf6XJ-9taO1mUgJBA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,A,2020-05-25,Sesión 15,1:43:34,https://ca.bbcollab.com/recording/8c718d51f2924398a2ceec592cbf256f,https://dfz4hf1hz1uri.cloudfront.net/content/04e1749e-e642-48a4-8890-3868d04758c9/20/05/25/19/04e1749e-e642-48a4-8890-3868d04758c9_1_200525T195333816Z.mp4?Expires=1595609240&Signature=NQDNUSvzf03zCyhx0i1SDojvqArGH8jbU8SC9Z2NJGXcErPjHdQHu~hETr2M3b-JBbidhmdaDiamectPlMWCJLGZv-0IwuSTLieiYNZUMwPOsNw6tFpMkx4ZXBtNUE04NCRbHdsHEV5cT5kTwhBB-jUb7vD3Ge0iNbuHIZrh9~-j-Rw1hKbScsb14SP86kkDZLm~dBUiLZvCxshU8SQ96XutCGLSGyvmg8y8B0M3xi5gRSsKhZgTwegoB3Iv9m9d1~sRpOZPApGs5JJopk7K4s2hzt4i9N0EZo60-Ib4cZC-~gk7qpsAEUbOEEe0BQoorVIK2Gl40GTxpfrTpYsJaw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,A,2020-05-27,Sesión 16,1:36:45,https://ca.bbcollab.com/recording/e2d11473a8c84962b9e619adb5adb073,https://dfz4hf1hz1uri.cloudfront.net/content/eeb8ce48-9c96-41b4-93cc-0e34f62f9c95/20/05/27/17/eeb8ce48-9c96-41b4-93cc-0e34f62f9c95_1_200527T170551810Z.mp4?Expires=1595609251&Signature=eiM1-uBEamGrvAhKh68l15cJxx-PMzcZUg3wqNZvpawSlC2aKJHuZ1m9TZOYRPNJRyuFSJrw3xA1qxmSXcP~1T9aLt6Dkv2O2NtgEfRKgHtyJBaMt8AZ~jU21sW0oTgcVJ5WWHcCMpmX2BVsfDTQP24TIG61oGnkykCo71y8~~wTNeKh3uk~IbfrBpplczTKQpVNXqSqQAFkfkwB4uFFZILafSBL5pZS93mlhc6WmTcSPBbTRdoxHyilhJwY0bZiclYWjBo82LfDf~r7ajyzFHeCBZ5pvILMkLKVHAXXnfMgUR~xU03aF0d1AbtNNHBh5loZqH0c2MD0bAdv5ZrVqg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,A,2020-06-03,Pd7,1:27:41,https://ca.bbcollab.com/recording/67a110d07ef046b88a67996672c1482d,https://dfz4hf1hz1uri.cloudfront.net/content/02342226-3b59-4569-af4f-33e875770441/20/06/03/19/02342226-3b59-4569-af4f-33e875770441_1_200603T195946190Z.mp4?Expires=1595609263&Signature=Xl-mNzLDQjMEOqwDDsIX6U7Vo6D31T38-md2RPt21ZQj6J9VmL1EJ0~1HPFCTYZMzTvexII0IMQxtr53allcOU2P2bFULOI3KGFbngdFxswOPtKN1TwI5OYFi-2x5YC1oxkwVouuNKM1ZLqT-lWHMLKdxC817et7TqTjVCWG5p1z0aWuNC-zrJsglKNlG6pbaduicZ18qUaCo1~YSPWIKd8M7ZIxHJJNT2rfAGEiDRK79KNH9euEa6cGSMFKVFQMzL7Wmbogl1bsQeZ4CEBBExE3e7M-9RSj3-~gC-iVVy1CQABN65WFTGpb9MKorbwquQUqGYNqTrFjv9emL1TRIg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,A,2020-06-05,Pd8,1:17:14,https://ca.bbcollab.com/recording/875139b0f9b2424582c36920edeb5a9e,https://dfz4hf1hz1uri.cloudfront.net/content/d0d3e79a-5f85-43c8-9049-2d3818de0044/20/06/06/21/d0d3e79a-5f85-43c8-9049-2d3818de0044_1_200606T213702908Z.mp4?Expires=1595609279&Signature=YFbaHTbyPP18MRLJVZHR6oPZelTfWTrc0mLFQ-EAa3rKWN6PA4VXoWwvUUuD7PruYZHZ0Vqu1VXH4vDllwVt8EPARZqQdtGcsIzHl9lSumBMqbq0S7qHT~JJRu9dpkvPQs4lKk2ng5P6GYp~7w7gAU-le5hj55-HIu6F7kVOqoKid58EVGTLxB5i0-c7xIYfjQmaa3EoIlXwRvyyOh69mrzUc3y7GJ3gk~9VRVfeNWFHxGyUJx1x2TU0iFqJY8LAiF9HrTs6Y-TvRE4OesmxmSIZwrwOoNQbAG9kk2E0WNDLK3-gBBDz10GeHB-j3fEcmJpVu0xstdOfk2U0W5Urcw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,A,2020-06-12,pd9,1:22:47,https://ca.bbcollab.com/recording/d30bcb92a09a4aae8dbbaa9bd7188dbc,https://dfz4hf1hz1uri.cloudfront.net/content/442a3656-f2cb-48c6-8710-0394d7c6ee38/20/06/12/23/442a3656-f2cb-48c6-8710-0394d7c6ee38_1_200612T234411246Z.mp4?Expires=1595609291&Signature=aOwID9VQPEXTfb7opjmelmZ1Jz7nVndQe9yLhoOSw-mGv2QXN0qkXGusv8wltH4tuQRkJshfF680QjvGTrkFkqQxDWAt7osFc8JSYvFDeTvjjYCY11uiIlXwD72-5vhOuGi--oP0RmDnQu5i9Ie7ycGNeSDHFDhH~JgvLQdpWCO9KvrfubAA5MVj~usoWry5InlyMyE6HddrCFdZn36UPZbNvDzsz9CAEh9UVJ7-EB63xft1W1MMirbStkmblRGEVEPezIbsO8jmt0ssrZqhObWJh8IF9xUpDKk29JI8RFBFvAof5Yfk4ZXHH6vGrXgRWFisAjiC5Q9CrmSKgr80-Q__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
