Curso,Sección,Fecha,Nombre de la sesión,Duración,Link,Link2
Matemáticas I,C,2020-03-30,Clase 1,1:43:26,https://ca.bbcollab.com/recording/f1b0b6be37ca4068b2b2ef9cbbbc44c2,https://dfz4hf1hz1uri.cloudfront.net/content/3e43d4c4-97b6-48b8-b0e0-1487ba5c9685/20/03/31/01/3e43d4c4-97b6-48b8-b0e0-1487ba5c9685_1_200331T012739011Z.mp4?Expires=1595632983&Signature=bSwCOA2NeWKy86-W7piV1DwRXumSffE~cqgwfWriho8pcrPM4imOV1vAmGxNiEJ8KX0GA9fQdzhPRt7NvEg5Z-mXV6EfV46y4z9TYPOZNslf62Tu1ujYo88UwoScVowNYru7QiDcRZ~w5YAeV7KAU4EphnlKGh4l8YSTLB6RTvVRN6n5DFYTeLnrPiBhY3MYP8PO3UI49g~GCnRdNfIbUS9tIPSKqiDxmHD0E3-bQeU4z6MFsYqyJYP~OhvpzzE2sS2mkqjiL4LLHZm39rxzqNfC4~iDzrn9R7MrJaoEItI~SUdir~D9E3myj8IUCqDppXQG63hpNbsKe2BLJWEfIQ__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,C,2020-03-30,Prueba,0:00:11,https://ca.bbcollab.com/recording/8ab7e4ffb5424d8cb3b24d8ca9aa3e46,https://dfz4hf1hz1uri.cloudfront.net/content/41ab2448-306b-4460-8f78-6619578a4d71/20/06/19/03/41ab2448-306b-4460-8f78-6619578a4d71_1_200619T031719517Z.mp4?Expires=1595632999&Signature=IU07daCkPbRGtERhNF~ZDekxTGPd89S2SJe2oNNPLSxdKYA7rqkIL5uWg6OgQCZDwHkec~rQi0~65B4aNXXrxkywYP9OX~WYq5axZAZ0LXMBGlXmc1rSxcRtIUzj6D8dMIRrXTW9ZsKhSI~i-fKZqCseVoJO~gP5EAnMAyKqd3sEfmcgNK2rq1ZFrifAgoeC6Tf~jQMQ7tcQ7mzFwbflGY8I8r3-SKboc-0zHyh130eEFdJp3UmZn1tG6S2~0-o6bZtR28gkuT-Yb6X0TKrTFHmHqzjLpDPan~4WZaE4brsKLnn4rd8dlxdHxa-Nb318HEQMnWo48d5P4gJRe6nd9A__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,C,2020-04-01,Clase 2,1:53:49,https://ca.bbcollab.com/recording/4140e8f6336040ffadd37b40139e1a36,https://dfz4hf1hz1uri.cloudfront.net/content/54cf5597-c9f8-4035-b805-029217d174f3/20/04/02/00/54cf5597-c9f8-4035-b805-029217d174f3_1_200402T005338141Z.mp4?Expires=1595633011&Signature=JMY7Ccw1xxRByOF~J8dtkSXWXdVRupVI70EvG8-yQFAJOWoljy3gDJLxXqNQweNh49l5GdAac8ktKUrnMvq5yO62iE6kpOKj6z6f82aI1qFMkEj1hkc6biYH5YmH0xpEppkHaNMtUlSZeLC2lJg5uf1Luq9Td6VjOiGXssHX4mC8PU69hhaibYjPaq6sg5yUVTna0qoL-VrcRRv51nEA5nSQbanL2iRJLIWV9kqSyrx5pkNzRhZJzQlX65Y8CQ3N936kNh5YHEBfGXOzQzUDFydi4zezD2rmT~ZFHBQRgpbfgS5PLeP13ZF3Mr~VGlVm7ay1x3OGuYIdDypeaYmmdg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,C,2020-04-03,Práctica Dirigida,2:33:13,https://ca.bbcollab.com/recording/dbf315fdb7364a968ffbc0e409f97412,https://dfz4hf1hz1uri.cloudfront.net/content/ae0a3436-0437-4eb7-9c8d-e31db626eecd/20/04/03/22/ae0a3436-0437-4eb7-9c8d-e31db626eecd_1_200403T220510490Z.mp4?Expires=1595633023&Signature=IrjgSYw7gsA9ftAB5DuF9uMZUgCor2qcselAtnI9zY1KPDRhkP6EHAw96MibAI-qf3~WflNbLiJDAeIrnPaiA4DlD7hvO-DY-1kD2Y5iocluo8dInlR1~wqamYQXA96LuNf0kmgk~LjgWbQ-8Ea9xdAep7~i1QHtBww4ENsOWCkaQZMk6dhGbhosVnXEYdCIbb7CLS4MVpk~w7IQchQkLW2wDrbav7q0GKuTzTaX4HU2W-PhaFss0lJkUJWCTFPLR-SOTfNxwZtclvgf0lFXdajAWraljjkwxPnexmqkyL4dAg4ZoeM~Pyv0-JSEoDylZfwX~KLTVvvDrZZIRHXHzg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,C,2020-04-06,Clase 3,1:50:02,https://ca.bbcollab.com/recording/2f0e65c8453140f795696cc5b0cd8a37,https://dfz4hf1hz1uri.cloudfront.net/content/d1b10b27-aeac-4309-8be8-fdda3b35512e/20/04/07/00/d1b10b27-aeac-4309-8be8-fdda3b35512e_1_200407T003303009Z.mp4?Expires=1595633042&Signature=MbsLRSOfB0a2wgMyBQl3JLD4MUzN4nQJufWflhD47tlVFlCot7U2mCkknuigE1xZh6BvVCtB7HlXObLisR~NjQvebTa2YD9MPx2vmfOGRvo2jp4-~5HILA93NpddPHoPX8Li6KLVKtGfLHb3Nvm3MK0-i2yRHrwhFgo3O5Mbky3b7-6fp6lmFeJZ1jShYtWy-x~HmB-0RBauKEdPwMpIvGmu1hhBIA6bkYGJclA3eKC8mwK9C0K2hiq1sYCaNozcsknprfvi10eDloeC0slOV79fwluO5daYvLhIHRexbapJEaaIBhwdS7blTgvpS582bF7iFGXJkFPy2UH~jMjBuw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,C,2020-04-08,Clase 4,1:51:32,https://ca.bbcollab.com/recording/72346c97d79041309029df95c83954db,https://dfz4hf1hz1uri.cloudfront.net/content/adec9da2-2a60-4453-b380-60dbf45a7f67/20/04/09/01/adec9da2-2a60-4453-b380-60dbf45a7f67_1_200409T015914136Z.mp4?Expires=1595633054&Signature=MizGNz~5BdCkDW1S6VBG-vT7tM~syBq6KAkhgAdqN0p6-VcKUSKizCAsarvyNoNjwvlfmCz77dlAawda3e54Lr3gF0aK8FIfJ6ATPYf27B7nMOibvl~n8FvhRPQef1vs03MuyCpFBkFlcrS2aZr3wJ8ThLwEtP7Ug1Bh6vasGg2OlzVaawdnNv-SnHNL067NyKau7wLs5bP6ssloTn4mI~UytHSYBn2riBgzuibbGCq66jSiiYecIVi8gX6QZADZRPEvnE9MeaC3Z770WGDPi6q5wL6Lv3jDuwD65iF3JoF8Ryi5U9RBgLNniYhG0lCk2FjIbqwOm8lOOSpFx5j-Pw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,C,2020-04-10,Práctica Dirigida,2:17:33,https://ca.bbcollab.com/recording/b1a089eab26e4445a36626b4f63278bf,https://dfz4hf1hz1uri.cloudfront.net/content/6c0ed5f0-27fb-44c8-b291-34241f736baa/20/04/10/21/6c0ed5f0-27fb-44c8-b291-34241f736baa_1_200410T214851112Z.mp4?Expires=1595633067&Signature=XFGtHicJd458jWeFF2d-7m0g5wvyrInATVcNYl-W5s8taGEQCzsbXWIso8DucjXSczKLQzIfqptWNZwgN~OwTVuhvRvNnxAB-iMRaXrUASsDr8Z9rG~HkCI7vswKf6A-2qCUA1uUkedv0-FDhx51Nci7fEzZM1gvvSU8I3pO-S44vj8k5W4GEVOhNtmhRg3rOWFGAQeza7wUUcj-bvl0XFuPKbwj2SzlbDlTe1UTBF86p-Zccy8Tdw8B60eogrHvg8Mnq8MTIOI2ePlegZtz3mQ47Qem5Vz7X3LZAgygr9BGuqPAOykz7yiNPSur~Xgviq8hss1h1m675ASDu7ZWtw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,C,2020-04-13,Clase 5,1:43:47,https://ca.bbcollab.com/recording/d3db40eba84f4abd9ed3060462f2bb2e,https://dfz4hf1hz1uri.cloudfront.net/content/9091aba0-9bc7-4eb5-8389-b3ad2ed509f3/20/04/14/01/9091aba0-9bc7-4eb5-8389-b3ad2ed509f3_1_200414T015951139Z.mp4?Expires=1595633080&Signature=EN7D~2MtdUU4qY2uNRwEPuij2F-qBt1a8w08GJGsrjNr9lvudpUr0wec93BZ8GdCY~bI8bVaTlcOKVzwGIcrWIrZK09jNKMKeirRSgmB18d5hRi6U2XAFtHcwXc7gpjQw5ugEhFI292gDsOw4JfYun4Z3iOGG~uRaj87JMNZv6CzLA0li-59BB~aoe~Seext8fiLpHGU1sAHlMSUl1kfb4PSWceK3B2Ao9JnPrROb6OgBg~vgNH4lZx79ifW~WvSQzXt~oKx92TNcuKKwAPjhC7qh87dXbOioT0ymuphF8WoHW8W~8HYtzkSWe-uVK9ltCTihoskusRnOyPo6iJoCw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,C,2020-04-15,Clase 6,1:51:31,https://ca.bbcollab.com/recording/a160f62aa682413eb9cb9c06c2bbba1d,https://dfz4hf1hz1uri.cloudfront.net/content/6cb7e346-bb73-4356-8f6f-3f325ea69417/20/04/16/04/6cb7e346-bb73-4356-8f6f-3f325ea69417_1_200416T044111728Z.mp4?Expires=1595633095&Signature=Xg3~MhZsQ1q1ZpEir0fSDPf3v9cgkSgIKsXa26z5zlM3l~EPyKrahaAc578sGLZiEOXAM9bJDmZgbddO~Gq3OGzjPRTdmGWM23kHHHFg4Ammqwj0LXdaalhx-srBk74N759ARpaADIZnrMyWk-NBBBrbyZ5Sqd77GW6sClSmnb4~5nfrvBt7m0pCL3p5aWnUge5W1eSmqVSgsgQ1R60WY8GvdSF~HKRqy89KnlarPuM9xNy3BEPFLdVheFyUJtXF76jMICPbzG4m7EyCJJoODskz7~ngaEfTPx~sKaVy-5JI1e3tvB8J6qt5Qhfx8c~gfG4zSQbQr9ycXKmgY3WJNA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,C,2020-04-17,Práctica Dirigida,2:03:31,https://ca.bbcollab.com/recording/e1a01a3e257c49cd8290f8ec2b1d3d91,https://dfz4hf1hz1uri.cloudfront.net/content/37c59546-d56d-4c7a-9633-5e116dd871da/20/04/17/22/37c59546-d56d-4c7a-9633-5e116dd871da_1_200417T221724617Z.mp4?Expires=1595633108&Signature=Cf6fTBhQjM29M~1Y~g0a-XX30bZXYW8qD9rY6weg-3EieEeA-6Z7eZDGmtXiBpQGvEzI4H1N92S6oe1iWGhds~MqqVGXmhfngZv4MQtL4fbSBQw12KcVEauj4s-xcc8LVhSVSshjGAjtOgp-72s8HrX6ibQ5Fbg84zd6wsTroZ~oTSn5tO3yFGoqh~Xz4kk8lyXLSf9R3hV1v-2lukMu7EqNWGPGTBw043p2ZaPNnqw5HDFIRKoyx-fFfo5qLDY0mtp7HWoD3aFS-46vfBVgqWXwAX6cOIcZFCujiaY0vRZd1B8xHXztIkfr~5iOApAi0z8NM0DKQjrD9n8fUMq6BQ__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas I,C,2020-04-20,Clase 7,1:50:40,https://ca.bbcollab.com/recording/95442b0b976945068fed0acdb139984a,https://dfz4hf1hz1uri.cloudfront.net/content/857ec748-9e18-40ac-8dd0-d9741ab93d24/20/04/21/18/857ec748-9e18-40ac-8dd0-d9741ab93d24_1_200421T181345935Z.mp4?Expires=1595633124&Signature=WflJU2nm7ulfhd4xLKIJZUW8r-bGForGop7V-uIzKcT69FJMkgtUki3WieNiLonrTo9MnD6xvWIxROcck8PEsokhJHleZHoFR01g1tM-ld-qrTfNAvkDkfCxhsMfDIwPC~1z11tipR2osRgN-IbPqP-qdPU0fQR0NYnPRjeRuicpYLVjg3899uZBCrPsxw7V-Ctd-5HFf948QtRWql-0lp5Wceb85a942BMob9EmcCh8lmYsYQrcvhtWJStOKOozCyYvBTabbuuzs1L2Ljg6AuICzWMHy81fPKTo9WQiHr7-ShSbWMga~ecgZVZGX-WaBKTgZ1QsIDYtgI3WKA2Jiw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
