Curso,Sección,Fecha,Nombre de la sesión,Duración,Link,Link2
Matemáticas II,A,2020-03-30,Clase 1,1:57:19,https://ca.bbcollab.com/recording/dd685ba885524c43a44d281a6e7c2eed,https://dfz4hf1hz1uri.cloudfront.net/content/8a5cbc3c-e55a-491f-b936-4023a3a9a544/20/03/30/18/8a5cbc3c-e55a-491f-b936-4023a3a9a544_1_200330T183112266Z.mp4?Expires=1595609493&Signature=QdABlL4Fuv-TqP3tUzu2-6glYMA-Tf0Yx5rTFEUkdZcdQ8OGh~HGqAafv6nVj1K~GNwApoP6KolkQcZZdAC6r3iegcA2t1GVxb~BvGlrxctSYmbnzvCkcOO9R7ODWSy6u395U3yxa87UNRv4--MTlgNtdiXGJpquvoxvYQYvlQLodfIdSQaqU2MuEgAaVNefSWxwAsYTmwpffxbhJQTi8CDDfFyuITdSnHKSVooFBp8fFGPzJoAp2DeT-ppEFl2Pqk07iSty0nZV9ItoDZhfOM456YnFcIdpf7rEvSY8ab8wVBFwF40wwqIgHVuA-IilH44ll6phJKnUIGYw2boLyw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas II,A,2020-04-01,Clase 2,1:38:33,https://ca.bbcollab.com/recording/ea3275238b184c8eb35b368265ca6926,https://dfz4hf1hz1uri.cloudfront.net/content/467f60c8-acef-46c5-9d50-e02f10bbb7e6/20/04/01/18/467f60c8-acef-46c5-9d50-e02f10bbb7e6_1_200401T183129542Z.mp4?Expires=1595609508&Signature=J6yc47IC3CADq3t1zfA5G4BWIL5P7cYfGlGgWbxCedFX8dR4WgBMXx63dmmUQauOcNMmphjY6uZnHU4IrowvlJKm-GVrw~C7BuJDvXPC2ey2F9oTE0ZgHiXwIY~LyG2qtjAJqDCAJa9ae6q91iwT0lQn0fB99mksDh7p5a6EH3r2KvzJpJaIl52TcNdKciZA60u3uIO7OyU2mkcpOHyOj3wHMVI7J~iYzoCHKIrGn-njl2Gn8Nqpr36G6LhNwWnCUvysIMxpQfuRpuzzg8flThis5WHCwt0D8GLPusuAS8geB0NiZeB3BItJf59i6CZBWZnCH4atTeSvu97LIg96MA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas II,A,2020-04-03,Práctica Dirigida 1,1:48:50,https://ca.bbcollab.com/recording/a4cf388c7bf547369e99f14f5816699d,https://dfz4hf1hz1uri.cloudfront.net/content/ca444163-6795-4686-969f-14dde2235fa5/20/04/03/16/ca444163-6795-4686-969f-14dde2235fa5_1_200403T164135601Z.mp4?Expires=1595609524&Signature=EwlTXKt4VO181mujx9~NWm6YyaeYHCu2wNl4wwXylsumkvLg2~WDIh5uztNx7batwlLaIcIRGldL-KejkajRe0KwWJOKcY2FBMKlbpStgETL-qxa85kvC3HasPNAmvt04EIsITPo1wOG-25aYhquUl-coyk7G1KCx-PsNJGqJ4PzpuZTogA2gYligTfqFXDNhJuS2BbWQ~wkyJhSXK1n5QNmrCkqIKn-muRjaqH11ff2fJzfjPFWI1jzvWMkb~F6sJyudJAhZaz89fKc4JO92qhngacv2w1NbTQ0HXf2c6lwX7urVSLsqIAMWwBW-9UfCQ8Xxs0NMG5VvFlR~vrTdA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas II,A,2020-04-06,clase 3,1:35:40,https://ca.bbcollab.com/recording/f7892e3a31754599a4272c97b7744cb2,https://dfz4hf1hz1uri.cloudfront.net/content/506bc8f8-590c-447a-b3d2-a9fbe29c035f/20/04/06/18/506bc8f8-590c-447a-b3d2-a9fbe29c035f_1_200406T182422873Z.mp4?Expires=1595609536&Signature=ci7pEGGL0wF~h3UWpKCWknsHtDpzij1ddYarWdoRqy7qceJGFFZVh-j3pD4geks5j4Fx1ARYNu2ZI-PlJhhyHjyEpl3fzwIbF7tY3jvNfFAzKZ0G2sbzKw4FnIax8oxO4kBbueJQ3GGapQCR7jyF-B0zBE7j5udPcoO572UZsUI2Db5q5TGFG1KCgkF9np6LsHEbLJdtLAWqt-YuCsqxVBoBTSYrmkcC5BfvIszIvNT75wvQY3X67SBBxdTchNAaanOZIsJlV6ihFJvoWPRXIHqgkIEnWap1oitJWwpyYnXfCKkML3aVgdPeM86rmRQ5zuk9heN3vsFYXf6dyn7kMw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas II,A,2020-04-08,Clase 4,1:28:30,https://ca.bbcollab.com/recording/bfd32b74e7e3471da1c41058a19463e1,https://dfz4hf1hz1uri.cloudfront.net/content/2db72f85-f513-43db-8b6f-6fbb60101129/20/04/08/18/2db72f85-f513-43db-8b6f-6fbb60101129_1_200408T182422181Z.mp4?Expires=1595609548&Signature=Cyqh~L7mpgeJD9W~bXGvA9oaetKJ7MVv5xGbUHJvfh7Exa3Wr72w2KsseSzBEfNbmmY63r1gpZprHLYXWJ2sU4PQMyRgPlDcC8lUN7O~3Jyz0lOJtMjGtxP1f86BjbKIgVUOWP3CGNssTTscB6A9eerPB5Wt8cJoXkyzvH3GkekVux0Eq~xyjt9mhEztIsspDdhV8iACp~6ChZG84ew13AGYgiuenr7wJhyqxbeCgMrU6J1NWoibSBn5E2erUM89o-jv4ZOtnT1rAMOFyb6xXBCKAWRrBpR9EE80MW9vXoyA0jajgR~VO520dg9ufLFBoQ2uxAozwGHkoY9wNmKiNA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas II,A,2020-04-10,Práctica Dirigida 2,1:46:41,https://ca.bbcollab.com/recording/11f2ae68b02a4f8b935a116c7fa97325,https://dfz4hf1hz1uri.cloudfront.net/content/f3ba31a1-2d14-4c75-9ac8-40f7874c7238/20/04/10/16/f3ba31a1-2d14-4c75-9ac8-40f7874c7238_1_200410T164518772Z.mp4?Expires=1595609560&Signature=ZY6BcvIi1XPiKBl~5ei0LwwuTwKbi5Nc8lrHj4X7b3ciDuYwlHkqCHgzidEolOB3MwwByRH6h8YFi4u~xKSE0-kI5b8qz0caOth9ad-cOQ1Pk4G6Cy7jn9~Aznou7pqzb5VyZS5RGKFNGsUVeT1wWjFsBi7fZP1ydaApYjoiQ19hwAVV2u3rthrjtr1zGs8nRM44dzjBtu4VWLq5u4v4B~O-awEybfOkr1SjAS50BpUUItHAAA4UAfKyGe3fC7vQroPEFlVR1O1yCHgTlsqMKoDEl~u6P-4ld-g~Qv2n2wpJ0uVN9GStbWMpbSIQlvm6IDhpKWzO2TwTn74m8hJpGg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas II,A,2020-04-13,Clase 5,1:51:39,https://ca.bbcollab.com/recording/497e20cf47b744cebda3b429f149129d,https://dfz4hf1hz1uri.cloudfront.net/content/a2b616f0-378a-4d8e-b696-5aad6b6b221f/20/04/13/19/a2b616f0-378a-4d8e-b696-5aad6b6b221f_1_200413T194459030Z.mp4?Expires=1595609572&Signature=Xvb38Jmv1vSTH4fnTo-ZDTwk0-9HoM26oUubVdyy~Q9DfMMTMP3FFXSEE2QBcQxCveoMHoW8sgarrx4gi63iYWK1znFNcFypRDd4wf~2sjGOEiWA-eJjfG~eHCiZryOnvc01uTwXK0bZNHEcxETpBdkhVPYo3eDfB7-icYpGO0zZTw4olik5ZjSpMOnrJ4iIeE9rcnP51~EAEgF~d1anUHgpbxcT7hPzKlpNuH3Ee7xUf4P0J2zul234UNipKLHxuT2jdQa5YifeD5uzJesW~ybOhwl36sM5Fb5O-A9u3MGBsdUH-26EWsWU4zNMr9KUyd6J66f-eKPXKkrHXjXhVw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas II,A,2020-04-15,Clase 6,1:45:29,https://ca.bbcollab.com/recording/d8f85d6ce9c446f881a13b3454d7ff55,https://dfz4hf1hz1uri.cloudfront.net/content/234e25b9-fad0-408e-b1bd-2e9734651cb9/20/04/15/20/234e25b9-fad0-408e-b1bd-2e9734651cb9_1_200415T201827731Z.mp4?Expires=1595609584&Signature=J5fQV8442wbbQdqFd71yqI1Ungw5hkOXXtPocxHk9BWXIDi8eaGQ0d95Aht8gLTG---aGfRp~2QNmZ-vloO9l-EmihmWKzPUYXjiYx7Tsoa42f5wvhb~XjhLPxSOOvEPx8ArsTwhWuo5DDjvF95-C991WisFOqZHZ0zEs~t8WeKk8IuLoULc5BB54XdZ6wZgYGOTc~p9KYrthVNbQqPYhiYLYxg0vVzyi1IGn3HT4keXZexnKzgo8s~1FKFxM7rMEp2hFjJIc07euYP~fwtcTdJxvoVMayuAsTdP1XML1~nF7tWBcXhRc78XGPL56~ZObDaUi81cdaup2I-zFaXjJA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas II,A,2020-04-17,Práctica Dirigida 3,1:47:02,https://ca.bbcollab.com/recording/d1dd5564f92d487a9b1aea9c7020f21a,https://dfz4hf1hz1uri.cloudfront.net/content/7692713f-f169-4e7b-a0c2-1145243d2eb3/20/04/17/19/7692713f-f169-4e7b-a0c2-1145243d2eb3_1_200417T191331211Z.mp4?Expires=1595609599&Signature=NM~rlppGcd7o4MGskscjM1b2kAmoUJ6A1rf0EVFckNU7uThs~HpAVm4k2kPqFeCNdwAkjyXbXsIAA8-AaBJ7ZNezR2iX1TcHi~dPsJIX9Q3tShdOeS~dDcy9PPt8I720hbOIQh48GH~hhs1Relw2Lyz2n0r~4psBoEMSJemBM849uYrhCfBi03a~2xUtKk-akfZZePItS5wRp3xBll0YbS0YPDBeVlwlFsJzk4KmWlVflTKxImrUiktPvO9DYXuGkN2SV7IAZx2GrgtEFl3Gm90A5eH8EdusVuECmWvQ5opGv1cTbJegAz7b~6zN~tf0f6J3XE~ugRQLyZOctVWQhw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Matemáticas II,A,2020-04-20,Clase 7,1:44:20,https://ca.bbcollab.com/recording/dd0150d3cb894b9fb085afe0f66c70ba,https://dfz4hf1hz1uri.cloudfront.net/content/ecb791b9-b677-40c5-bb8f-f6e27426a462/20/04/20/18/ecb791b9-b677-40c5-bb8f-f6e27426a462_1_200420T183823456Z.mp4?Expires=1595609611&Signature=GV4bxQh6V7mbuxTXfjx6XC~Ident0eH6gfGFYHRqZPtQaEp0MAgM3a2DVuPo~Xy30VQ8W6lX0tHJY7wkjQoh0KNH7D6od2apDA1T6DT-EpJYHMoEgquULn8HBVXvrxSLi6GCa9nN7B8oNm98aBUfdVtkY9ssokOiiT1momukk08c4ODPdiSSTb-9fgftQQ~v4Ym0zNszF1Kow4PpUIbYrB7rQdb1h1cbg-~-lzSmqrB9T6RqdW09Jy3xsMpyAxjxClcvDkz5C6P1ok~TCSjfvOTJ4WjcSZ4OiVCzAmFU0dnVjvkKPO~mWiXphp6iihjC8w8kcvuAwrrMFgMnCh0Hsw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
