Curso,Sección,Fecha,Nombre de la sesión,Duración,Link,Link2
Sem. de Alternative Investment,A,2020-04-07,Session 2,1:48:47,https://ca.bbcollab.com/recording/78ce7fb8526f4c08a8e924d0d2fd33dd,https://dfz4hf1hz1uri.cloudfront.net/content/3c4f41c1-093e-4929-8a39-c3e3d628223e/20/04/10/09/3c4f41c1-093e-4929-8a39-c3e3d628223e_1_200410T091736627Z.mp4?Expires=1595724049&Signature=TrCBaiWGjZmlmNRVyaDDETLQx8m3Sc8hbqhLSRH~OkrWhD6o3qt4GJj6vY-ihuY4ZZaRHJuUlV5aMxjunBf1XhBo2LOFcBhSZDacNTCT~NR8QA-TB0i7ppL5gSPIJseFexJSIVqTTcd5VhhT375KyXXb3Q7cn3SZ9jhpRAnWO0SoMmPAgpHoN9Zdefiqvrhy593PfG5V6V1qog6WUaa0eVenemQw~-bjqvnTkXa7EFixyxkDBnX77SpuAm7tdKcJMZvqInFfua62vHpkVwEtxQDIjtl2Q~LqmPqqPMQPWmh7kQozeimHEoLsBS0BdUnLZ6il2Zt5UA1NKUMNBgM6Dg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. de Alternative Investment,A,2020-04-14,Session 3,1:52:40,https://ca.bbcollab.com/recording/257d443181a04db1ae5f0dd57c12f7ed,https://dfz4hf1hz1uri.cloudfront.net/content/0c46b20c-66c0-48f9-b705-5170b977b79a/20/04/16/17/0c46b20c-66c0-48f9-b705-5170b977b79a_1_200416T175058740Z.mp4?Expires=1595724065&Signature=ZhcDgoA2TKbkH~BcYiFEvnZPd~63neHfd87-7Yct9v6S~tsDZu4otEy-lDKKZzBYAWqN20ElRFpoyg~RlLbPhB1d0DrRz5nWov1YvgeViFDDX980nm2mcoeIQkW6i17Jqy9jAPy0othrM77Jb9~aod2-aM9dm3rA7esNpVvhXoOTx0wCpnGd6nXoqH4pMlFvYA9-xnnJVQnI3dk6tICIFBFiqp16XYgCQxvkc2TtwZAa3nODkmIB4Yvet2esMJfHVUIhS~2qv725SjlhNPIowxRywFqkKdtNfwTTXuW9QCnISRTdbw-yKmw59TH7PWVdXXd02l8x7SL7sNZ-NeKyBw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. de Alternative Investment,A,2020-04-21,Session 4,1:51:56,https://ca.bbcollab.com/recording/4b6d9b52aeb8488bb7e4eb115f519dcb,https://dfz4hf1hz1uri.cloudfront.net/content/4ea4a69f-3831-4865-a087-701aa55f5140/20/04/22/15/4ea4a69f-3831-4865-a087-701aa55f5140_1_200422T151657579Z.mp4?Expires=1595724084&Signature=K8yJJxa~Dl29Y-BB~jIEUR~GIo2FcpS-eHwcJjOPmMOGgmv249d2w-K1TFoVDXHc2bAaEJA2yUwOpHkNF6ET0cY2tQCb0f2FeubW~gcqgg-1zVQ20E~9ZUlFrp1dtFXUwkS33~Yf4~9LMH4GkAb-vc542UWI5JmkW-NcxPxSA09jmjdxyYQEi1DP-P7qd0VV0UcJhsxVYlLbEM6X35TUEJe3D4ahCxQNHSC2QBWUvEOBJf87ec5c1l~S-fccTKSjBGhg0c6fqTdoAD4EypGUsdMTGg35zrfF4KmLZITHsdu-f0ZFH~5-R83rw0lurQ3swJnKFe1JpgTyGmtuHWnbVw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. de Alternative Investment,A,2020-04-28,Session 5,1:36:16,https://ca.bbcollab.com/recording/b988b1fe8d2344feb897f358eafc291b,https://dfz4hf1hz1uri.cloudfront.net/content/0fce2316-e430-46b3-952d-0004c0107851/20/04/29/17/0fce2316-e430-46b3-952d-0004c0107851_1_200429T170413734Z.mp4?Expires=1595724099&Signature=LsHkMqd3l2GKhWcMFjwqNTfSuNB0MFDykQP6zhaEZuYB3-b3iksKbIsLKIAQfou9vu2xG-uXMeLxGw8AykGCBKt0o14-OuiTcsXTGDH-K28q8rN-KkWNIr9b1kV6xRFdKGX7KwphBSbYiJb7~NJ-39CkwYkuIua~GHMABWh0OEcsKJKtfdL7n9LwKVC5HeOFaMRhKQ9tg6bBHO4ovFavMj~e9QDxNlpLtsOCr3TAcIMrhCp~hghcllVEYAyyivcJ6OeBFWsB28mb7VtiUpCk-icAerbc5BZ0Fmj3vmX57j9Nfz3GnfgIzR-SswjdD3drvNPypYbrUputy4BbYtqysA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. de Alternative Investment,A,2020-05-05,Session 6,1:45:28,https://ca.bbcollab.com/recording/1c688040f77e4d30b82ab310d38d744a,https://dfz4hf1hz1uri.cloudfront.net/content/54f5ebe9-e677-465b-9821-23985fba79ff/20/05/06/11/54f5ebe9-e677-465b-9821-23985fba79ff_1_200506T110449148Z.mp4?Expires=1595724112&Signature=Pdt-xcOX2pquHG~YLhL~vdZ0qf4N7LMlFSSUKaPshBwTFpZzSW6K2G43wIiM79HuAAUuJL2~tPfQTkn4jujtm~MPSAH4XYWX1czvSRZm4lWo23QMzkb3WGCvC0VYojjkXHloVrhrkB9Zw-rOJfu-ducQBOUtrQwji6Q4gxCijYWkLPJiNJxR7-EQq~ymY63fTTu-UdjRDKr-G42RciM4qKEr0i9xHoMjSmKckveNBhycBrBfGCHoWiUP5AFzlYsnUEBgA5CvXH4QoBHiZV4G6SkXxBb-m3q70-1i9pZW2cf--J1nXcsJwmlEUDP0ytwgq2K7nbgLC4SaDbRJwS~t-A__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. de Alternative Investment,A,2020-05-12,Session 7,1:43:27,https://ca.bbcollab.com/recording/1796a8c74fa14d3cbe186e0b18f527e7,https://dfz4hf1hz1uri.cloudfront.net/content/d8dc36cd-34a2-4258-9f4f-aeb9d25fdd16/20/05/13/16/d8dc36cd-34a2-4258-9f4f-aeb9d25fdd16_1_200513T160207218Z.mp4?Expires=1595724126&Signature=ODijpaYxr9OPqhHchVLp~p-HW4E9uyz~0WQB5tNWL-CQWZ8R5RQWkFyr3uNUUzorIuNOiz6LMQwv153j71HcGy0BHHpUaSH2cFRPxwYqgpQlrFu2-ZPeMVgxzGYFfbuwmzwkiYkd2vdOBeOkz3~24PksD82o8dvNYj~IvG38JE~MrHH7~0Cc0o6W3U-V5FqGew1g30Drny6TlcKgdsAeu9qYKiPNaRx--fU4mBM~CS0F7VsfiqWelrneEKmkkCYFtVxlQTuzRkgxwX9R~Xpi7tWaeIsVR5ywAZvZoirhsXrH2v6CIXfdDJPmWPU1PSP4n7yJSOKsv3G8~VBJ1k4DfQ__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. de Alternative Investment,A,2020-05-26,Session 8,1:45:58,https://ca.bbcollab.com/recording/fe596db1886b48439dfde8a1671004a1,https://dfz4hf1hz1uri.cloudfront.net/content/d42bffcf-768f-42ec-813e-cbf710eb737f/20/05/27/11/d42bffcf-768f-42ec-813e-cbf710eb737f_1_200527T110712770Z.mp4?Expires=1595724140&Signature=OwIXr~Cqtm0MQu1TX0j7IAwTeUnP~iGZe2qezPwBZSInH-as1fcZRE1yl6W0LLrziHkmq469BcuPxdu4NfK7NRDTbdF1FF57YtOPzcGsnXrdPnNbEZCG9rqTmQDJkEV~xRmZWzZUlxYOv15B-mG5bj-aACAbVv7B74ZM1V80ar9iyD5Gk8waejAAAM52nOk2MucpLdk0601FDDwy8hBBz2HTucw8yYxAUpDs5WwZOwVO7Y9MDZ8ibxjVNfZ7xBIXj~H5Ot4wQoGSuz5LHXOCoDXrbRjGSTQVzOueTstlwP749hWaY67LOoPAeIvLdUjzcezq-O8iaXG77YOGUwuJ6Q__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. de Alternative Investment,A,2020-06-02,Session 9,1:42:11,https://ca.bbcollab.com/recording/390f58cf678c4f158e867505793aa434,https://dfz4hf1hz1uri.cloudfront.net/content/d1b158ea-3f87-4d2f-8ed8-e9df94eb878d/20/06/04/08/d1b158ea-3f87-4d2f-8ed8-e9df94eb878d_1_200604T082900068Z.mp4?Expires=1595724152&Signature=FXwPfZZ2yGnhhLdgtRqvvMM-DTAQjZT92LZVXMcR5EAyzAevkHYe1BRJrpLSCItPlAZEj3UrSUsfa2qB9BOWiD6c9AwI78uIXnP-lsx2PJj74fsdjxsnkf-RaBiKAli8nRbrhiYM9AX3YfEAC9GvuEzj~vGTZFvBUC-DUQUigCGDz1XwfR7iNqYgN5B4xNtKCJrunznPNOWwJPoI7AXkyqLBJe1BXADQDClcv72TVOfOsCSbxVydMCLmi64OITjaL~iclRC4kBk-2JWDMmfBoki5yehOZ8Ha6BHPewwftfNWu2YrafScSU9y9msBsLOXLXtX1SZGg~MC1Pi9rHP05Q__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. de Alternative Investment,A,2020-06-09,Session 10,1:45:32,https://ca.bbcollab.com/recording/882e63cca8254a169830de3c539b84da,https://dfz4hf1hz1uri.cloudfront.net/content/4a74eb2a-5472-4524-9e30-e42127f64cab/20/06/10/08/4a74eb2a-5472-4524-9e30-e42127f64cab_1_200610T083943536Z.mp4?Expires=1595724165&Signature=UOn-VP5y9boc8HyeNt3rbaChaRY-wlZB4Pg~RtGaJxZEygdEO9V2~8-5CUtkZodL4RC5DqI1qHQlCRNwKzWVY3fu21vWBQVtDNyNmDvzqsG29WLaVNV6~RjSeA6Sr3CB3Vt8NdP65g~EPA-KkB5Vv-m4cVD6PY-b2WWz7veQY9TXGBWra6BSaY-~trQNgx7XabJDS7KKtNgqFpVfNpEafgfIJ677rEPdY5RoR4aOV6nHiRrhTat7WWXiWMp0M7iCFa1qhpwFS59e~7Bna7aPdh-HBZNjhb81pjsfk52i8-QRclbn3M2PQdn2Zgo2wywX0Y~qugMa7k-EdPD4BkN6WQ__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. de Alternative Investment,A,2020-06-16,Session 11,1:48:01,https://ca.bbcollab.com/recording/922c101a65624d10b09915ea2994c6c2,https://dfz4hf1hz1uri.cloudfront.net/content/e035b4b9-ea03-418e-b752-f02da545d9c4/20/06/19/22/e035b4b9-ea03-418e-b752-f02da545d9c4_1_200619T223405135Z.mp4?Expires=1595724186&Signature=bInYWGjUvq5sTKtAsk63l9pomgK7JGsa8S27HBRGa3UGeLiQ4M9AKd81dtQHvRAbMLHWVyCzb292HLIOKSdoytI-loZDspdtUtXbOIKetDUBiERnwXtUiGHouPFa2IPaiaeEP4Egbj5D5qdu~utp~G7NpFnARVrZkO4fvk-Ne5QZBTNo412wPKGHFgJzzz~sGUT0LT5RPeT~aU9NSgPpDu9QGKytPUhBcefOqbxvlBKXGmBwA59dJG-QNn7RxpQPvzoyA3QKyGlIfeDlDQmUx-GgNp0u2ugoN3CTdRIOS~KS-~qZtfDYsK26VYBMGFLyUZlPitlAuasplExVx5~zSA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
