Curso,Sección,Fecha,Nombre de la sesión,Duración,Link,Link2
Sem. M&A Case Studies,A,2020-03-31,Clase 1,1:44:14,https://ca.bbcollab.com/recording/5d4f1271523e4fec9fe09b6e0afa715d,https://dfz4hf1hz1uri.cloudfront.net/content/7420e6e6-25f7-4144-a571-da67e45b21b5/20/04/29/02/7420e6e6-25f7-4144-a571-da67e45b21b5_1_200429T020006426Z.mp4?Expires=1595411017&Signature=N4pgSq9wF2IEBbK04zZRmlvS8y4iSCrjXSNXBh29cVSEsCADylegcF19N5DoY6vZN5BGOmIw2TgtJkbLkXcC9ynRfCpw2P05KCobOTV-5pPZE5MRfJjdILVz0mT4hAMnD2ytoNHFNxcKeqE9LselFzKLWF~GAaKoF06SUSqYmJxmFkJ4Iig0A-HV5MpFsQhCj5~Dj5f8-q3OCP2RAWc2KMfXkBNKWJlGy-W7MMGYSbcwZhDoiyiX1jCrKpGhmtQU5E5TkGK1xpTGc5QggQIU3Cy8mnELiMAZNixTLL-WEYeuSOynz8iEV9AOIBMCtvYtFb01eYF5~FDgHdIYdA0T0A__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. M&A Case Studies,A,2020-04-07,Clase 2,1:53:37,https://ca.bbcollab.com/recording/93ba79d4636e4aa0bc4bf20f01206e33,https://dfz4hf1hz1uri.cloudfront.net/content/9ef25532-0eee-4027-b5ce-7358405517c7/20/04/08/02/9ef25532-0eee-4027-b5ce-7358405517c7_1_200408T025633786Z.mp4?Expires=1595411039&Signature=K2JR5aMykcn~yAADvtJN9m7ailkTX4OmCaSKtS3yIqTWHxphBT8F9KPpQKVJaLs-ssGkZSKPdl1h4oeDhICNMDuOYtIPYXu-QgKmmcgy5G9GP8D~LrQoaXGSuyD3nJUEfFz4H2NPkB-iyMSvt3UQ2AQYGF-jZ~pZtKmSkDNTPKcwOQAWB8ibUPa4VtFIHWrZTsx~Cow4TT1UMOy8udxdcDnKEXk0d72ZBqFiFYDs3rcgdB4RGulWaVpDWHG4ntpiooKaJ764g9aeeaRZhsrLqTQWx0MCz~Pf0GO-CB0Xp2G9utMH-18Dl90fRV79N-7j-XplAk1l6Vo1H-sgTaionw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. M&A Case Studies,A,2020-04-14,Clase 3,1:51:07,https://ca.bbcollab.com/recording/1947a3f19e8042aa97b5755bab5cfe28,https://dfz4hf1hz1uri.cloudfront.net/content/ebf2760f-0494-4dd7-a9fc-2ec39cced459/20/04/15/16/ebf2760f-0494-4dd7-a9fc-2ec39cced459_1_200415T161412830Z.mp4?Expires=1595411058&Signature=NCIK7ZDD4vDVp1Fq7ajPSTM6I51fP9AMFam~K2tfW8SSQDU8hUAs8WqN1zM4eVLr1XDTbSD6yT2oDIhyFBDfobM1YYKZPSt8~8s9bUVOkoIbuoeMgqadfp~GSvU3dOxoOqy0nSwSUqmbe1XOoFNG6XSGmBAYMH6EK8RXXCHB2p-1mkdNh9877CZ~trWUq7D2vdTTV8pbWLOTs3NznWah8J--XD~BPub~CfMdIOGb9SDKi6xLSdqVD7A~hbY5yDQCgHilbsYpBGgSJEl3nv0WhC923OVn7-tkEIkWGL29GYw4VG9d2mTvkLX8g3eJ1fdXwtBGTkPPj3GPFvLxoXMNrw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. M&A Case Studies,A,2020-04-21,Clase 4,1:44:29,https://ca.bbcollab.com/recording/bd9cc01425a14e759300971891f29e68,https://dfz4hf1hz1uri.cloudfront.net/content/233516c1-916b-405a-b538-5a1d2b479755/20/04/22/16/233516c1-916b-405a-b538-5a1d2b479755_1_200422T161606677Z.mp4?Expires=1595411076&Signature=IpUX8t1Wxk8pkAsRGrLnAB~qVwRAoAUmYEMoQUZEs9DL3iwdsNyAfcXHtcxdczrvOPA0dDCV1aFNmigGjwMtTixneOdwVm7PN3JjDruAKTqvixPikj9mwX9dAKeBeDJtbINJ0NB-2GxzrX4ES-5ZJ205fh1V-0pz0V76jRb~VJqj42D74Th49gPLM3s3TxYYE3KFwiGactSjZZzpvF0sI-n~QM50qyfC-2NHgk5iyuhSCQ3oi6UFUa5N2~6Ve7fOesxVwIk6p9lQioWScRVaYi4PBADpuSx2tWoHakWOn2RGfWvBiCyW9ja56VOx1hrPh7HNsC4jrBMG78iNU1QLsA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. M&A Case Studies,A,2020-04-28,Clase 5,1:45:56,https://ca.bbcollab.com/recording/34b3a04641a844e691fa3c5b83f30ee3,https://dfz4hf1hz1uri.cloudfront.net/content/95e31ac3-bdd6-486d-bb97-0110584ffcc7/20/04/29/03/95e31ac3-bdd6-486d-bb97-0110584ffcc7_1_200429T031536650Z.mp4?Expires=1595411098&Signature=aHf-vzvH6xnCxNyTcosBYzBkOmLJlaiU1wViks6uMVVVywgfYqU5oVy6gBRDDm2Rqp1P7EKyS70cgM3pi~Vva8LFLz-hmtwQbmEP6k0EYhls~XhCRzNkdHWOwCLjcPGNgT9nC7Pl4myyVgnW0ekYRGLo7WjpWPohc9bfjlqkMXx8fI8Awhz-IFx4ZIunO1fOdsA7nJ2PCa6F2SDnP2V5CadPZm8irOP~YmxS66dGWTWK~bMqLsSDGWFgYoN9-Bvo7uqNqh3385nb2QQgHyj76dhTQLal6PeMBbEcdB-eeCOYXIjKjPZrTghddR47-fQRvgFIyCF8gkAeKDdleXKauA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. M&A Case Studies,A,2020-05-05,Clase 6,1:51:25,https://ca.bbcollab.com/recording/605da0b292b841b5bbf13492a12e4226,https://dfz4hf1hz1uri.cloudfront.net/content/e9c9c388-0071-4f36-a0cd-13198cb7d077/20/05/06/02/e9c9c388-0071-4f36-a0cd-13198cb7d077_1_200506T025747308Z.mp4?Expires=1595411115&Signature=L6iqlmyBQFMMUofEQ8yRw9jFqwUsg6Re1WskLl-iQogLhQye~eJyK055URd8jLhFtHdkX04~Dt8Qm2itv-3hZTLcrO-ymn35U~cvrn0TOr5PzwIPgwg6A8ahU~Tymwm1NElYfKupt4g3pr2dxQZIPz~w-2iZoX9EEZnbcg3lPcEvjVgJ6XM1NZxGgTCwQjm86SRnUxXS4bSskhv9apV0I~BXI2I7oWwA001Ku8weSg6IBfKp9Jdxz8~YSFn~hkRetr4tuL-gXelHtJAimjRiKaLVVvB2-VpXjDtpNYhyiAUVlxXEJQvSN0P9clWJzcC7k5S3TyBVQThT-9-F0HGKbw__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. M&A Case Studies,A,2020-05-12,Clase 7,1:45:20,https://ca.bbcollab.com/recording/5039a4cb7b084f98932210963a783ab9,https://dfz4hf1hz1uri.cloudfront.net/content/d9594337-6855-4dd0-8783-4e11a3549805/20/05/14/07/d9594337-6855-4dd0-8783-4e11a3549805_1_200514T073912529Z.mp4?Expires=1595411139&Signature=ZjBuqEwyoUQBdO~b8mKt-Uc2jm4zxBRhEaS~RT7nn6z8beM7OmVSsmhkFIe5HXYzifybW-Eov7aCoLSwthw3S3~00FrrrPIzURuNQPfQlZZ25ySFiW88-N~8WPv59Bnl4fDw~yYmfyieOuwxjWuhCP-4hltHS-Q8YtIP69txgTDzIUsYkBKAoCXXKMuW-2nZk-SRWATbN4zQZUQ2swS8SUv9rMCKZhsi7GWv5j2Qw2TOVkyg3F5RnCesP81KBeTWAB4pVIBnSodGmpwdNfdUxbc9EpQBxmvUMP4szEsCp89wfnZxiEG-gA2LF4go~AWFma5LzGEWyqdVwLL4uSbzAg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. M&A Case Studies,A,2020-05-26,Clase 8,1:49:30,https://ca.bbcollab.com/recording/bba9429025c341f2ab35acc5bb21cba2,https://dfz4hf1hz1uri.cloudfront.net/content/a1efacdc-384f-410b-8e23-7b933ca61aaa/20/05/27/20/a1efacdc-384f-410b-8e23-7b933ca61aaa_1_200527T203453728Z.mp4?Expires=1595411160&Signature=Rlrboe7Jw4XiXXz-w4uXBIpxRXh0yO9nb4JK7MvMV3rUf-o73erfExD~L4OL~emUEWEy0gOd2S~LJHx-ZFbJ40UmKermDHAO8yMW8LK9AlQyOZVCcaL97mB3zJtu9LazdTL9UMabgjypP-gCDKrHbK2JEFln8sy~ZMYMshqswujPDpEXs7aIeYs5VjHTNniCSG6HbD1gIUKoN-xbCGB~AArroiRsqzJhyGt6VsdkUWyovIgKllDSbAXhgvj-SFZv4HKiky-GgBOXPPal2G7wFGJls4gxWsnRDYYvkkDbOVrITzykWpCuJI3C8gDBJU99ZsBbr4WJqUU82ZI0NPi9DQ__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. M&A Case Studies,A,2020-06-02,Clase 9,1:50:38,https://ca.bbcollab.com/recording/72e06fd9103043ac9a7951a8485b6806,https://dfz4hf1hz1uri.cloudfront.net/content/4f713025-bd83-47d7-ac33-f84b02526a0a/20/06/03/15/4f713025-bd83-47d7-ac33-f84b02526a0a_1_200603T152000074Z.mp4?Expires=1595411184&Signature=TWn31h02ifyz6ry4Pq-TUIpjizhK8WwxijoQSH~aSNfgcdqdtHv2uyJ6tqYvDXwJsb2O9ChESXmaPoT84n7DD98pFG~FrChN1cG5NZ4v8t-aOSTZufDgamjfL9oriVshI0~NjknErcT4-LpiDwZynjpL61vug6rwXGJA1Usfzz-LDCDgk2DQ1zMFWPtdQXmASwSEYGHCt-Ii~awB0WGrYLKVAg5WfWVZZjUkBpISsqRMHXQctKTr46ZqHu7o1cZprjIlbuZem6PxWpcxmgAXk3fhmWn5691TQDLwVeMrdANhdfq1L7Q57q7z8cUgg7CqXdiywLq1qDF6CV24JpR~Pg__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
Sem. M&A Case Studies,A,2020-06-09,Clase 10,1:51:29,https://ca.bbcollab.com/recording/1ea6327023864b86b0c1eec19413ae7c,https://dfz4hf1hz1uri.cloudfront.net/content/7ce0272b-37a2-492a-99f7-21ab6e78d413/20/06/11/07/7ce0272b-37a2-492a-99f7-21ab6e78d413_1_200611T075530696Z.mp4?Expires=1595411204&Signature=YHvhhTmh-wxH1T9TsVCGozh~LmmYo~elH2iOVvXIYyOgINc~NprJBsrG3~gzyPPqwwhNEbcGgzJcDpioXKgJEvOUEpGz8HkjVEo8WfUjcHfMMjPMdh~JA1THqRNPNfW01GqOwcQVsLoIVxNGnJ6E7E5WoxYMd1UjnUf~uBswFv5eNWHhWzRA~RHzD-l~f14DVGGvQib6hRXmr~Tn7JGX~SeDppGqrA6vLVy53nVIOiEhKxsqdM-0mqBR5X7RtkRytaDNmfJVpSBjqKFHOtUG44mbJaL7moIqvUw0DkMmwiDl9pViCNqhLkDxLlfZ~0IcJOf5Hqs1vUcwV9ubF7MHGA__&Key-Pair-Id=APKAIOBDBIMXUOQOBYVA
